material_id,material_name,material_type,strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg,thickness_mm,water_resistance,temperature_tolerance
154,Kraft Paper Grade Standard,Kraft Paper,281.25,11.03,98.6,1.046,90.4,1.27,0.76,1.0,55.0
155,Kraft Paper Grade Premium,Kraft Paper,594.0,3.85,94.99,0.933,97.02,1.38,0.52,1.0,-19.0
156,Kraft Paper Grade Standard,Kraft Paper,390.41,13.47,90.83,1.077,93.58,1.05,2.94,2.0,25.0
157,Kraft Paper Grade C,Kraft Paper,461.94,12.68,90.41,0.969,99.52,0.77,2.74,1.0,-15.0
158,Kraft Paper Grade Standard,Kraft Paper,427.47,9.97,92.99,1.155,99.47,1.48,2.46,3.0,-14.0
159,Kraft Paper Grade A,Kraft Paper,447.37,9.19,95.97,1.049,94.81,0.66,0.91,2.0,54.0
160,Kraft Paper Grade Economy,Kraft Paper,476.17,9.71,96.5,0.835,96.16,1.06,1.68,1.0,-13.0
161,Biodegradable Plastic Grade Economy,Biodegradable Plastic,1084.65,12.54,70.65,1.743,60.42,4.79,2.33,7.0,28.0
162,Biodegradable Plastic Grade A,Biodegradable Plastic,885.29,7.39,80.2,1.608,60.61,3.4,2.85,8.0,-7.0
163,Biodegradable Plastic Grade Economy,Biodegradable Plastic,682.94,10.61,75.57,2.981,60.8,5.53,3.31,8.0,86.0
164,Biodegradable Plastic Grade Standard,Biodegradable Plastic,655.96,16.34,78.97,2.689,73.1,5.97,2.14,7.0,-19.0
165,Biodegradable Plastic Grade C,Biodegradable Plastic,645.46,13.25,82.54,1.854,75.52,3.92,3.41,8.0,-17.0
166,Biodegradable Plastic Grade Economy,Biodegradable Plastic,1174.26,6.98,82.82,2.238,64.94,5.55,2.78,9.0,53.0
167,Biodegradable Plastic Grade C,Biodegradable Plastic,833.66,6.6,75.87,2.954,65.16,4.8,2.3,7.0,16.0
168,Biodegradable Plastic Grade A,Biodegradable Plastic,511.21,22.44,76.63,1.996,68.98,4.84,1.58,7.0,-11.0
169,Biodegradable Plastic Grade C,Biodegradable Plastic,829.1,23.87,73.79,2.039,67.59,4.62,2.43,7.0,18.0
170,Biodegradable Plastic Grade Premium,Biodegradable Plastic,1059.75,20.72,78.78,2.802,64.12,2.89,2.08,,6.0
171,Biodegradable Plastic Grade B,Biodegradable Plastic,1142.95,3.87,71.83,2.178,78.68,3.61,3.03,8.0,-19.0
172,Biodegradable Plastic Grade Premium,Biodegradable Plastic,433.51,24.71,84.48,1.507,79.04,4.74,4.47,9.0,7.0
173,Biodegradable Plastic Grade A,Biodegradable Plastic,425.69,3.66,74.62,2.557,64.04,4.86,4.88,7.0,-23.0
174,Biodegradable Plastic Grade Economy,Biodegradable Plastic,440.55,8.16,84.45,1.883,73.23,5.93,,8.0,83.0
175,Biodegradable Plastic Grade Economy,Biodegradable Plastic,519.73,21.28,82.97,2.653,62.26,5.28,4.67,7.0,0.0
176,Biodegradable Plastic Grade C,Biodegradable Plastic,893.0,11.67,79.77,1.66,73.16,6.0,1.19,7.0,
177,Biodegradable Plastic Grade Standard,Biodegradable Plastic,1083.68,20.21,78.51,2.608,77.57,3.91,2.31,8.0,-12.0
178,Biodegradable Plastic Grade B,Biodegradable Plastic,1027.06,19.77,81.97,2.153,76.36,2.92,3.18,7.0,
179,Biodegradable Plastic Grade Standard,Biodegradable Plastic,629.82,11.72,80.43,2.083,68.97,3.33,,8.0,-20.0
180,Biodegradable Plastic Grade A,Biodegradable Plastic,843.1,17.7,79.29,2.195,67.6,5.52,3.08,8.0,86.0
181,Biodegradable Plastic Grade Economy,Biodegradable Plastic,1032.39,5.4,72.23,2.29,64.92,4.17,2.58,,39.0
182,Biodegradable Plastic Grade C,Biodegradable Plastic,972.19,18.74,77.82,2.734,68.62,5.64,1.29,9.0,-6.0
183,Biodegradable Plastic Grade Economy,Biodegradable Plastic,889.22,11.36,72.96,2.219,63.89,3.08,3.47,7.0,21.0
184,Biodegradable Plastic Grade Standard,Biodegradable Plastic,903.09,23.45,77.98,2.371,61.79,5.01,2.6,7.0,59.0
185,Biodegradable Plastic Grade Standard,Biodegradable Plastic,409.7,6.99,80.22,1.772,70.5,4.98,1.43,8.0,11.0
186,Biodegradable Plastic Grade B,Biodegradable Plastic,1125.98,12.34,71.31,2.724,67.47,4.34,1.45,7.0,88.0
187,Biodegradable Plastic Grade B,Biodegradable Plastic,874.19,14.33,78.9,2.691,72.93,3.11,2.44,8.0,41.0
188,Biodegradable Plastic Grade C,Biodegradable Plastic,992.95,15.25,73.83,1.953,74.64,5.48,3.69,7.0,38.0
189,Biodegradable Plastic Grade B,Biodegradable Plastic,451.21,19.21,82.94,1.825,61.91,2.58,3.57,9.0,-20.0
190,Biodegradable Plastic Grade Standard,Biodegradable Plastic,508.75,11.6,78.92,2.245,79.76,2.98,3.78,9.0,11.0
191,Biodegradable Plastic Grade Standard,Biodegradable Plastic,685.38,18.79,80.39,2.987,62.57,2.86,3.9,8.0,1.0
192,Biodegradable Plastic Grade A,Biodegradable Plastic,546.74,4.75,71.28,2.841,63.84,3.63,1.91,7.0,-18.0
193,Biodegradable Plastic Grade Standard,Biodegradable Plastic,767.15,4.49,82.01,1.851,70.8,5.58,3.6,8.0,13.0
194,Biodegradable Plastic Grade C,Biodegradable Plastic,591.9,10.33,80.04,2.991,73.24,4.45,3.92,8.0,85.0
195,Biodegradable Plastic Grade Premium,Biodegradable Plastic,354.13,15.37,84.36,1.763,73.8,3.2,3.14,,90.0
196,Biodegradable Plastic Grade A,Biodegradable Plastic,1039.63,3.03,74.51,2.972,69.5,3.84,1.48,9.0,73.0
197,Biodegradable Plastic Grade A,Biodegradable Plastic,318.02,19.22,81.53,1.865,73.43,2.83,2.03,9.0,1.0
198,Biodegradable Plastic Grade C,Biodegradable Plastic,414.94,21.17,81.73,2.563,60.72,3.56,2.05,8.0,74.0
199,Biodegradable Plastic Grade C,Biodegradable Plastic,378.88,23.61,78.31,1.958,67.94,4.07,3.4,9.0,-25.0
200,Biodegradable Plastic Grade B,Biodegradable Plastic,1127.45,13.93,84.88,2.777,64.17,5.76,1.47,8.0,4.0
201,Biodegradable Plastic Grade A,Biodegradable Plastic,906.87,14.71,80.82,1.712,64.24,5.37,2.29,9.0,35.0
202,Biodegradable Plastic Grade B,Biodegradable Plastic,438.41,7.92,84.36,2.36,78.65,4.51,2.92,7.0,64.0
203,Biodegradable Plastic Grade Standard,Biodegradable Plastic,738.36,16.34,81.47,1.762,70.05,3.9,1.59,7.0,-6.0
204,Biodegradable Plastic Grade A,Biodegradable Plastic,509.3,4.76,81.65,1.683,71.89,5.78,4.5,7.0,29.0
205,Biodegradable Plastic Grade A,Biodegradable Plastic,1066.3,3.01,70.27,2.404,67.3,3.85,3.26,8.0,-21.0
206,Biodegradable Plastic Grade Economy,Biodegradable Plastic,490.58,13.66,81.31,2.429,65.95,4.01,,7.0,42.0
207,Biodegradable Plastic Grade Premium,Biodegradable Plastic,1004.43,8.84,72.67,2.537,72.36,4.72,1.92,7.0,72.0
208,Biodegradable Plastic Grade A,Biodegradable Plastic,498.72,6.82,79.84,2.772,74.49,5.27,2.62,7.0,-24.0
209,Biodegradable Plastic Grade Standard,Biodegradable Plastic,772.95,13.6,72.65,2.081,79.28,3.37,1.54,7.0,48.0
210,Biodegradable Plastic Grade B,Biodegradable Plastic,823.93,17.98,72.85,2.428,66.47,5.42,3.52,7.0,51.0
211,Biodegradable Plastic Grade B,Biodegradable Plastic,358.16,3.94,75.57,1.899,72.92,4.25,2.06,7.0,-5.0
212,Biodegradable Plastic Grade Economy,Biodegradable Plastic,414.48,22.02,73.65,2.478,76.21,4.65,4.44,8.0,-10.0
213,Biodegradable Plastic Grade Premium,Biodegradable Plastic,1160.6,5.93,71.53,2.488,78.86,5.33,,7.0,-21.0
214,Biodegradable Plastic Grade Standard,Biodegradable Plastic,1137.29,8.57,81.72,2.738,69.91,3.85,2.8,7.0,48.0
215,Biodegradable Plastic Grade B,Biodegradable Plastic,1100.45,12.91,83.24,1.659,79.77,4.05,1.19,,56.0
216,Biodegradable Plastic Grade C,Biodegradable Plastic,944.69,4.59,71.07,1.518,79.13,5.08,2.41,8.0,-3.0
217,Biodegradable Plastic Grade Standard,Biodegradable Plastic,619.36,12.07,78.24,2.746,61.37,3.99,,,73.0
218,Biodegradable Plastic Grade Standard,Biodegradable Plastic,862.2,11.4,73.09,1.682,72.3,5.21,3.58,8.0,88.0
219,Biodegradable Plastic Grade Premium,Biodegradable Plastic,337.76,24.31,81.98,1.939,79.6,4.61,3.33,9.0,1.0
220,Biodegradable Plastic Grade B,Biodegradable Plastic,854.85,6.45,70.66,1.666,71.97,2.83,2.5,8.0,93.0
221,Biodegradable Plastic Grade Standard,Biodegradable Plastic,649.79,6.6,74.11,2.892,73.52,4.24,,7.0,91.0
222,Biodegradable Plastic Grade Economy,Biodegradable Plastic,1034.35,21.95,82.7,2.878,65.04,5.14,2.84,8.0,73.0
223,Biodegradable Plastic Grade Economy,Biodegradable Plastic,802.03,6.97,70.81,1.98,75.06,3.44,3.16,7.0,-29.0
224,Biodegradable Plastic Grade B,Biodegradable Plastic,418.56,18.97,82.27,1.82,70.12,5.44,3.93,9.0,66.0
225,Biodegradable Plastic Grade Economy,Biodegradable Plastic,757.52,9.55,78.48,2.533,77.47,4.73,4.04,9.0,75.0
226,Biodegradable Plastic Grade C,Biodegradable Plastic,802.24,20.86,81.13,2.822,65.56,3.18,4.52,8.0,-21.0
227,Biodegradable Plastic Grade Premium,Biodegradable Plastic,968.11,20.93,79.22,2.532,67.51,4.39,3.1,8.0,59.0
228,Biodegradable Plastic Grade Economy,Biodegradable Plastic,1055.97,21.32,70.17,2.624,75.17,4.87,4.03,9.0,39.0
229,Biodegradable Plastic Grade Economy,Biodegradable Plastic,1088.99,24.92,75.52,2.173,74.44,5.6,3.37,7.0,23.0
230,Biodegradable Plastic Grade C,Biodegradable Plastic,926.06,3.07,79.29,2.033,75.88,2.83,3.35,7.0,-17.0
231,Biodegradable Plastic Grade Premium,Biodegradable Plastic,951.06,5.29,73.38,2.554,61.06,4.2,3.4,9.0,29.0
232,Biodegradable Plastic Grade Standard,Biodegradable Plastic,589.9,17.0,72.23,2.543,74.92,5.94,1.84,9.0,
233,Biodegradable Plastic Grade Premium,Biodegradable Plastic,595.37,12.55,71.33,1.831,71.96,5.07,4.99,8.0,14.0
