Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Mycelium Biofoam,160.96,190.98,0.6,0.58,77.3
Recycled Aluminum,64.14,198.52,0.18,0.56,78.02
Recycled Plastic,282.29,92.24,0.75,3.74,58.42
PLA Bioplastic,119.5,74.56,0.11,1.01,64.08
Cork Material,210.48,123.79,0.19,0.55,43.36
Mycelium Biofoam,85.17,124.82,0.13,0.18,65.73
Cork Material,90.54,48.13,0.33,0.74,40.72
Bamboo Composite,193.17,194.98,0.99,2.1,49.78
Recycled Glass,157.29,197.93,0.16,3.94,57.3
PLA Bioplastic,126.6,128.62,0.93,4.28,69.86
Eco-Resin,250.32,148.95,0.5,4.85,61.79
PLA Bioplastic,226.83,92.57,0.94,1.36,62.91
Recycled Aluminum,273.39,62.83,0.99,1.32,46.35
Recycled Aluminum,269.63,74.83,0.45,4.59,46.83
Eco-Resin,96.28,78.92,0.44,3.77,54.27
Recycled Plastic,161.1,62.77,0.9,1.82,84.3
Recycled Plastic,283.92,128.63,0.88,4.71,85.05
Recycled Aluminum,291.03,198.91,0.51,0.45,57.57
Recycled Plastic,145.3,140.74,0.44,0.59,97.62
Hemp Fiber,25.4,196.02,0.23,1.37,52.93
Bamboo Composite,293.21,58.24,0.97,0.22,93.28
PLA Bioplastic,106.91,77.74,0.57,3.78,60.01
Mycelium Biofoam,290.79,37.87,0.91,1.72,93.35
Recycled Plastic,117.57,149.32,0.71,3.15,82.63
Recycled Aluminum,209.59,129.61,0.59,1.44,48.9
Mycelium Biofoam,28.47,143.52,0.11,1.93,71.83
Bamboo Composite,121.12,103.03,0.24,2.18,94.37
Recycled Aluminum,98.14,45.9,0.2,2.93,81.72
Eco-Resin,83.58,93.7,0.97,4.19,94.89
Cork Material,215.02,163.67,0.56,1.74,87.45
Biodegradable Polymer,297.52,79.71,0.83,2.36,89.61
Cork Material,194.52,177.96,0.66,0.75,98.83
Biodegradable Polymer,160.76,184.86,0.59,4.62,89.79
Hemp Fiber,32.03,27.64,0.2,1.65,54.79
Eco-Resin,104.01,36.29,0.9,2.29,94.47
Recycled Glass,205.11,90.85,0.17,3.51,54.84
Recycled Plastic,164.93,97.56,0.27,2.23,51.25
Recycled Glass,168.1,64.37,1,1.87,68.24
PLA Bioplastic,21.45,194.19,0.7,1.54,52.02
Mycelium Biofoam,190.03,98.14,0.36,1.27,70.87
Bamboo Composite,147.83,70.81,0.97,0.75,45.81
PLA Bioplastic,202.65,165.24,0.46,0.28,99.08
Biodegradable Polymer,221.99,129.33,0.83,4.88,93.39
Eco-Resin,113.94,33.8,0.16,1.29,65.94
Cork Material,70.23,89.49,0.39,2.96,96.19
Biodegradable Polymer,34.7,121.26,0.9,3.93,52.69
PLA Bioplastic,211.78,133.07,0.88,0.58,69.87
Cork Material,127.08,23.83,0.99,4.49,56.27
Recycled Aluminum,52.43,94.13,0.98,2.18,91.43
Mycelium Biofoam,95.95,83.74,0.46,3.39,60.68
Hemp Fiber,131.91,79.37,0.12,1.94,79.7
Bamboo Composite,250.27,132.42,0.75,2.73,46.63
Mycelium Biofoam,133.5,67.6,0.13,3.71,46.59
Cork Material,43.87,134.81,0.13,4.46,80.93
Mycelium Biofoam,28.17,109.31,0.46,2.67,61.91
PLA Bioplastic,119.46,170.43,0.79,3.63,78
Recycled Plastic,43.89,48.17,0.19,1.4,43.97
Biodegradable Polymer,82.34,77.05,0.15,4.56,93.1
Cork Material,62.94,43.92,0.49,2.69,60.97
Bamboo Composite,230.29,185.81,0.13,4.49,63.55
Eco-Resin,213.42,197.53,0.78,1.89,70.06
Recycled Aluminum,91.13,112.46,0.22,1.08,70.84
Recycled Glass,166.83,27.89,0.24,0.33,98.24
Eco-Resin,190.52,117.91,0.25,3.46,98.61
Biodegradable Polymer,290.59,103.99,0.37,2.79,95.85
Recycled Glass,265.67,77.52,0.1,1.31,59.09
Hemp Fiber,200.23,76.07,0.7,2.9,86.48
Recycled Plastic,241.73,136.76,0.32,1.16,49.96
Biodegradable Polymer,222,99.16,0.27,1.11,72.13
Recycled Plastic,293,63.66,0.17,3.66,98.53
Bamboo Composite,105.18,19.7,0.48,0.63,74.09
Bamboo Composite,99.54,187.38,0.8,3.09,40.16
Recycled Glass,208.67,48.77,0.12,0.14,95.64
Biodegradable Polymer,186.9,109.76,0.51,3.04,79.24
Recycled Plastic,120.08,126.22,0.36,4.38,46.75
Cork Material,110.16,124.21,0.43,3.66,80.68
Recycled Plastic,139.11,17.39,0.29,4.67,52.92
Recycled Glass,244.81,36.03,0.65,0.67,83.67
Cork Material,27.21,16.18,0.17,2.63,85.31
Biodegradable Polymer,137.07,38.73,0.2,4.1,68.39
Biodegradable Polymer,271.01,117.14,0.48,3.54,61.43
Bamboo Composite,264.24,35.55,0.72,0.27,93.11
Bamboo Composite,59.29,75,0.94,4.62,56.97
Mycelium Biofoam,49.75,98,0.63,1.34,52.06
PLA Bioplastic,271.71,41.18,0.58,1.7,58.99
Recycled Plastic,242.99,56.95,0.37,4.89,42.76
Bamboo Composite,101.18,117.65,0.8,4,60.67
Recycled Plastic,226.05,32.59,0.88,2.26,69.18
Eco-Resin,159.14,38.58,0.18,2.32,95.96
Bamboo Composite,132.4,86.25,0.83,1.81,52.69
Bamboo Composite,181.15,43.01,0.77,4.69,79.56
Hemp Fiber,52.45,180.47,0.15,4.9,45.79
Bamboo Composite,178.62,76.74,0.41,3.81,58.87
Recycled Glass,164.85,99.57,0.91,2.82,89.61
PLA Bioplastic,88.33,192.98,0.77,1.27,78.67
Recycled Glass,113.26,24.45,0.53,4.12,57.89
Cork Material,112.47,163.71,0.23,1.21,44.13
PLA Bioplastic,224.7,195.62,0.55,2.02,63.52
Bamboo Composite,248.26,47.44,0.98,0.9,57.45
Biodegradable Polymer,143.42,45.42,0.7,3.79,76.24
Bamboo Composite,81.63,126.46,0.2,2.35,59.34
Cork Material,290.23,100.78,0.17,1.47,94.15
Recycled Aluminum,291.62,91.6,0.43,3.97,68.03
Recycled Plastic,101.27,64.31,0.63,4.62,88.32
Biodegradable Polymer,219.36,120.22,0.73,1.87,77.76
Bamboo Composite,135.86,85.93,0.13,0.4,90.96
Recycled Glass,47.35,105.41,0.94,1.22,80.63
Recycled Aluminum,277.68,76.42,0.94,2.77,74.45
Recycled Plastic,165.62,10.98,0.3,4.77,74.94
PLA Bioplastic,263.11,160.02,0.13,3.52,42.81
Biodegradable Polymer,88.23,119.78,0.78,1.26,77.23
Hemp Fiber,285.59,156.76,0.86,2.5,51.12
Eco-Resin,56.04,73.31,0.33,0.46,78.67
Recycled Glass,221.43,73.25,0.33,1.4,47.64
PLA Bioplastic,32.32,109.48,0.51,1.7,58.01
Mycelium Biofoam,140.43,132.16,0.87,2.43,98.15
Bamboo Composite,23.78,99.33,0.33,4.14,53.97
Bamboo Composite,54.35,98.87,0.18,1.22,81.12
Recycled Glass,23.18,104.69,0.17,0.35,97.93
Cork Material,62.57,5.13,0.95,1.46,51.15
Recycled Aluminum,55.48,82.61,0.78,2.86,83.83
Eco-Resin,135.37,102.19,0.32,4.99,80.27
Eco-Resin,32.01,141.67,0.92,2.67,61.25
Eco-Resin,267.81,24.55,0.78,0.18,98.02
Bamboo Composite,52.99,74.48,0.34,4.06,49.81
Hemp Fiber,295.83,157.76,0.57,0.42,68.34
Recycled Aluminum,155.81,179.63,0.29,1.94,78.47
Mycelium Biofoam,93.58,106.8,0.13,4.54,88.98
Recycled Aluminum,258.51,192.67,0.2,3.19,99.88
Eco-Resin,250.65,58.71,0.43,3.83,81.76
Hemp Fiber,66.01,179.29,0.62,1.36,54.21
Eco-Resin,132.88,18.43,0.95,3.96,69.79
Recycled Glass,48.68,82.42,0.35,2.58,60.99
Hemp Fiber,197.52,49.96,0.34,4.02,97.33
Eco-Resin,296.57,178.04,0.1,0.4,93.89
Bamboo Composite,139.28,179.08,0.19,0.19,75.44
Recycled Glass,243.63,185.07,0.37,2,69.18
Cork Material,227.06,142.27,0.94,3.05,75.71
PLA Bioplastic,57.95,145.45,0.93,3.36,65.38
Recycled Aluminum,257.83,170.5,0.32,4.15,83.14
Eco-Resin,248.52,182.73,0.35,1.91,62.79
Bamboo Composite,208.41,117.6,0.8,0.8,58.08
Recycled Aluminum,283.81,178.21,0.87,3.3,60.66
Recycled Glass,211.74,155.86,0.68,1.99,41.89
Eco-Resin,246.12,14.95,0.66,2.56,50.19
PLA Bioplastic,271.47,15.92,0.96,2.62,40.04
Recycled Plastic,126.57,197.15,0.33,2.29,45.68
Bamboo Composite,30.51,155.39,0.35,0.78,82.09
Hemp Fiber,138.96,134.52,0.46,0.52,43.76
Recycled Plastic,67.41,193.19,0.24,4.05,75.17
Bamboo Composite,163.38,194.49,0.43,3.96,73.32
Bamboo Composite,296.93,151.19,0.13,4,94.52
PLA Bioplastic,214.25,183.69,0.33,3.82,67.59
Recycled Glass,287.41,195.96,0.88,1.86,93.26
Hemp Fiber,140.4,11.97,0.79,2.56,87.17
Mycelium Biofoam,104.18,161.16,0.59,2.42,80.51
Hemp Fiber,48.65,61.97,0.98,0.78,59.84
PLA Bioplastic,112.76,67.46,0.95,4.24,62.97
Recycled Plastic,288.28,165.6,0.93,1.28,81.31
Recycled Plastic,141.9,160.11,0.71,4.7,77.27
Cork Material,212.53,13.31,0.59,3.25,74.23
Biodegradable Polymer,81.83,34.95,0.78,3.98,73.02
Eco-Resin,121.11,19.79,0.99,4.36,52.33
PLA Bioplastic,202.7,112.77,0.33,1.69,87.29
Biodegradable Polymer,42.84,105.07,0.3,1.24,71.55
Mycelium Biofoam,86.51,57.9,0.33,2.71,82.19
Recycled Glass,214.34,157.33,0.25,1.93,64.83
Mycelium Biofoam,24.14,161.53,0.65,3.8,62.7
Hemp Fiber,41.08,20.26,0.43,3.86,81.32
Recycled Aluminum,49.5,193.08,0.74,2.67,93.17
Cork Material,97.84,159.69,0.69,2.94,86.49
Bamboo Composite,244.62,149.99,0.88,4.64,40.82
Recycled Glass,81.56,58.49,0.73,0.25,92.4
Recycled Aluminum,168.73,96.78,0.73,2.75,72.54
PLA Bioplastic,109.15,37.79,0.6,1.66,97.48
PLA Bioplastic,199.83,153.95,0.38,0.86,79.09
Biodegradable Polymer,107.81,76.28,0.28,2.49,99.42
Recycled Plastic,161.75,33.11,0.46,0.83,47.36
Recycled Plastic,94.67,155.36,0.58,4.38,99.99
Biodegradable Polymer,74.11,138.67,0.14,0.6,48.05
PLA Bioplastic,103.65,54.74,0.78,4.99,72.04
Cork Material,131.05,25.8,0.47,1.55,69.6
Bamboo Composite,163.5,182.16,0.32,1.39,95.81
PLA Bioplastic,56.87,82.42,0.73,1.5,46.24
Recycled Aluminum,224.4,19.61,0.6,2.93,58.94
Eco-Resin,163.45,17.45,0.86,4.75,55.9
PLA Bioplastic,105.45,196.77,0.91,2.35,89.05
Hemp Fiber,200.55,194.23,0.81,3.77,76.46
Recycled Glass,199.98,91.36,0.91,1.68,68.45
Mycelium Biofoam,62.77,98.57,0.26,1.08,74.51
Hemp Fiber,30.65,191.53,0.7,4.82,71.89
Bamboo Composite,293.72,53.31,0.71,4.94,95.56
Bamboo Composite,272.1,196.74,0.13,1.05,46.73
Recycled Glass,61.86,141.41,0.41,1.02,63.45
PLA Bioplastic,280.29,135.11,0.82,2.8,98.83
Hemp Fiber,289.06,127.4,0.63,4.18,40.07
Bamboo Composite,100.4,92.11,0.21,4.31,82.94
Mycelium Biofoam,45.51,102.79,0.21,1.44,95.23
Recycled Plastic,176.32,88.53,0.93,0.61,98.95
PLA Bioplastic,214.43,156.76,0.81,4.13,62.94
Biodegradable Polymer,107.06,102.19,0.73,0.78,51.64
Recycled Aluminum,147.92,100.12,0.79,0.45,80.23
Mycelium Biofoam,245.37,199.68,0.86,2.13,47.65
Hemp Fiber,233.51,195.84,0.67,0.76,52.26
Mycelium Biofoam,212.82,13.28,0.56,2.78,60.41
Eco-Resin,106.42,191.6,0.7,3.96,70.94
Hemp Fiber,112.11,8.84,0.14,1.36,84.41
Bamboo Composite,130.52,150.04,0.45,1.65,54.13
Bamboo Composite,184.28,119.69,0.13,4.99,47.89
Eco-Resin,249.88,77.75,0.28,0.58,84.92
Recycled Aluminum,219.84,183.5,0.23,4.6,64.7
Eco-Resin,160.49,196.23,0.48,2.97,75.47
PLA Bioplastic,221.92,156.4,0.76,0.82,67.23
PLA Bioplastic,185.12,176.91,0.94,0.36,50.9
Cork Material,74.13,72.59,0.56,3.18,83.93
Mycelium Biofoam,230.39,168.03,0.59,0.23,59.8
Hemp Fiber,265.19,13.34,0.1,1.44,67.73
Eco-Resin,133.82,190.94,0.18,4.76,42.1
Hemp Fiber,165.6,93.1,0.82,4.81,87.94
Cork Material,248.37,137.91,0.47,4.91,79.43
Biodegradable Polymer,167.93,135.98,0.52,4.8,54.42
Bamboo Composite,284.69,77.4,0.71,4.59,45.71
Hemp Fiber,136.74,83.09,0.73,0.55,49.99
Mycelium Biofoam,286.18,122.35,0.83,4.94,87.25
Recycled Plastic,192.02,48.19,0.14,2.21,80.36
Eco-Resin,56.3,13.05,0.1,1.85,54.55
Hemp Fiber,244.83,154.66,0.57,4.92,48.64
Cork Material,52.61,36.82,0.73,0.64,73.95
Recycled Aluminum,158.53,114.6,0.3,2.8,83.07
Recycled Plastic,106.85,105.51,0.47,1.23,58.47
Recycled Glass,251.5,66.89,0.64,2.08,47.01
Eco-Resin,77.16,54.78,0.9,1.11,87.85
Cork Material,179.61,112.6,0.96,0.15,93.89
Biodegradable Polymer,100.17,37.51,0.26,2.46,46.58
Bamboo Composite,111,88.17,0.38,2.67,42.4
Mycelium Biofoam,249.16,20.69,0.64,4.19,54.28
PLA Bioplastic,95.52,153.97,0.18,3.34,73.09
Bamboo Composite,95.73,125.16,0.45,3.55,61.18
Recycled Aluminum,107.55,177.44,0.96,1.12,87.31
Eco-Resin,123.61,43.32,0.13,1.21,77.31
Cork Material,210.03,187.83,0.33,3.89,79.37
Mycelium Biofoam,151.43,153.09,0.26,0.94,65.91
Eco-Resin,40.75,169.67,0.79,2.77,98.76
Recycled Glass,295.71,143.71,0.79,2.93,92.75
Recycled Aluminum,238.35,132.16,0.86,4.41,67.89
PLA Bioplastic,263.34,7.51,0.95,1.35,77.81
Mycelium Biofoam,191.3,118.3,0.79,2.8,73.6
Bamboo Composite,176.59,175.49,0.73,3.15,97.36
Recycled Plastic,250.79,123.51,0.54,0.17,76.38
Recycled Plastic,94.56,45.68,0.5,1.33,91.16
Bamboo Composite,290.77,175.59,0.6,0.6,69.01
Cork Material,142,56.73,0.89,4.61,70.35
Cork Material,37.22,71.57,0.45,2.58,90.92
PLA Bioplastic,69.08,44.38,0.72,3.92,69.43
Recycled Aluminum,60.43,140.78,0.9,1.2,72.39
Recycled Plastic,144.5,186.37,0.26,2.07,76.94
Recycled Aluminum,57.28,183.99,0.17,2.46,67.28
Biodegradable Polymer,117.29,93.56,0.88,4.78,71.14
Eco-Resin,296.25,95.42,0.92,1.75,65.59
Biodegradable Polymer,32.44,33.44,0.64,1.2,90.24
PLA Bioplastic,286.53,27.27,0.83,3.39,41.96
Biodegradable Polymer,261.55,54.59,0.7,4.1,76.43
Biodegradable Polymer,268.53,35.58,0.54,0.37,88.71
Mycelium Biofoam,27.37,145.18,0.84,3.76,70.74
Hemp Fiber,31.8,194.44,0.38,1.21,44.1
Bamboo Composite,246.41,67.32,0.8,3.89,96.19
Eco-Resin,182.01,138.3,0.34,0.74,43.53
Recycled Aluminum,229.87,12.31,0.8,2.31,79.98
PLA Bioplastic,256.02,196.72,0.5,0.31,47.05
Biodegradable Polymer,232.08,100.74,0.27,1.63,77.23
Recycled Plastic,72.66,179.58,0.68,2.54,62.21
Hemp Fiber,190.55,41.1,0.11,0.15,71.93
Eco-Resin,280.95,98.66,0.63,4.16,48.57
PLA Bioplastic,233.02,199.65,0.37,1.21,47.51
Recycled Plastic,257.56,65.38,0.79,2.3,88.33
Recycled Plastic,249.85,139.72,0.78,3.92,85.08
Hemp Fiber,56.29,5.93,0.6,0.66,83.32
Biodegradable Polymer,69.37,188.64,0.75,1.56,82.55
Cork Material,278.95,130.24,0.56,2.88,72.19
Biodegradable Polymer,265.06,10.39,0.69,2.13,87.48
Eco-Resin,63.53,18.67,0.23,2.91,61.41
Cork Material,122.57,185.6,0.15,1.18,90.56
Recycled Plastic,92.87,77.39,0.63,2.02,56.09
Biodegradable Polymer,27.06,57.95,0.52,3.66,68.49
Cork Material,29.86,40.23,0.4,2.93,91.16
Cork Material,95.04,17.07,0.84,1.96,74.29
Recycled Glass,184.93,130.51,0.48,2.44,88.9
Bamboo Composite,170.36,195.88,0.46,3.05,43.8
PLA Bioplastic,224.52,48.95,0.81,3.18,54
Hemp Fiber,87.21,145.74,0.37,2.53,93.89
Biodegradable Polymer,91.19,151.07,0.58,0.66,63.62
Bamboo Composite,73.57,112.12,0.12,3.87,63.55
Bamboo Composite,60.31,161.94,0.74,2.1,71.11
Bamboo Composite,42.83,167.05,0.25,0.77,49.98
Hemp Fiber,249.51,100.25,0.22,4.27,74.5
Bamboo Composite,169.16,162.8,0.25,4.34,75.13
Recycled Plastic,184.79,48.16,0.27,2.44,61.38
Bamboo Composite,92.25,97.31,0.85,1.23,65.6
Recycled Plastic,184.45,74.16,0.77,2.3,64.73
Cork Material,119.28,135.22,0.56,2.64,78.89
Recycled Aluminum,170.05,135.19,0.84,1.23,59.56
Mycelium Biofoam,123.87,19.97,0.35,0.4,99.35
Biodegradable Polymer,297.07,130.66,0.43,0.6,87.27
Recycled Aluminum,251.41,196.58,0.47,0.82,64.11
Recycled Aluminum,69.31,67.36,0.84,2.74,42.75
Cork Material,211.51,109.98,0.62,1.2,90.86
Eco-Resin,125.61,78.2,0.47,4.83,98.21
PLA Bioplastic,29.35,120.1,0.38,1.32,56.68
Cork Material,152.15,123.4,0.26,2.78,84.33
Recycled Glass,136.1,87.15,0.93,3.34,44.83
PLA Bioplastic,56.27,110.24,0.88,3.19,94.52
Cork Material,147.51,96.04,0.29,4.77,58.66
Eco-Resin,28.34,80.66,0.21,1.04,87.37
Recycled Aluminum,196.93,191.4,0.63,4.84,97.7
Recycled Aluminum,77.51,132.71,0.58,3.97,85.99
Biodegradable Polymer,231.94,71.23,0.67,3.06,63.15
PLA Bioplastic,288.1,48.14,0.49,2.15,75.19
Mycelium Biofoam,286.62,107.98,0.82,0.35,65.25
Recycled Aluminum,94.75,159.33,0.66,2.25,40.64
Mycelium Biofoam,289.37,47.42,0.14,2.7,97.08
Recycled Glass,299.78,51.26,0.16,0.83,89.25
Cork Material,289.5,160.41,0.42,4.27,78.46
Recycled Aluminum,40.29,6.07,0.35,1.88,86.6
Recycled Aluminum,127.91,95.54,0.68,2.98,83.99
Hemp Fiber,41.86,68.03,0.92,1.08,90.62
Mycelium Biofoam,289.95,153.97,0.28,4.9,82.15
PLA Bioplastic,236.57,84.22,0.97,1.49,55.78
Biodegradable Polymer,277.24,117.65,0.45,1.22,87.01
Hemp Fiber,225.95,123.92,0.96,3.59,67.39
PLA Bioplastic,244.3,106.08,0.36,3.23,75.11
Hemp Fiber,108.12,84.26,0.97,2.99,80.81
PLA Bioplastic,92.1,71.84,0.18,4.7,64.31
Mycelium Biofoam,173.41,138.05,0.83,3.39,65.34
Hemp Fiber,215.68,120.71,0.23,3.84,91.17
Eco-Resin,288.52,142.74,0.36,0.29,63.41
Recycled Plastic,161.43,98.36,0.32,3.64,46.77
Recycled Plastic,149.32,107.04,0.26,0.69,76.83
Mycelium Biofoam,97,102.6,0.31,1.75,51.42
Recycled Aluminum,48.85,165.29,0.99,0.88,85.11
Recycled Plastic,43.64,37.27,0.66,3.15,90.29
Bamboo Composite,58.73,126.95,0.71,4.66,47.51
Recycled Glass,154.71,54.05,0.89,1.69,95.48
Biodegradable Polymer,137.36,199.16,0.79,3.84,95.33
Cork Material,126.56,98.32,0.62,4.98,53.93
Recycled Plastic,151.97,100.47,0.11,1.23,68.28
Cork Material,103.61,77.53,0.95,3.67,71
Cork Material,82.84,122.99,0.9,2.88,78.65
Recycled Glass,106.48,102.31,0.61,2.78,55.6
PLA Bioplastic,230.1,61.13,0.55,1.01,51.3
Recycled Aluminum,130.93,171.47,0.98,1.85,40.78
Cork Material,268.48,38,0.32,2.41,48.15
Mycelium Biofoam,24.36,161.35,0.19,3.02,55.73
Recycled Glass,89.39,42.61,0.29,1.76,56.65
Recycled Glass,118.67,179.36,0.26,3.84,43.68
Hemp Fiber,251.24,154.89,0.31,1.34,72.91
Mycelium Biofoam,236.68,74.98,0.92,1.55,64.56
Recycled Plastic,267.36,180.68,0.98,1.73,95.74
Recycled Aluminum,61.98,152.05,0.75,2.84,75.08
Mycelium Biofoam,62.98,163.85,0.75,2.78,55.58
Eco-Resin,265.35,54.51,0.17,3.77,64.77
Recycled Glass,112.53,33.47,0.11,3.35,51.26
Cork Material,294.06,137.86,0.24,2.36,98
Recycled Glass,27.83,10.72,0.62,0.51,42.64
Recycled Plastic,24.77,114.01,0.56,3.99,65.41
Recycled Plastic,84.66,189.35,0.64,1.84,93.56
Mycelium Biofoam,32.12,161.15,0.44,3.38,68.3
Biodegradable Polymer,24.91,73.84,0.26,1.4,77.54
Eco-Resin,232.29,128.6,0.96,1.38,49.26
Recycled Plastic,169.01,29.84,0.63,0.78,92.12
Recycled Plastic,261.31,191.53,0.58,3.28,70.04
Hemp Fiber,97.82,59.81,0.52,4.74,88.06
Biodegradable Polymer,149.26,76.61,0.95,1.19,73.21
Recycled Glass,192.78,97.1,0.68,2.08,85.59
Recycled Plastic,298.15,153.95,0.52,4.19,47.22
Mycelium Biofoam,156.07,37.87,0.72,3.07,73.17
Eco-Resin,161.87,27.45,0.84,1.83,98.98
Recycled Aluminum,258.97,74.47,0.78,4.93,71.58
Recycled Aluminum,113.7,38.17,0.98,4,57.59
Recycled Glass,160.19,19.06,0.18,2.16,55.67
Recycled Aluminum,84.18,115.23,0.3,3.51,68.37
Mycelium Biofoam,42.46,103.99,0.25,1.89,84.6
Eco-Resin,245.95,145.17,0.95,2.72,88.13
Recycled Plastic,116.81,83.1,0.47,0.61,71.15
PLA Bioplastic,62.94,69.38,0.36,3.68,85.96
Biodegradable Polymer,239.47,144.41,0.23,3.2,87.55
Hemp Fiber,45.84,138.67,0.74,4.32,70.48
Cork Material,52.24,80.35,0.36,0.83,48.96
Biodegradable Polymer,275,188.51,0.12,1.37,40.51
Recycled Plastic,298.83,164.36,0.66,4.58,88.81
Recycled Plastic,24.52,93.7,0.42,3.28,73.01
Eco-Resin,145.3,133.86,0.79,2.74,49.51
Recycled Plastic,178.48,136.76,0.93,3.25,44.3
Hemp Fiber,105.18,110.5,0.37,3.72,55.56
Biodegradable Polymer,173.92,177.54,0.51,4.66,41.79
Mycelium Biofoam,287.5,96.57,0.33,3.29,62.92
Recycled Aluminum,109,124.76,0.48,1.08,79.4
Recycled Aluminum,255.26,148.19,0.48,0.91,82.71
Recycled Plastic,242.05,166.15,0.96,2.01,74.8
Eco-Resin,177.68,101.25,0.56,2.05,48.14
Recycled Plastic,76.94,116.16,0.77,1.83,66.06
Cork Material,276.49,68.08,0.71,0.23,96.32
PLA Bioplastic,237.27,19.85,0.24,3.36,84.3
Mycelium Biofoam,55.02,116.01,0.36,2.85,92.18
Hemp Fiber,185.32,111.44,0.95,0.73,44.39
Recycled Aluminum,109.49,74.36,0.84,2.57,71.25
Mycelium Biofoam,154.98,93.36,0.82,2.41,85.5
Hemp Fiber,168.95,165.7,0.26,2.38,76.54
Recycled Aluminum,42.12,189.55,0.52,1.75,47.01
Eco-Resin,204.75,23.43,0.38,4.2,78.77
Recycled Glass,236.17,44.84,0.3,4.99,90.71
Cork Material,106.57,29.32,0.52,2.23,95.61
Recycled Plastic,58.26,76.91,0.97,0.7,45.95
Recycled Aluminum,194.3,66.46,0.91,4.86,55.88
