Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Aluminum (Recycled),144.23,1.99,0.51,2.38,75.16
Cork Material,98.18,1.37,0.26,0.98,76.18
PLA Bioplastic,40.52,4.63,0.75,1.82,82.27
Paper Pulp Composite,87.38,2.01,0.77,2.62,78.06
PLA Bioplastic,20.03,4.89,0.39,2,36.27
PLA Bioplastic,80.4,0.57,0.51,1.64,53.74
Bamboo Fiber,56.5,3.19,0.74,1.9,62.44
Paper Pulp Composite,60.13,3.08,0.95,1.81,98.57
Paper Pulp Composite,97.39,1.09,0.33,0.13,42.3
Aluminum (Recycled),48.81,2.7,0.81,0.21,68.43
Mycelium Packaging,68.75,3.88,0.28,2.29,65.42
Aluminum (Recycled),117.1,3.02,0.87,2.69,98.09
Paper Pulp Composite,125.22,1.45,0.98,1.32,38.17
Cork Material,63.84,4.66,0.43,0.89,64.47
PLA Bioplastic,93.58,3.99,0.2,0.15,77.84
Sugarcane Bioplastic,133.86,3.87,0.46,2.4,52.72
Bamboo Fiber,24.04,4.27,0.76,1.47,57.6
Mycelium Packaging,62.18,3.57,0.56,1.84,99.33
Bamboo Fiber,112.4,3.03,1,0.7,84.23
Recycled PET,122.09,4.67,0.34,2.59,97.02
Paper Pulp Composite,140.78,2.53,0.43,2.72,55.73
Cork Material,51.14,1.81,0.96,1.46,49.48
Aluminum (Recycled),100.07,0.6,0.81,2.56,89.1
Sugarcane Bioplastic,124.08,4.74,0.52,2.73,36.68
Paper Pulp Composite,137.04,4.46,0.94,0.51,91.58
Bamboo Fiber,60.21,2.82,0.98,1.43,39.34
Bamboo Fiber,33.14,1.03,0.75,1.74,91.13
Mycelium Packaging,98.15,0.22,0.61,2.6,98.89
Mycelium Packaging,45.4,1.16,0.24,0.08,64.31
Paper Pulp Composite,45.9,1.84,0.71,0.87,53.39
Glass (Recycled),63.27,3.53,0.6,1.92,54.74
Mycelium Packaging,50.48,0.85,0.36,2.01,90.31
Sugarcane Bioplastic,140.64,4.68,0.43,0.86,68.6
Paper Pulp Composite,112.33,3.09,0.52,0.85,69.12
Aluminum (Recycled),100.29,2.45,0.97,0.47,74.26
PLA Bioplastic,138.9,4.59,0.94,0.24,38.03
Glass (Recycled),141.28,4.95,0.99,1.78,36.42
Bamboo Fiber,30.47,3.12,0.96,2,65.02
Sugarcane Bioplastic,50.5,4.74,0.88,1.33,62.76
Mycelium Packaging,84.32,4.21,0.28,2.24,43.4
Mycelium Packaging,87.21,1.64,0.82,0.48,47.14
Cork Material,37.43,0.49,0.9,0.31,77.86
Sugarcane Bioplastic,29.75,4.47,0.78,1.35,95.27
Glass (Recycled),13.8,4.01,0.84,2.61,76.88
Paper Pulp Composite,135.65,2.3,0.65,1.54,78.44
Mycelium Packaging,39.24,0.31,0.65,0.53,41.53
Bamboo Fiber,34.99,4.85,0.79,0.82,70.69
Biodegradable Polymer,53.97,0.22,0.59,1.23,77.61
Aluminum (Recycled),89.54,3.35,0.29,0.3,73.76
Mycelium Packaging,144.4,2.61,0.71,1.68,37.78
Biodegradable Polymer,142.98,4.81,0.78,1.25,82.06
Sugarcane Bioplastic,54.02,3.05,0.68,2.64,47.82
Glass (Recycled),93.66,3.47,0.9,2.24,41.63
Bamboo Fiber,35.72,4.29,0.49,2.68,31.94
PLA Bioplastic,142.85,3.46,0.78,1.27,43.46
Cork Material,53.63,1.65,0.69,1.97,89.22
Glass (Recycled),101.22,3.22,0.77,1.18,73.32
Mycelium Packaging,135.31,1.59,0.64,2.06,46.55
Cork Material,89.99,1.37,0.96,0.07,73.44
Recycled PET,142.53,2.79,0.27,0.65,89.8
Biodegradable Polymer,135.29,1.68,0.62,1.97,71.6
Glass (Recycled),55.31,3.93,1,2.98,95.27
Recycled PET,109.95,1.68,0.7,0.81,75.57
Recycled PET,129.31,3.11,0.72,1.65,70.55
Bamboo Fiber,141.52,3.76,0.8,0.67,88.11
PLA Bioplastic,98.43,3.57,0.79,1.2,83.19
Sugarcane Bioplastic,53.74,1.85,0.7,1.7,42.06
Recycled PET,27.7,3.9,0.23,0.76,91.53
Biodegradable Polymer,94.76,4.88,0.23,2.85,51.79
Sugarcane Bioplastic,61.39,2.6,0.24,0.09,92.47
Aluminum (Recycled),140.82,3.11,0.99,0.15,80.76
Cork Material,84.69,4.28,0.91,2.89,72.37
Biodegradable Polymer,121.95,2.54,0.27,2.34,67.36
Bamboo Fiber,65.99,4.93,0.22,2.8,95.16
PLA Bioplastic,113.51,4.98,0.61,2.86,43.87
Paper Pulp Composite,138.23,4.52,0.63,2.6,54.68
Bamboo Fiber,98.24,2.43,0.53,0.71,80.61
Recycled PET,112.84,3.22,0.78,0.2,94.4
PLA Bioplastic,87.28,4.82,0.42,1.83,57.75
Mycelium Packaging,52.09,4.11,0.26,0.17,33.46
Paper Pulp Composite,20.32,1.81,0.77,0.61,66.11
Cork Material,59.45,1.03,0.38,0.18,79.92
Aluminum (Recycled),11.57,1.71,0.73,0.51,77.57
Mycelium Packaging,102.26,1.93,0.53,1.47,95.47
Cork Material,55.63,1.03,0.98,1.46,70.05
Aluminum (Recycled),114.79,1.79,0.93,2.52,68.64
Aluminum (Recycled),128.98,4.05,0.3,1.63,93.05
PLA Bioplastic,145.38,3.58,0.72,1.03,96.75
Paper Pulp Composite,123.22,4.51,0.21,1.17,46.49
Bamboo Fiber,51.98,4.02,0.81,1.9,49.57
Bamboo Fiber,44.02,2.49,0.3,0.61,55.58
Biodegradable Polymer,132.24,4.52,0.85,1.96,58.4
Recycled PET,137.94,3.13,0.39,2.32,37.39
Aluminum (Recycled),119.39,4.75,0.39,2.88,56.26
Biodegradable Polymer,83.39,3.3,0.85,2.43,73.38
Sugarcane Bioplastic,88.55,3.35,0.29,0.12,67.14
Cork Material,49.68,1.99,0.51,1.61,37.92
Cork Material,139.17,0.27,0.5,1.88,43.79
PLA Bioplastic,10.5,2.05,0.54,2.5,37.09
Glass (Recycled),78.74,3.85,0.71,1.43,76.69
Biodegradable Polymer,26,1.9,0.42,1.5,51.68
Bamboo Fiber,147.25,1.15,0.57,2.69,72.1
Sugarcane Bioplastic,106.7,3.36,0.94,1.18,43.56
Sugarcane Bioplastic,26.43,3.85,0.26,3,57.27
Paper Pulp Composite,36.4,2.23,0.88,1.81,62.35
Sugarcane Bioplastic,47.73,2.78,0.71,1.64,70.1
Sugarcane Bioplastic,17.35,2.82,0.88,1.11,35.27
Recycled PET,94.28,2.16,0.85,2.83,90.89
PLA Bioplastic,75.84,3.43,0.21,2.95,42.05
Recycled PET,55.13,1.28,0.62,1.98,92.39
PLA Bioplastic,73.05,4.68,0.48,1.88,98.65
Paper Pulp Composite,120.36,0.97,0.64,2.4,52.83
Bamboo Fiber,86.15,3.6,0.4,2.13,50.67
Biodegradable Polymer,125.75,3.25,0.36,0.82,59.29
Sugarcane Bioplastic,76.84,2.36,0.87,2.62,87.17
PLA Bioplastic,16.21,3.49,0.62,1.09,74.69
Cork Material,17.28,0.72,0.3,1.98,42.27
Cork Material,84.37,3.86,0.82,0.53,88.87
Cork Material,83.22,4.72,0.89,1.21,49.87
Cork Material,82.85,3.49,0.22,1.27,34.47
Bamboo Fiber,140.81,0.66,0.74,0.79,61.58
Paper Pulp Composite,63.22,3.32,0.67,0.91,73
Aluminum (Recycled),84.61,4.81,0.35,1.55,54.07
Paper Pulp Composite,147.78,3.5,0.65,0.59,95.67
Paper Pulp Composite,48.14,3.01,0.9,0.43,97.07
Sugarcane Bioplastic,147.6,2.11,0.63,2.05,65.9
Paper Pulp Composite,54.4,1.73,0.39,1.42,81.33
Sugarcane Bioplastic,82.4,1.2,0.7,0.95,32.07
Recycled PET,35.75,2.25,0.34,2.39,38.99
Paper Pulp Composite,34.18,1.65,0.4,1.51,87.71
Bamboo Fiber,53.15,0.53,0.9,2.73,71.4
Mycelium Packaging,85.53,3.76,0.38,0.56,32.78
Biodegradable Polymer,26.76,3.13,0.47,2.67,94.79
Mycelium Packaging,40.5,3.43,0.78,0.95,57.77
Aluminum (Recycled),69.2,0.56,0.82,0.45,59.7
Mycelium Packaging,52.14,3.38,0.61,0.61,62.84
Recycled PET,108.63,1.17,0.88,1.6,65.04
PLA Bioplastic,36.06,2.39,0.99,0.44,49.84
Sugarcane Bioplastic,59.78,4.73,0.42,2.71,70.84
Cork Material,110.71,4.29,0.74,0.75,94.8
Bamboo Fiber,122.39,4.66,0.63,2.07,43.2
Glass (Recycled),148.5,1.24,0.95,2.98,35.45
PLA Bioplastic,122.5,2.02,0.33,1.96,82.73
Paper Pulp Composite,136.06,4.37,0.77,1.79,87.22
Sugarcane Bioplastic,42.32,4.81,0.43,0.72,91.52
Sugarcane Bioplastic,65.97,1.43,0.54,1.52,76.2
Cork Material,27.37,0.95,0.97,0.92,55.57
Bamboo Fiber,54.83,0.78,0.68,1.85,65.01
Bamboo Fiber,94.58,2.73,0.78,2.91,97.16
Mycelium Packaging,91.03,4.85,0.64,1.39,52.95
Paper Pulp Composite,37.42,2.3,0.7,2.26,37.68
Cork Material,64.23,3.37,0.36,1.61,42.05
Biodegradable Polymer,35.42,3.63,0.77,1.34,40.77
Mycelium Packaging,65.01,4.95,0.61,1.46,82.46
Aluminum (Recycled),61.35,2.72,0.97,1.95,54.55
Paper Pulp Composite,124.14,0.44,0.7,1.95,47.46
Bamboo Fiber,129.23,3.34,0.26,1.05,89.71
Aluminum (Recycled),40.26,1.9,0.39,1.57,68.69
Bamboo Fiber,71.66,3.78,0.94,1.35,66.96
Cork Material,25.63,4.05,0.83,1.36,96.97
Recycled PET,94.91,0.2,0.32,0.89,30.34
Recycled PET,116.17,1.98,0.37,1.32,55.44
Bamboo Fiber,123.29,1.05,0.46,2.24,53.86
Recycled PET,105.05,3.63,0.2,1.25,49.16
Aluminum (Recycled),53,3.78,0.43,1.14,50.49
Mycelium Packaging,109.02,4.2,0.24,1.28,39.88
Sugarcane Bioplastic,56.52,4.1,0.84,1.76,81.95
Sugarcane Bioplastic,127.09,2.66,0.61,2.16,60.34
Paper Pulp Composite,140.2,3.15,0.31,2.28,66.88
Bamboo Fiber,12.84,0.91,0.83,0.2,96.08
Aluminum (Recycled),130.23,4.62,0.92,1.22,35.88
Paper Pulp Composite,98.54,4.47,0.26,1.7,77.27
Biodegradable Polymer,92.25,3.23,0.5,0.86,65.66
Biodegradable Polymer,37.12,1.13,0.63,1.72,70.14
Cork Material,103.5,1.94,0.98,0.79,86.78
Biodegradable Polymer,36.78,1.97,0.88,0.85,73.85
Glass (Recycled),69.26,3.72,0.34,1.06,89.07
Aluminum (Recycled),22.09,2.77,0.21,2.95,71.89
Recycled PET,146.38,4.26,0.73,2.1,99.76
Bamboo Fiber,50.25,4.79,0.76,1.89,95.15
Aluminum (Recycled),12.64,4.08,0.34,0.35,42.78
Biodegradable Polymer,130.05,0.91,0.86,1.03,72.58
Sugarcane Bioplastic,16.67,2.27,0.65,1.74,93.38
Glass (Recycled),113.05,1.66,0.24,1.59,89.31
Biodegradable Polymer,78.25,3.12,0.31,0.15,37.94
Paper Pulp Composite,132.46,3.68,0.78,0.87,58.54
Mycelium Packaging,119.84,4.57,0.84,0.59,43.08
Recycled PET,13.71,1.98,0.56,2.8,49.5
Mycelium Packaging,99.14,1.48,0.89,1.84,62.29
Sugarcane Bioplastic,94.84,0.18,0.21,0.23,63.7
Paper Pulp Composite,47.61,3.38,0.5,0.44,35.44
Paper Pulp Composite,144.82,4.69,0.41,0.64,71.22
Aluminum (Recycled),39.32,0.18,0.95,1.4,93.6
Sugarcane Bioplastic,92.26,3.72,0.53,1.47,81.05
Paper Pulp Composite,74.35,4.4,0.74,0.22,40.93
Sugarcane Bioplastic,90.18,0.95,0.29,2.6,49.67
Cork Material,145.01,0.26,0.28,0.71,86.46
PLA Bioplastic,74.7,0.68,0.22,0.18,93.12
Biodegradable Polymer,147.08,3.72,0.53,2.23,56.47
Bamboo Fiber,115.93,4.69,0.89,0.82,58.86
PLA Bioplastic,94,1.3,0.79,0.77,59.82
Mycelium Packaging,127.97,4.54,0.71,0.46,68.41
Cork Material,24.14,0.27,0.33,1.6,62.09
Recycled PET,89.33,0.26,0.73,0.64,59.15
Recycled PET,108.21,2.09,0.87,1.56,97.55
Sugarcane Bioplastic,42.33,1.47,0.86,0.5,68.65
Recycled PET,23.33,3.25,0.64,2.67,78.93
Bamboo Fiber,75.47,1.79,0.44,1.65,81.07
Recycled PET,11.4,2.98,0.85,2.26,43.39
Sugarcane Bioplastic,67.15,3.43,0.25,0.58,78.6
Biodegradable Polymer,61.77,4.36,0.4,2.99,40.89
Mycelium Packaging,31.1,1.26,0.64,1.07,78.34
Cork Material,32.51,3.6,0.98,2.79,93.07
Paper Pulp Composite,30.43,0.41,0.63,2.65,67.23
PLA Bioplastic,86.82,0.61,0.48,2.7,70.36
PLA Bioplastic,87.71,4.86,0.27,0.86,37.36
Glass (Recycled),50.46,2.59,0.48,2.79,85.3
Recycled PET,113.36,1.31,0.98,1.29,76.45
Paper Pulp Composite,62.65,2.04,0.42,0.33,38.31
Paper Pulp Composite,78.73,4.94,0.92,2.62,91.49
Recycled PET,12.25,0.81,0.57,2.28,81.02
PLA Bioplastic,57.78,1.99,0.68,0.77,77.56
Cork Material,16.57,3.7,0.42,1.47,43.44
Aluminum (Recycled),22.81,0.43,0.84,1.46,31.53
Glass (Recycled),58.83,1.46,0.27,1.59,85.19
Paper Pulp Composite,79.62,2.99,0.43,0.49,39.23
Aluminum (Recycled),67.89,4.5,0.8,1.71,85.56
Aluminum (Recycled),119.95,3.12,0.69,2.12,99.1
PLA Bioplastic,26.57,3.47,0.25,1.13,60.87
Recycled PET,111.61,2.59,0.81,2.17,71.93
Aluminum (Recycled),78.14,4.73,0.51,0.61,62.82
PLA Bioplastic,11.61,1.37,1,0.4,64.31
Paper Pulp Composite,102.74,2.47,0.36,2.64,42.7
Bamboo Fiber,128.5,2.19,0.56,1.85,47.17
Aluminum (Recycled),92.17,2.01,0.73,2.56,43.32
Mycelium Packaging,19.71,4.46,0.49,2.27,59.85
Cork Material,55.86,0.69,0.51,0.68,32.3
Aluminum (Recycled),115.88,2.62,0.74,2.53,64.86
PLA Bioplastic,138.69,1.29,0.22,2.88,77.76
Biodegradable Polymer,76.13,3.02,0.5,2.63,80.83
Recycled PET,25.76,4.29,0.94,1.69,44.17
Aluminum (Recycled),123.31,2.01,0.56,2.46,80.23
