material_id,material_name,material_type,strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg,thickness_mm,water_resistance,temperature_tolerance,strength_scaled,weight_capacity_scaled,cost_scaled,biodegradability_normalized,recyclability_normalized,co2_normalized,material_type_encoded
170,Biodegradable Plastic Grade Premium,Biodegradable Plastic,1059.75,20.72,78.78,2.802,64.12,2.89,2.08,5.0,6.0,0.39337154798664076,0.23740464931124045,-0.6091963127232647,0.7869626355966253,0.6368618694813762,0.7950603902136885,2
171,Biodegradable Plastic Grade B,Biodegradable Plastic,1142.95,3.87,71.83,2.178,78.68,3.61,3.03,8.0,-19.0,0.5335734451950397,-1.0260596450579338,-0.28662791049685893,0.7171554841301728,0.7846341215873339,0.8433725611644471,2
241,Mushroom Packaging Grade Standard,Mushroom Packaging,288.89,7.79,98.66,0.419,2.56,7.41,5.75,4.0,8.0,-0.9056192510766564,-0.7321261118871824,1.4158164345869495,0.9866412213740459,0.012077539835583071,0.9795602353669867,10
242,Mushroom Packaging Grade B,Mushroom Packaging,578.87,19.7,96.28,0.462,3.96,5.83,6.25,3.0,33.0,-0.4169684559745952,0.1609219442515041,0.7079579963678924,0.9627360385697068,0.026286410230386685,0.9762310312790338,10
245,Mushroom Packaging Grade A,Mushroom Packaging,442.88,6.26,98.32,0.286,1.95,7.31,6.22,5.0,34.0,-0.6461277829141403,-0.8468501694767868,1.3710152676110596,0.9832261952591402,0.005886532020704353,0.989857541034376,10
247,Mushroom Packaging Grade Economy,Mushroom Packaging,342.2,18.05,99.4,0.548,4.78,5.26,9.89,4.0,57.0,-0.8157855594879576,0.037199921360754215,0.45259134460532097,0.9940739252711934,0.03460874860448594,0.9695726231031279,10
253,Mushroom Packaging Grade C,Mushroom Packaging,576.33,9.17,99.99,0.592,13.12,3.65,7.81,5.0,19.0,-0.42124865812494766,-0.6286495109240096,-0.26870744370650307,1.0,0.11925301938495889,0.9661659956642924,10
259,Mushroom Packaging Grade Premium,Mushroom Packaging,403.17,17.86,96.08,0.344,1.37,6.82,5.86,4.0,11.0,-0.7130438566899278,0.022953142967273816,1.1514895494292006,0.9607271996785859,0.0,0.9853669866831837,10
321,Cornstarch Packaging Grade Premium,Cornstarch Packaging,309.04,8.97,93.32,0.605,24.78,2.78,2.93,7.0,79.0,-0.8716641040964972,-0.6436461197592519,-0.6584775963967434,0.9330052229811169,0.23759261138739468,0.9651594921028183,4
322,Cornstarch Packaging Grade C,Cornstarch Packaging,529.03,16.07,96.76,0.728,26.6,4.12,1.87,5.0,65.0,-0.500954784783088,-0.11126650610814583,-0.058141958919821386,0.967557251908397,0.2560641429006394,0.9556364199442552,4
326,Cornstarch Packaging Grade Economy,Cornstarch Packaging,581.57,8.21,96.74,0.556,16.9,5.21,1.87,5.0,26.0,-0.4124186347911495,-0.7006332333331731,0.43019076111737625,0.9673563680192849,0.15761696945092862,0.9689532362960669,4
328,Cornstarch Packaging Grade Standard,Cornstarch Packaging,381.15,14.18,93.54,0.969,29.25,4.17,3.79,6.0,61.0,-0.7501501761193623,-0.2529844596011868,-0.035741375431876624,0.9352149457613501,0.2829595047193748,0.9369773923815423,4
332,Cornstarch Packaging Grade B,Cornstarch Packaging,697.63,13.71,93.55,0.819,17.9,5.34,3.42,5.0,85.0,-0.2168437286612605,-0.2882264903640064,0.4884322781860328,0.935315387705906,0.16776616259007407,0.9485908950139362,4
336,Cornstarch Packaging Grade A,Cornstarch Packaging,373.33,8.37,99.2,0.996,10.9,4.66,2.12,5.0,73.0,-0.7633278063617863,-0.6886359462649793,0.18378434274998298,0.9920650863800724,0.09672181061605602,0.9348869619077114,4
401,Recycled Paper Grade A,Recycled Paper,491.13,16.85,92.78,1.133,95.94,0.61,3.42,2.0,33.0,-0.5648207932470101,-0.05277973165070028,-1.6306629197735498,0.9275813579750904,0.959809195168984,0.9242799628367916,11
402,Recycled Paper Grade B,Recycled Paper,282.1,10.89,87.64,0.891,99.44,1.57,4.15,3.0,34.0,-0.9170612087935437,-0.4996786749409246,-1.2005717168050085,0.8759541984732825,0.995331371155993,0.9430164137503871,11
403,Recycled Paper Grade C,Recycled Paper,548.37,10.29,87.01,0.96,98.68,1.07,4.33,3.0,-14.0,-0.46836458415796256,-0.544668501446652,-1.424577551684457,0.8696263559662516,0.9876179843702426,0.937674202539486,11
406,Recycled Paper Grade Premium,Recycled Paper,548.36,12.63,88.13,1.058,96.16,0.52,4.82,3.0,33.0,-0.46838143534753085,-0.3692081780743155,-1.6709839700518505,0.8808758537565288,0.962042017659596,0.9300867141529885,11
407,Recycled Paper Grade Standard,Recycled Paper,538.28,3.66,93.37,1.034,97.82,1.31,5.32,3.0,67.0,-0.4853674344323946,-1.0418060843349384,-1.3170547509423218,0.9335074327038972,0.9788896782705774,0.9319448745741716,11
408,Recycled Paper Grade Economy,Recycled Paper,453.05,19.84,92.57,0.91,98.54,1.01,2.14,4.0,71.0,-0.6289901231231617,0.17141957043617387,-1.451458251869991,0.9254720771394134,0.9861970973307623,0.9415453700836172,11
481,Bamboo Fiber Grade Standard,Bamboo Fiber,718.38,19.03,86.19,0.506,76.41,3.99,5.39,5.0,28.0,-0.1818775103070024,0.11068330465344213,-0.11638347598847794,0.8613901165126557,0.7615954531614736,0.9728244038401982,1
482,Bamboo Fiber Grade Premium,Bamboo Fiber,1427.88,25.67,88.23,0.578,81.69,2.57,6.91,6.0,70.0,1.0137143895651008,0.6085707179834907,-0.7525600470461118,0.8818802732020893,0.8151831929361616,0.9672499225766491,1
484,Bamboo Fiber Grade Economy,Bamboo Fiber,716.61,7.8,89.64,0.368,72.28,6.5,7.66,4.0,5.0,-0.1848601708605945,-0.7313762814454201,1.0081258151063532,0.8960425873844918,0.719679285496803,0.9835088262620006,1
485,Bamboo Fiber Grade B,Bamboo Fiber,405.95,5.04,83.78,0.372,70.28,4.59,7.66,4.0,66.0,-0.7083592259899356,-0.9383294833717657,0.15242352586686006,0.8371836078746485,0.6993808992185121,0.9831991328584702,1
490,Bamboo Fiber Grade A,Bamboo Fiber,540.23,29.01,88.63,0.375,82.77,6.96,6.36,6.0,69.0,-0.4820814524665727,0.8590140855320392,1.2142111831954459,0.8858979509843311,0.8261443215264386,0.9829668628058222,1
493,Bamboo Fiber Grade C,Bamboo Fiber,1012.24,15.28,81.35,0.347,82.47,6.63,5.9,4.0,16.0,0.3133115463475659,-0.1705031110073535,1.0663673321750098,0.8127762153475291,0.823099563584695,0.9851347166305358,1
561,Hemp Packaging Grade Premium,Hemp Packaging,832.37,7.32,94.83,0.525,76.1,5.92,4.98,3.0,68.0,0.010209199582245016,-0.767368142650002,0.748279046646193,0.94817195660908,0.7584492032883385,0.9713533601734283,7
562,Hemp Packaging Grade A,Hemp Packaging,751.08,22.84,86.96,0.81,84.73,4.77,4.29,4.0,-14.0,-0.12677412041860517,0.39636870296481025,0.2330656264234614,0.8691241462434712,0.8460367400791637,0.9492877051718799,7
563,Hemp Packaging Grade Economy,Hemp Packaging,1234.28,19.86,92.46,0.556,87.68,4.02,2.01,5.0,89.0,0.6874753595224803,0.17291923131969808,-0.10294312589571132,0.9243672157492969,0.8759768598396428,0.9689532362960669,7
564,Hemp Packaging Grade C,Hemp Packaging,892.22,15.49,93.62,0.453,83.31,5.21,3.41,4.0,39.0,0.11106356914862331,-0.15475667173034888,0.43019076111737625,0.9360184813177984,0.8316248858215772,0.9769278414369774,7
565,Hemp Packaging Grade Standard,Hemp Packaging,1065.21,21.59,93.76,0.761,78.48,6.12,3.54,3.0,66.0,0.402572297490942,0.3026398977445451,0.8378813805979726,0.9374246685415831,0.7826042829595048,0.9530814493651285,7
580,Hemp Packaging Grade B,Hemp Packaging,1086.47,12.22,91.28,0.496,77.19,7.21,6.59,5.0,42.0,0.43839792651318427,-0.3999512261865625,1.3262141006351702,0.9125150662916834,0.769511823810007,0.9735986373490245,7
641,Seaweed Packaging Grade Premium,Seaweed Packaging,492.11,8.68,97.49,0.281,9.55,7.26,2.24,7.0,31.0,-0.5631693766693149,-0.6653912025703534,1.3486146841231148,0.9748895138609883,0.08302039987820968,0.9902446577887891,13
642,Seaweed Packaging Grade B,Seaweed Packaging,496.6,6.5,96.85,0.332,8.41,6.31,1.37,6.0,4.0,-0.5556031925531405,-0.8288542388744959,0.9230035978521627,0.9684612294094014,0.07145031969958388,0.9862960668937751,13
644,Seaweed Packaging Grade Economy,Seaweed Packaging,232.6,2.29,95.93,0.155,15.26,9.07,0.7,5.0,33.0,-1.0004745971567137,-1.144532854856349,2.1595158063867186,0.9592205705102452,0.14097229270273012,1.0,13
646,Seaweed Packaging Grade A,Seaweed Packaging,453.47,3.2,99.83,0.387,9.95,6.09,2.74,6.0,17.0,-0.6282823731612924,-1.076298284655996,0.8244410305052055,0.9983929288871034,0.08708007713386784,0.9820377825952307,13
652,Seaweed Packaging Grade Standard,Seaweed Packaging,181.35,7.44,96.36,0.328,19.45,4.04,1.77,6.0,13.0,-1.0868369436943393,-0.7583701773488564,-0.09398289250053318,0.9635395741261551,0.1834974119557495,0.9866057602973056,13
665,Seaweed Packaging Grade C,Seaweed Packaging,302.87,5.18,98.95,0.281,18.08,9.99,0.69,6.0,10.0,-0.882061288060149,-0.9278318571870959,2.571686542564904,0.9895540377661712,0.16959301735512022,0.9902446577887891,13
721,Glass Grade A,Glass,1200.66,38.55,4.37,0.952,99.33,3.58,3.02,10.0,-25.0,0.6308216601937982,1.5743523269731026,-0.30006826058962577,0.039574126155082365,0.9942149599106871,0.9382935893465469,6
722,Glass Grade C,Glass,1567.18,14.68,2.27,1.824,97.91,1.78,3.53,10.0,-18.0,1.248451460251759,-0.21549293751308074,-1.1064892661556402,0.018481317798312576,0.9798031056531006,0.8707804273768969,6
724,Glass Grade Premium,Glass,1375.64,12.22,2.77,1.505,99.67,4.04,9.34,10.0,29.0,0.925683775260212,-0.3999512261865625,-0.09398289250053318,0.023503415026114905,0.9976656855779966,0.8954784763084547,6
726,Glass Grade Standard,Glass,1089.91,27.89,1.05,1.627,99.39,2.52,2.66,10.0,-6.0,0.4441947357246855,0.7750330760546815,-0.7749606305340565,0.00622740056247489,0.9948239114990358,0.8860328275007743,6
727,Glass Grade Economy,Glass,1560.41,48.62,1.89,1.11,96.22,3.1,8.08,10.0,25.0,1.237043204914008,2.3294315818275586,-0.5151138620738963,0.014664523905182802,0.9626509692479448,0.9260606999070919,6
731,Glass Grade B,Glass,2460.03,25.05,4.62,1.454,96.35,3.96,7.27,10.0,23.0,2.7530099208589576,0.5620812305942391,-0.12982382608124496,0.04208517476898353,0.9639703643560337,0.8994270672034685,6
801,Aluminum Grade C,Aluminum,3267.17,53.18,0.43,11.149,97.56,7.76,2.73,10.0,16.0,4.1131368356761095,2.6713542632710863,1.5726205190025633,0.0,0.9762508880543996,0.14880768039640768,0
802,Aluminum Grade B,Aluminum,1226.24,47.34,1.32,13.071,91.9,8.35,2.44,10.0,92.0,0.6739270031095533,2.2334532852820077,1.8369474041603124,0.00893933306548815,0.9188064548868365,1.1102230246251565e-16,0
803,Aluminum Grade Standard,Aluminum,3162.49,35.84,0.89,9.676,94.18,4.51,1.94,10.0,33.0,3.936738583274965,1.371148277255568,0.11658259228614828,0.004620329449578144,0.9419466152440882,0.26285227624651597,0
805,Aluminum Grade Economy,Aluminum,1830.0,63.39,0.76,8.912,93.46,7.85,1.61,10.0,-27.0,1.6913344244862707,3.4369311443102117,1.612941569280864,0.003314584170349538,0.9346391961839033,0.32200371632084235,0
807,Aluminum Grade A,Aluminum,1582.97,71.19,1.55,12.859,90.16,5.24,2.08,10.0,120.0,1.2750594885801316,4.021798888884666,0.44363111121014326,0.01124949779027722,0.9011468588247233,0.016413750387116788,0
816,Aluminum Grade Premium,Aluminum,1718.51,51.26,1.52,8.605,90.01,5.7,4.27,10.0,68.0,1.5034605119891025,2.527386818452759,0.6497164792992358,0.01094817195660908,0.8996244798538516,0.3457726850418086,0
881,Recycled Plastic Grade B,Recycled Plastic,1399.83,29.34,13.25,2.168,87.2,3.11,1.85,8.0,-40.0,0.9664468028259708,0.883758490110189,-0.5106337453763075,0.12876657292085175,0.871105247132853,0.8441467946732735,12
882,Recycled Plastic Grade Premium,Recycled Plastic,1749.81,37.53,11.28,3.185,83.81,4.45,5.92,5.0,100.0,1.5562047353379351,1.4978696219133665,0.08970189210061463,0.10897950984331056,0.8366994823911499,0.7654072468256427,12
884,Recycled Plastic Grade C,Recycled Plastic,1171.93,20.6,13.96,2.378,81.85,1.94,1.15,9.0,40.0,0.5824081925640229,0.2284066840100952,-1.0348073989942168,0.13589795098433108,0.8168070638384248,0.8278878909879219,12
888,Recycled Plastic Grade Standard,Recycled Plastic,1145.47,14.61,13.88,2.122,93.71,4.0,2.49,5.0,-4.0,0.5378199449662555,-0.2207417506054156,-0.11190335929088907,0.1350944154278827,0.9371764944686897,0.8477082688138743,12
889,Recycled Plastic Grade Economy,Recycled Plastic,1950.3,23.43,8.03,3.088,81.0,4.47,1.2,9.0,24.0,1.8940542349931258,0.44060869902877536,0.09866212549579238,0.07633587786259542,0.8081802496701512,0.7729173118612573,12
892,Recycled Plastic Grade A,Recycled Plastic,1989.16,32.43,14.22,2.585,94.41,1.93,3.55,9.0,13.0,1.9595379576556067,1.1154560966146845,-1.039287515691806,0.13850944154278827,0.9442809296660915,0.8118612573552183,12
961,Wood Fiber Grade Economy,Wood Fiber,301.88,10.36,85.21,0.573,71.71,3.12,6.53,5.0,11.0,-0.8837295558274124,-0.5394196883543171,-0.5061536286787184,0.8515468059461632,0.71389424540749,0.9676370393310623,14
962,Wood Fiber Grade Standard,Wood Fiber,330.04,12.22,79.71,0.88,71.59,3.81,2.67,4.0,79.0,-0.8362766060030312,-0.3999512261865625,-0.19702557654507946,0.7963037364403375,0.7126763422307927,0.943868070610096,14
963,Wood Fiber Grade B,Wood Fiber,915.4,19.51,80.06,0.658,71.83,3.43,6.1,4.0,58.0,0.15012462656798242,0.14667516585802398,-0.36727001105346024,0.7998192044997992,0.7151121485841876,0.961056054506039,14
964,Wood Fiber Grade C,Wood Fiber,680.29,13.45,84.62,1.041,72.46,3.02,2.99,4.0,23.0,-0.24606369137272255,-0.3077220818498217,-0.550954795654608,0.8456207312173565,0.7215061402618491,0.9314029111179932,14
965,Wood Fiber Grade A,Wood Fiber,883.1,28.23,79.18,1.07,70.95,3.73,2.4,5.0,81.0,0.09569528426231803,0.8005273110745936,-0.23286651012579127,0.7909803133788671,0.7061808586217396,0.929157633942397,14
972,Wood Fiber Grade Premium,Wood Fiber,590.98,23.67,78.86,0.916,70.6,4.49,5.14,3.0,79.0,-0.39656166540736304,0.45860462963106646,0.10762235889097053,0.7877661711530736,0.7026286410230386,0.9410808299783214,14
1041,Cotton Packaging Grade B,Cotton Packaging,690.45,4.25,85.17,0.649,69.05,7.73,4.54,4.0,38.0,-0.22894288277131217,-0.9975660882709732,1.5591801689097968,0.851145038167939,0.6868973916573632,0.9617528646639827,5
1042,Cotton Packaging Grade C,Cotton Packaging,773.02,3.79,91.64,1.238,73.07,5.2,1.58,3.0,-7.0,-0.0898026105057174,-1.0320582885920309,0.42571064441978734,0.9161309762957012,0.7276971480767278,0.9161505109941158,5
1043,Cotton Packaging Grade Economy,Cotton Packaging,640.9,10.52,80.13,1.342,65.99,5.52,2.61,4.0,15.0,-0.31244052708232384,-0.5274224012861232,0.5690743787426341,0.8005222981116915,0.6558408606515782,0.9080984825023227,5
1046,Cotton Packaging Grade Premium,Cotton Packaging,582.46,10.37,81.53,1.276,73.74,8.92,3.55,3.0,82.0,-0.41091887891956924,-0.5386698579125551,2.092314055922884,0.814584170349538,0.7344971074799553,0.913208423660576,5
1047,Cotton Packaging Grade A,Cotton Packaging,474.55,5.37,86.46,0.974,68.6,8.42,3.42,2.0,24.0,-0.5927600655512798,-0.9135850787936155,1.8683082210434354,0.8641020490156689,0.6823302547447477,0.9365902756271292,5
1052,Cotton Packaging Grade Standard,Cotton Packaging,413.95,12.54,94.21,0.709,72.46,4.68,1.24,4.0,63.0,-0.6948782743352819,-0.3759566520501747,0.19274457614516072,0.9419445560466051,0.7215061402618491,0.9571074636110251,5
1121,Jute Packaging Grade B,Jute Packaging,885.55,11.73,86.39,0.542,76.72,2.76,2.34,4.0,73.0,0.09982382570655562,-0.4366929178329064,-0.6674378297919213,0.8633989554037766,0.7647417030346088,0.9700371632084237,8
1122,Jute Packaging Grade C,Jute Packaging,879.48,9.83,92.17,0.926,73.24,5.23,4.79,4.0,67.0,0.08959515363858722,-0.5791607017677095,0.43915099451255435,0.9214543993571717,0.7294225109103826,0.9403065964694952,8
1123,Jute Packaging Grade Premium,Jute Packaging,992.45,7.46,87.55,0.863,76.52,3.32,1.89,3.0,67.0,0.2799630421918663,-0.7568705164653322,-0.4165512947269391,0.875050220972278,0.7627118644067796,0.9451842675751007,8
1124,Jute Packaging Grade Economy,Jute Packaging,493.44,7.76,86.46,0.574,74.65,4.09,4.32,5.0,62.0,-0.5609281684567288,-0.7343756032124686,-0.07158230901258841,0.8641020490156689,0.7437328732365778,0.9675596159801796,8
1129,Jute Packaging Grade Standard,Jute Packaging,566.01,7.57,88.48,0.828,78.33,5.62,4.01,5.0,40.0,-0.4386390857594511,-0.748622381605949,0.613875545718524,0.8843913218159904,0.7810819039886329,0.9478940848559926,8
1130,Jute Packaging Grade A,Jute Packaging,845.74,19.11,88.56,0.55,79.24,4.0,5.95,5.0,75.0,0.032739240035085077,0.11668194818753898,-0.11190335929088907,0.8851948573724389,0.7903176697452552,0.9694177764013626,8
