id,material,weight,cost,co2_emission,recyclable,durability,co2_impact_index,cost_efficiency_index,sustainability_score
23,Paper-Pulp Mold Recycled Blend,22.9,2.9,0.26,1,6,0.1640378548895899,0.6223123732251522,0.8143848580441639
24,Leaf Husk Biopolymer Composite Medium,22.1,5.0,0.35,1,7,0.22082018927444794,0.37164705882352944,0.8216719242902208
25,Areca Bark Composite Composite Large,18.0,7.3,0.31,1,5,0.19558359621451105,0.10370668815471396,0.7717665615141956
26,Bagasse Bioplastic Recycled Small,13.5,4.4,0.21,1,7,0.13249211356466878,0.4431818181818182,0.8570031545741325
27,Corn Bagasse Blend HeavyDuty Large,29.2,8.5,0.94,1,9,0.5930599369085173,0.24380622837370244,0.7327760252365931
28,Bamboo Fiber Industrial Fiber,15.3,5.3,0.26,1,7,0.1640378548895899,0.34195338512763607,0.844384858044164
29,Reed Fiber Consumer Large,21.3,5.2,0.59,1,6,0.37223974763406936,0.27941176470588236,0.7311041009463723
30,Algae Fiber Board Composite,14.1,6.7,0.28,1,8,0.17665615141955837,0.294468832309043,0.8693375394321767
31,BioFoam Standard Sheet,12.9,5.5,0.33,1,6,0.2082018927444795,0.25582887700534757,0.7967192429022081
32,Paper Laminated Recycled Small,37.5,4.2,0.44,1,8,0.277602523659306,0.5607843137254902,0.8289589905362775
33,Pine Needle Composite Sheet,43.5,8.4,1.24,1,8,0.7823343848580442,0.20392156862745098,0.6270662460567823
34,Pine Needle Composite Industrial Fiber,50.8,4.9,0.99,1,8,0.6246056782334385,0.4588235294117647,0.6901577287066246
35,Kenaf-Pulp Blend Industrial Medium,21.3,9.0,0.81,1,6,0.5110410094637224,0.09686274509803923,0.675583596214511
36,Paperboard HeavyDuty Large,53.837500000000006,7.1,0.28,1,6,0.17665615141955837,0.163711681855841,0.8093375394321767
37,Palm Fiber Polymer Consumer Pack,22.4,7.7,0.75,1,7,0.47318611987381703,0.18770053475935833,0.7207255520504732
38,Palm Fiber Polymer Fiber,24.5,8.1,0.89,1,6,0.5615141955835963,0.12461873638344233,0.6553943217665614
39,Palm Leaf Pulp Fiber,20.3,4.4,0.42,1,5,0.26498422712933756,0.2728609625668449,0.744006309148265
40,Rice Straw Polymer Premium Medium,13.4,9.6,0.96,1,6,0.6056782334384858,0.08125000000000003,0.6377287066246057
41,Chitosan Film Industrial Small,50.4,6.6,1.13,1,6,0.7129337539432176,0.18770053475935833,0.594826498422713
42,Recycled Fiber Foam Standard Small,20.0,3.8,0.1,1,7,0.06309148264984228,0.5373065015479878,0.8847634069400631
43,Foam (EPS) HeavyDuty Fiber,11.3,2.5,1.585,0,7,1.0,0.8962352941176471,0.21
44,Green Paper Lightweight Fiber,22.4,5.5,0.68,1,5,0.4290220820189275,0.18770053475935833,0.6783911671924291
45,Paper-Pulp Mold Blend,26.8,6.2,0.44,1,7,0.277602523659306,0.27011385199240984,0.7989589905362775
46,Pineapple Leaf Fiber Recycled,30.4,5.5,0.44,1,7,0.277602523659306,0.3239572192513369,0.7989589905362775
47,Algae Fiber Board Lightweight Pack,19.9,3.6,0.46,1,7,0.2902208201892745,0.5756535947712419,0.7939116719242902
48,Organic Starch Plate Composite Small,22.8,6.9,0.79,1,7,0.49842271293375395,0.2271952259164535,0.7106309148264984
49,Jute-Poly Blend Blend Medium,23.3,6.4,0.34,1,7,0.21451104100946375,0.2568933823529412,0.8241955835962145
50,Hard Paper Shell Standard Pack,38.0,3.3,0.24,1,6,0.15141955835962145,0.5283422459893049,0.8194321766561514
51,Pea Starch Polymer HeavyDuty Small,19.4,9.2,0.47,1,9,0.29652996845425866,0.21361892583120212,0.8513880126182966
52,Citrus Waste Polymer Recycled Large,16.4,3.6,0.13,1,5,0.08201892744479496,0.367483660130719,0.8171924290220821
53,Foam (EPS) Composite Medium,10.0,3.4,1.585,0,4,1.0,0.2878892733564014,0.12
54,Bamboo Mesh Consumer,27.6,4.3,0.42,1,8,0.26498422712933756,0.5441860465116279,0.834006309148265
55,Green Paper Composite Blend,30.4,7.3,0.5,1,7,0.31545741324921134,0.20636583400483485,0.7838170347003154
56,Cardboard Lightweight Sheet,18.5,3.3,0.78,1,7,0.49211356466876977,0.6418894830659537,0.7131545741324921
57,Brewery Waste Composite Recycled Large,37.9,7.0,0.44,1,8,0.277602523659306,0.2752941176470588,0.8289589905362775
58,Bioplastic (PHA) Premium Small,10.5,7.2,0.41,1,8,0.2586750788643533,0.2633986928104576,0.8365299684542586
59,Glass Industrial Small,46.9,11.15,1.585,1,10,1.0,0.18311791084146664,0.6
60,Corn-Based BioWrap Consumer Medium,14.0,7.3,0.51,1,6,0.3217665615141956,0.15503626107977445,0.7512933753943218
61,Coconut Coir Industrial Medium,53.837500000000006,10.1,0.3,1,7,0.1892744479495268,0.10675596971461858,0.8342902208201892
62,Paperboard Consumer Fiber,21.8,6.1,0.27,1,7,0.17034700315457416,0.27704918032786896,0.8418611987381703
63,Pine Needle Composite Consumer Large,30.9,5.2,1.28,1,6,0.8075709779179812,0.27941176470588236,0.5569716088328076
64,Bio-Resin Plate Recycled Fiber,19.1,7.5,0.28,1,5,0.17665615141955837,0.09686274509803923,0.7793375394321768
65,Bagasse Bioplastic Composite Blend,20.9,8.3,0.83,1,5,0.5236593059936908,0.07278525868178597,0.6405362776025236
66,Mango Seed Polymer Consumer Blend,53.837500000000006,7.6,0.34,1,6,0.21451104100946375,0.1428792569659443,0.7941955835962144
67,Areca Leaf Plate Premium Large,13.2,7.0,0.99,1,7,0.6246056782334385,0.22176470588235297,0.6601577287066246
68,Jute Composite,14.3,5.3,0.84,1,6,0.5299684542586751,0.2712541620421754,0.66801261829653
69,Rice Straw Pulp Consumer Large,24.0,3.8,0.72,1,6,0.45425867507886436,0.4386996904024768,0.6982965299684543
70,Rice Straw Pulp Premium,16.8,9.0,0.69,1,9,0.43533123028391163,0.22176470588235297,0.7958675078864353
71,Cotton Fabric Standard Large,23.4,7.6,0.8,1,8,0.5047318611987383,0.24148606811145512,0.7381072555205047
72,Jute Standard Sheet,21.3,5.7,0.3,1,6,0.1892744479495268,0.24148606811145512,0.8042902208201892
73,Cotton Fabric Consumer Large,16.5,7.4,0.52,1,8,0.3280757097791798,0.2521462639109698,0.808769716088328
74,Palm Husk Fiber Industrial Large,29.2,8.4,0.26,1,7,0.1640378548895899,0.1593137254901961,0.844384858044164
75,Bamboo Mesh HeavyDuty Blend,30.5,4.8,0.75,1,9,0.47318611987381703,0.5496323529411765,0.7807255520504732
76,Tea Waste Composite Industrial Fiber,50.3,5.8,0.91,1,7,0.5741324921135647,0.299290060851927,0.6803470031545741
77,Kenaf Fiber Lightweight Small,18.8,4.3,0.78,1,6,0.49211356466876977,0.3699042407660739,0.683154574132492
78,Husk-Molded Packaging Blend Sheet,40.3,2.9,0.44,1,8,0.277602523659306,0.8807302231237324,0.8289589905362775
79,Recycled Glass Fiber Blend Blend,31.3,2.6,0.41,1,8,0.2586750788643533,1.0,0.8365299684542586
80,Organic Resin Foam Standard Small,8.5,3.2,1.585,0,4,1.0,0.3154411764705883,0.12
81,Bioplastic (PHA) Blend Sheet,12.8,6.8,0.73,1,5,0.4605678233438486,0.12257785467128032,0.6657728706624606
82,Palm Wax Composite Lightweight Large,28.2,3.7,0.52,1,6,0.3280757097791798,0.4546899841017488,0.748769716088328
83,Kenaf Fiber Premium Blend,15.0,4.9,0.33,1,7,0.2082018927444795,0.38235294117647056,0.8267192429022081
84,Rice Husk Composite Blend Medium,47.9,5.3,1.05,1,6,0.6624605678233438,0.2712541620421754,0.6150157728706624
85,Palm Husk Fiber Industrial Large,33.5,8.2,0.94,1,9,0.5930599369085173,0.2583213773314204,0.7327760252365931
86,Citrus Waste Polymer Lightweight Blend,7.7,4.6,0.75,1,6,0.47318611987381703,0.3358056265984655,0.6907255520504731
87,Tapioca Polymer Consumer Small,25.9,5.5,1.0,1,8,0.6309148264984227,0.39208556149732626,0.6876340694006309
88,Bioplastic (PLA) Consumer,26.4,6.4,0.49,1,6,0.30914826498422715,0.19834558823529413,0.7563406940063091
89,Aluminum Can Premium Medium,53.837500000000006,9.9,1.585,1,9,1.0,0.18770053475935833,0.5700000000000001
90,Bio-PET Industrial Blend,25.5,6.8,1.23,1,7,0.77602523659306,0.23278546712802775,0.599589905362776
91,Pine Needle Composite Blend,40.1,6.8,0.61,1,8,0.38485804416403785,0.2878892733564014,0.7860567823343848
92,Banana Fiber Blend,23.3,5.9,0.61,1,7,0.38485804416403785,0.29162512462612167,0.7560567823343848
93,Coconut Shell Fiber Recycled Blend,25.3,4.8,0.34,1,6,0.21451104100946375,0.3154411764705883,0.7941955835962144
94,Cotton Waste Composite Blend Blend,16.0,5.1,0.37,1,6,0.2334384858044164,0.2878892733564014,0.7866246056782333
95,Foam (EPS) Premium Pack,9.9,5.3,1.585,0,7,1.0,0.34195338512763607,0.21
96,Pine Needle Composite Standard,29.0,8.6,0.41,1,7,0.2586750788643533,0.15205198358413136,0.8065299684542586
97,Palm Fiber Polymer Composite,23.5,4.4,0.6,1,7,0.3785488958990536,0.4431818181818182,0.7585804416403785
98,Bioplastic (PLA) Blend,22.4,6.7,0.74,1,7,0.4668769716088328,0.2385425812115891,0.7232492113564668
99,Pea Starch Polymer Consumer Medium,8.3,7.0,0.37,1,6,0.2334384858044164,0.16823529411764707,0.7866246056782333
100,Bioplastic (PHA) Consumer Small,19.4,5.1,1.02,1,7,0.6435331230283912,0.361361014994233,0.6525867507886435
101,Leaf-Pulp Shell HeavyDuty Small,47.7,7.3,0.33,1,8,0.2082018927444795,0.25769540692989523,0.8567192429022081
102,Green Paper Lightweight Large,27.8,5.8,0.5,1,6,0.31545741324921134,0.234685598377282,0.7538170347003155
103,Paper Laminated Lightweight Large,28.4,3.5,0.66,1,5,0.416403785488959,0.3823529411764706,0.6834384858044164
104,Bio-EVA,18.5,6.6,0.4,1,8,0.2523659305993691,0.30124777183600715,0.8390536277602524
105,Coco-Peat Composite Lightweight Fiber,32.2,3.5,0.95,1,6,0.5993690851735015,0.4894117647058824,0.6402523659305994
106,Husk-Molded Packaging Sheet,23.2,2.5,0.36,1,6,0.22712933753943218,0.7463529411764707,0.7891482649842272
107,Paperboard Premium Sheet,41.6,4.9,0.28,1,8,0.17665615141955837,0.4588235294117647,0.8693375394321767
108,PLA-Starch Blend Recycled Fiber,14.8,5.0,0.32,1,6,0.2018927444794953,0.2967058823529412,0.7992429022082019
109,Coconut Coir Recycled Blend,27.0,8.9,0.23,1,5,0.14511041009463724,0.057567746199603434,0.7919558359621451
110,Mushroom Packaging Lightweight,18.5,9.0,1.08,1,7,0.6813880126182966,0.13849673202614382,0.6374447949526814
111,Hard Paper Shell Small,21.0,5.6,0.4,1,6,0.2523659305993691,0.2485294117647059,0.7790536277602524
112,Cotton Fabric Consumer Large,27.0,6.8,0.81,1,7,0.5110410094637224,0.23278546712802775,0.705583596214511
113,Pea Starch Polymer Recycled Medium,20.6,6.2,0.5,1,8,0.31545741324921134,0.33055028462998104,0.8138170347003154
114,PLA-Bamboo Blend Lightweight Large,15.5,4.2,0.82,1,7,0.5173501577287066,0.4715686274509804,0.7030599369085173
115,Areca Bark Composite Recycled Medium,47.4,8.5,0.56,1,6,0.35331230283911674,0.11155709342560559,0.7386750788643532
116,Bio-cellulose Film Consumer Pack,20.2,6.6,1.02,1,7,0.6435331230283912,0.2444741532976827,0.6525867507886435
117,Organic BioFoam Consumer,12.7,4.5,0.94,1,5,0.5930599369085173,0.2633986928104576,0.612776025236593
118,Bagasse Bioplastic Consumer Pack,22.0,6.1,0.63,1,8,0.39747634069400634,0.33847637415621995,0.7810094637223974
119,Husk-Molded Packaging Lightweight Medium,31.1,2.8,0.6,1,7,0.3785488958990536,0.7838235294117648,0.7585804416403785
120,Paperboard Lightweight Small,22.6,6.6,0.32,1,5,0.2018927444794953,0.1309269162210339,0.7692429022082019
121,Palm Fiber Polymer Consumer Medium,19.9,4.0,0.54,1,7,0.3406940063091483,0.5027941176470588,0.7737223974763406
122,Reed Fiber Recycled Large,11.5,5.5,0.43,1,6,0.27129337539432175,0.25582887700534757,0.7714826498422713
123,Bio-Resin Plate Composite Large,15.1,5.1,0.85,1,5,0.5362776025236593,0.21441753171856984,0.6354889589905363
124,Algae Fiber Board Recycled Blend,26.5,5.2,0.44,1,8,0.277602523659306,0.4235294117647059,0.8289589905362775
125,Cork Standard Small,13.2,6.1,1.22,1,5,0.7697160883280757,0.15419479267116687,0.5421135646687697
126,Leaf Husk Biopolymer Blend Pack,17.9,7.6,0.73,1,7,0.4605678233438486,0.19218266253869978,0.7257728706624605
127,Plastic (HDPE) Standard Sheet,26.6,5.4,0.92,1,7,0.580441640378549,0.33278867102396514,0.6778233438485805
128,Organic Starch Plate HeavyDuty Pack,29.1,9.8,0.89,1,8,0.5615141955835963,0.15294117647058825,0.7153943217665615
129,Bamboo Fiber Industrial Fiber,36.4,10.2,0.83,1,7,0.5236593059936908,0.10420991926182241,0.7005362776025237
130,Jute Stick Composite Standard Small,25.7,5.1,0.73,1,6,0.4605678233438486,0.2878892733564014,0.6957728706624606
131,Cotton Fabric HeavyDuty,26.9,7.1,0.64,1,9,0.4037854889589906,0.32203811101905555,0.8084858044164038
132,Hybrid Starch Plastic Composite Medium,13.7,5.8,0.66,1,5,0.416403785488959,0.170081135902637,0.6834384858044164
133,Cassava Starch Polymer HeavyDuty,17.2,5.0,0.88,1,9,0.555205047318612,0.5215294117647059,0.7479179810725552
134,Leaf-Based Polymer Composite,31.3,3.9,0.36,1,8,0.22712933753943218,0.6156862745098041,0.8491482649842271
135,Mango Seed Polymer Composite Large,35.3,5.3,0.9,1,6,0.5678233438485805,0.2712541620421754,0.6528706624605678
136,Algae Fiber Board Premium Small,26.8,5.2,0.57,1,8,0.35962145110410093,0.4235294117647059,0.7961514195583597
137,Hemp Bioplastic Consumer Fiber,21.3,8.0,0.67,1,6,0.42271293375394325,0.12808823529411767,0.7109148264984226
138,Coco-Peat Composite HeavyDuty Large,53.837500000000006,10.7,0.91,1,7,0.5741324921135647,0.09219351291918643,0.6803470031545741
139,Organic Resin Foam HeavyDuty Medium,10.0,2.5,1.585,0,7,1.0,0.8962352941176471,0.21
140,Brewery Waste Composite Blend,53.837500000000006,3.7,0.97,1,7,0.61198738170347,0.5559618441971383,0.665205047318612
141,Corn Starch Polymer Composite Fiber,10.1,4.4,1.09,1,7,0.6876971608832808,0.4431818181818182,0.6349211356466876
142,Palm Wax Composite Premium Pack,29.4,11.15,0.97,1,9,0.61198738170347,0.14951200211026117,0.725205047318612
143,Bamboo Fiber Lightweight Fiber,10.1,5.0,0.44,1,7,0.277602523659306,0.37164705882352944,0.7989589905362775
144,Citrus Waste Polymer Standard Blend,48.6,3.8,0.9,1,5,0.5678233438485805,0.340092879256966,0.6228706624605678
145,Recycled Plastic Mix Premium Blend,20.9,3.5,0.34,1,9,0.21451104100946375,0.8105882352941178,0.8841955835962145
146,PLA-Bamboo Blend Recycled Large,17.1,6.1,0.48,1,7,0.3028391167192429,0.27704918032786896,0.7888643533123028
147,Recycled Plastic Mix Standard Large,22.7,4.2,0.34,1,7,0.21451104100946375,0.4715686274509804,0.8241955835962145
148,Paper Laminated Composite Pack,37.1,4.3,0.71,1,6,0.4479495268138801,0.3699042407660739,0.7008201892744479
149,Organic Resin Foam Lightweight Pack,5.0,3.0,1.585,0,4,1.0,0.3466666666666667,0.12
150,PLA-Bamboo Blend Consumer Fiber,18.4,6.7,0.53,1,7,0.33438485804416407,0.2385425812115891,0.7762460567823344
151,Sugar Palm Fiber Consumer Sheet,15.9,4.4,0.41,1,7,0.2586750788643533,0.4431818181818182,0.8065299684542586
152,Corrugated Fiberboard Lightweight Pack,11.2,5.1,0.79,1,7,0.49842271293375395,0.361361014994233,0.7106309148264984
153,Corn Starch Polymer Pack,15.0,8.5,0.89,1,5,0.5615141955835963,0.06747404844290661,0.6253943217665615
154,Plastic (LDPE) Lightweight Fiber,16.7,5.9,0.73,1,7,0.4605678233438486,0.29162512462612167,0.7257728706624605
155,PLA-Bamboo Blend Composite Fiber,12.3,8.1,1.1,1,7,0.6940063091482651,0.17087872185911407,0.632397476340694
156,Corn Bagasse Blend Consumer Small,15.3,7.4,0.77,1,5,0.4858044164037855,0.10023847376788556,0.6556782334384857
157,Coconut Shell Fiber Large,18.3,5.1,0.76,1,8,0.4794952681388013,0.4348327566320647,0.7482018927444795
158,Cork Standard Fiber,46.9,3.3,0.61,1,7,0.38485804416403785,0.6418894830659537,0.7560567823343848
159,Paper Consumer Large,22.8,3.9,0.28,1,5,0.17665615141955837,0.3274509803921569,0.7793375394321768
160,Rice Straw Polymer Blend Small,22.9,9.7,0.85,1,5,0.5362776025236593,0.040206185567010354,0.6354889589905363
161,Bagasse Bioplastic Composite Sheet,24.5,7.0,0.82,1,5,0.5173501577287066,0.11470588235294121,0.6430599369085174
162,Husk-Molded Packaging Lightweight Pack,36.8,9.8,0.49,1,4,0.30914826498422715,0.0,0.6963406940063092
163,Pea Starch Polymer Recycled Fiber,22.8,7.8,0.19,1,6,0.11987381703470032,0.13529411764705887,0.8320504731861198
164,Starch Foam Blend Pack,9.9,4.9,0.36,1,8,0.22712933753943218,0.4588235294117647,0.8491482649842271
165,Recycled Cotton HeavyDuty Large,37.6,6.4,0.39,1,9,0.24605678233438488,0.3739889705882353,0.8715772870662462
166,Zero-Waste Fabric Blend Medium,45.6,9.4,1.02,1,6,0.6435331230283912,0.08623279098873592,0.6225867507886436
167,Organic BioFoam Pack,13.8,5.7,0.88,1,5,0.555205047318612,0.1757481940144479,0.6279179810725553
168,Paper Laminated Consumer,15.4,5.4,0.56,1,8,0.35331230283911674,0.40217864923747276,0.7986750788643533
169,Bagasse Composite Recycled Large,8.4,4.4,0.55,1,7,0.34700315457413256,0.4431818181818182,0.7711987381703469
170,Cassava Starch Polymer Sheet,10.3,7.6,0.56,1,7,0.35331230283911674,0.19218266253869978,0.7686750788643533
171,Leaf Fiber Biocomp Industrial Blend,28.5,7.2,0.93,1,9,0.5867507886435331,0.3154411764705883,0.7352996845425868
172,Sugar Palm Fiber Premium Blend,30.7,6.3,0.54,1,9,0.3406940063091483,0.3823529411764706,0.8337223974763407
173,Banana Stem Fiber HeavyDuty Small,24.4,7.9,0.75,1,8,0.47318611987381703,0.22650781831720027,0.7507255520504732
174,Cotton Waste Composite Consumer Sheet,16.2,4.6,0.45,1,7,0.28391167192429023,0.4172634271099745,0.7964353312302839
175,Aluminum Can Premium Pack,34.4,11.15,1.585,1,9,1.0,0.14951200211026117,0.5700000000000001
176,Recycled Plastic Mix Premium Medium,13.3,7.7,0.17,1,7,0.10725552050473187,0.18770053475935833,0.8670977917981073
177,Corrugated Fiberboard Standard Large,19.6,3.8,0.77,1,6,0.4858044164037855,0.4386996904024768,0.6856782334384857
178,Recycled Jute Mix Small,14.8,6.9,0.47,1,7,0.29652996845425866,0.2271952259164535,0.7913880126182965
179,Hard Paper Shell Blend Large,29.3,3.3,0.7,1,8,0.4416403785488959,0.7554367201426025,0.7633438485804417
180,Bio-Resin Plate Blend Blend,12.4,6.1,1.1,1,6,0.6940063091482651,0.21562198649951794,0.602397476340694
181,Paper Laminated Premium Medium,24.8,7.7,0.77,1,9,0.4858044164037855,0.28502673796791445,0.7756782334384857
182,Recycled Pulp Fiber Standard Small,20.5,3.5,0.42,1,7,0.26498422712933756,0.5964705882352942,0.804006309148265
183,Mixed Natural Fiber Blend Large,30.5,8.2,0.33,1,8,0.2082018927444795,0.21262553802008619,0.8567192429022081
184,Corn Starch Polymer Consumer Blend,10.9,8.0,0.35,1,8,0.22082018927444794,0.22176470588235297,0.8516719242902209
185,Bioplastic (PLA) Consumer Large,14.8,6.1,0.97,1,8,0.61198738170347,0.33847637415621995,0.695205047318612
186,Cotton-Pulp Composite Lightweight Blend,17.8,6.8,0.72,1,6,0.45425867507886436,0.177681660899654,0.6982965299684543
187,Rice Husk Composite Industrial Sheet,16.6,4.4,0.97,1,9,0.61198738170347,0.6135026737967915,0.725205047318612
188,Recycled Fiber Foam Industrial Fiber,38.0,6.8,0.41,1,8,0.2586750788643533,0.2878892733564014,0.8365299684542586
189,Hybrid Starch Plastic Consumer Blend,9.4,8.0,1.29,1,7,0.8138801261829653,0.17492647058823532,0.5844479495268139
190,Palm Leaf Pulp HeavyDuty Blend,44.5,4.8,0.66,1,7,0.416403785488959,0.3935049019607844,0.7434384858044163
191,Bamboo Paper Recycled Large,30.0,6.6,0.26,1,7,0.1640378548895899,0.2444741532976827,0.844384858044164
192,Wheat Fiber Polymer Recycled Blend,27.6,5.5,0.38,1,6,0.23974763406940064,0.25582887700534757,0.7841009463722397
193,Plant Fiber Polymer Premium Pack,20.3,10.7,0.77,1,9,0.4858044164037855,0.16223199560197918,0.7756782334384857
194,Bio-cellulose Film Lightweight Pack,12.5,7.2,1.12,1,5,0.7066246056782335,0.10727124183006538,0.5673501577287066
195,PLA-Starch Blend Recycled Sheet,9.5,4.2,0.35,1,5,0.22082018927444794,0.2931372549019608,0.7616719242902209
196,Mushroom Packaging Consumer Small,36.5,6.2,0.98,1,5,0.6182965299684543,0.14924098671726757,0.6026813880126183
197,Rice Husk Composite HeavyDuty Large,53.837500000000006,8.0,0.79,1,8,0.49842271293375395,0.22176470588235297,0.7406309148264985
198,Coconut Shell Fiber HeavyDuty Large,35.8,7.4,0.66,1,9,0.416403785488959,0.30278219395866457,0.8034384858044163
199,Jute Blend Fiber,26.1,5.4,0.88,1,8,0.555205047318612,0.40217864923747276,0.7179179810725552
200,Recycled Aluminum Consumer Blend,53.837500000000006,4.9,0.32,1,6,0.2018927444794953,0.30588235294117644,0.7992429022082019
201,Zero-Waste Fabric Standard Large,24.9,6.7,0.2,1,6,0.12618296529968456,0.18261633011413525,0.8295268138801262
202,Hybrid Starch Plastic Blend Fiber,16.6,5.9,0.39,1,7,0.24605678233438488,0.29162512462612167,0.8115772870662461
203,Mango Seed Polymer,47.6,7.9,0.7,1,7,0.4416403785488959,0.17907669396872675,0.7333438485804417
204,Bamboo Husk Sheet Fiber,27.8,5.2,0.46,1,7,0.2902208201892745,0.3514705882352941,0.7939116719242902
205,Corn Husk Polymer Standard Sheet,37.3,3.7,0.79,1,5,0.49842271293375395,0.3534181240063593,0.6506309148264985
206,Bagasse Composite Blend Fiber,44.3,7.9,0.5,1,7,0.31545741324921134,0.17907669396872675,0.7838170347003154
207,Coffee Husk Polymer Consumer Large,35.4,6.9,0.28,1,5,0.17665615141955837,0.11858482523444164,0.7793375394321768
208,Flax Fiber Premium Pack,30.1,7.2,0.49,1,8,0.30914826498422715,0.2633986928104576,0.8163406940063092
209,Cassava Starch Polymer Industrial,20.0,11.15,0.79,1,6,0.49842271293375395,0.04869427591664471,0.6806309148264984
210,Coconut Shell Fiber Composite Fiber,21.3,4.2,0.4,1,8,0.2523659305993691,0.5607843137254902,0.8390536277602524
211,EcoFilm Polymer HeavyDuty Blend,16.7,6.0,0.44,1,9,0.277602523659306,0.4091176470588236,0.8589589905362776
212,Cotton-Pulp Composite HeavyDuty,26.3,8.4,0.33,1,7,0.2082018927444795,0.1593137254901961,0.8267192429022081
213,Coffee BioResin Blend,9.5,7.3,0.89,1,5,0.5615141955835963,0.10370668815471396,0.6253943217665615
214,Glass Blend Medium,53.837500000000006,10.9,1.585,1,9,1.0,0.15644900161899622,0.5700000000000001
215,Organic Resin Foam Industrial Medium,13.1,4.6,1.585,0,7,1.0,0.4172634271099745,0.21
216,Bioplastic (PLA) Recycled Fiber,10.0,5.7,0.58,1,7,0.3659305993690852,0.3072239422084624,0.7636277602523659
217,Starch Foam Premium Blend,23.5,7.5,0.29,1,6,0.1829652996845426,0.14682352941176474,0.806813880126183
218,Starch Foam Composite Fiber,10.0,5.9,0.73,1,6,0.4605678233438486,0.22811565304087736,0.6957728706624606
219,Palm Husk Fiber Blend Pack,23.7,4.7,0.55,1,7,0.34700315457413256,0.40513141426783483,0.7711987381703469
220,Hybrid Starch Plastic Lightweight Blend,19.2,6.5,0.67,1,4,0.42271293375394325,0.07764705882352944,0.6509148264984227
221,Cardboard Consumer,36.9,6.1,0.77,1,6,0.4858044164037855,0.21562198649951794,0.6856782334384857
222,PLA-Bamboo Blend Premium Small,9.2,6.4,0.92,1,7,0.580441640378549,0.2568933823529412,0.6778233438485805
223,Mixed Natural Fiber Standard,15.5,6.1,0.92,1,7,0.580441640378549,0.27704918032786896,0.6778233438485805
224,Tea Waste Composite Premium,53.837500000000006,4.5,0.99,1,7,0.6246056782334385,0.4299346405228759,0.6601577287066246
225,Coco-Peat Composite HeavyDuty Large,21.7,5.6,1.22,1,6,0.7697160883280757,0.2485294117647059,0.5721135646687697
226,Coconut Coir Industrial Small,33.5,3.8,1.01,1,9,0.637223974763407,0.7345201238390094,0.7151104100946373
227,Sunflower Husk Fiber Premium Blend,17.0,7.2,0.29,1,7,0.1829652996845426,0.21135620915032685,0.836813880126183
228,Starch-Coir Composite Recycled Sheet,17.3,5.1,0.29,1,7,0.1829652996845426,0.361361014994233,0.836813880126183
