material,weight,cost,co2_emission,durability,recyclable
Recycled Paperboard,9.53,1.08,0.464,1,1
Molded Pulp,16.0,1.89,0.105,2,0
Corn Starch Polymer,9.19,2.62,0.994,8,1
Molded Pulp,54.09,3.62,1.259,8,0
Biodegradable Plastic,44.65,3.38,0.996,9,0
Aluminum,29.62,1.83,1.349,7,0
Recycled Paperboard,36.7,2.07,0.485,3,0
Aluminum,16.08,1.09,0.184,3,0
Biodegradable Plastic,44.63,2.82,0.835,1,0
PLA Bioplastic,51.6,3.23,1.264,4,1
Glass,36.27,1.43,0.974,3,0
Biodegradable Plastic,38.35,4.97,0.252,3,1
Bagasse Fiber,54.52,1.14,0.519,5,1
Bagasse Fiber,54.13,3.73,1.188,7,0
Bagasse Fiber,38.02,3.41,1.496,7,1
Bagasse Fiber,48.12,4.09,1.491,3,1
Recycled Paperboard,48.36,3.26,1.402,5,1
Recycled Paperboard,58.94,3.77,1.424,1,1
Molded Pulp,42.76,2.91,0.697,3,1
Bagasse Fiber,55.6,3.41,0.621,9,1
Recycled Paperboard,8.82,1.95,0.757,8,0
Bagasse Fiber,34.23,2.64,0.131,4,1
PLA Bioplastic,37.13,0.62,0.387,6,1
Recycled Paperboard,26.26,2.42,1.286,6,0
Glass,19.37,4.81,0.947,7,0
Recycled Paperboard,29.71,4.28,0.989,9,0
Glass,35.12,4.7,0.835,4,0
Aluminum,51.53,1.89,0.89,3,0
PLA Bioplastic,49.87,3.55,0.445,6,0
Recycled Cardboard,19.37,3.24,0.765,5,1
Glass,59.01,1.42,0.066,7,0
Corn Starch Polymer,56.04,1.25,0.721,4,0
Corn Starch Polymer,23.46,1.85,0.822,6,1
Recycled Paperboard,43.75,2.92,1.248,4,1
Bagasse Fiber,40.7,2.03,0.188,4,0
PLA Bioplastic,16.48,2.68,0.608,5,1
Recycled Cardboard,45.95,4.41,0.444,6,0
Aluminum,58.77,4.1,0.398,4,1
Recycled Cardboard,27.86,2.96,1.456,1,0
Molded Pulp,10.04,1.32,0.665,5,0
Recycled Cardboard,19.37,3.65,0.503,2,0
Bagasse Fiber,17.59,4.02,0.577,8,0
Bagasse Fiber,50.73,2.48,0.963,1,1
Corn Starch Polymer,33.97,4.22,0.859,6,0
PLA Bioplastic,6.8,2.26,0.3,8,1
PLA Bioplastic,46.85,4.68,1.051,9,0
PLA Bioplastic,28.29,0.73,1.273,4,0
Molded Pulp,14.74,2.71,0.29,4,0
Bagasse Fiber,43.57,4.43,0.953,4,0
Recycled Paperboard,37.87,4.34,1.434,7,1
Recycled Cardboard,20.16,4.08,0.27,3,0
Molded Pulp,8.4,2.77,1.017,6,0
Biodegradable Plastic,43.77,4.19,0.57,8,1
Corn Starch Polymer,24.7,2.69,1.291,8,0
Recycled Cardboard,44.78,4.31,0.35,1,0
Aluminum,33.98,3.88,1.23,3,0
Biodegradable Plastic,10.22,2.42,1.388,3,0
Molded Pulp,24.6,1.06,0.582,3,1
Recycled Paperboard,55.05,2.64,0.797,3,1
Aluminum,14.83,0.86,0.115,3,1
PLA Bioplastic,15.58,4.5,0.067,6,1
Recycled Paperboard,16.07,0.74,1.344,9,0
Bagasse Fiber,11.72,4.28,0.684,2,0
Molded Pulp,39.63,2.15,1.423,9,1
Aluminum,57.25,4.65,0.826,5,0
Glass,7.21,4.15,0.852,3,0
Bagasse Fiber,30.53,4.46,0.808,2,1
PLA Bioplastic,8.83,1.18,0.586,7,0
Bagasse Fiber,37.66,4.36,0.824,2,1
Glass,37.92,4.1,1.289,7,1
Recycled Paperboard,24.27,3.25,1.328,7,0
Bagasse Fiber,19.41,4.31,1.447,6,1
Aluminum,22.23,4.15,0.928,6,1
PLA Bioplastic,54.77,1.01,1.133,1,0
Bagasse Fiber,27.27,2.35,1.186,3,0
Molded Pulp,43.85,4.48,0.413,8,1
Recycled Cardboard,35.28,4.81,1.288,9,1
Corn Starch Polymer,29.76,2.63,1.421,6,1
Bagasse Fiber,30.46,1.71,0.835,5,1
Aluminum,10.68,4.27,1.396,9,0
Molded Pulp,57.25,4.76,0.803,1,0
Aluminum,11.9,1.37,0.398,3,0
Recycled Paperboard,12.22,0.97,0.61,1,1
Recycled Paperboard,13.82,0.93,0.501,6,1
Glass,52.85,2.47,0.757,2,1
Aluminum,59.29,0.99,1.312,8,0
Glass,56.64,3.07,0.471,3,0
Biodegradable Plastic,26.01,1.96,1.122,4,0
Molded Pulp,31.52,0.97,1.494,4,0
Recycled Cardboard,41.84,3.37,0.795,3,0
Aluminum,49.7,3.55,1.433,1,1
Recycled Paperboard,55.49,3.15,0.337,1,0
Corn Starch Polymer,9.82,2.31,0.655,6,1
Molded Pulp,12.07,4.85,0.593,1,1
Glass,45.45,1.41,1.445,6,1
Aluminum,57.96,2.77,1.359,6,0
Aluminum,36.19,1.74,0.924,4,0
Corn Starch Polymer,57.1,4.23,0.675,6,0
Molded Pulp,52.13,1.6,0.964,7,0
Biodegradable Plastic,43.69,0.71,0.746,7,1
Bagasse Fiber,14.91,1.14,0.646,8,0
Glass,39.06,0.87,0.375,1,0
Corn Starch Polymer,35.69,2.01,1.098,9,1
PLA Bioplastic,8.44,2.4,0.915,1,1
Recycled Paperboard,29.15,3.67,0.933,4,1
Recycled Cardboard,52.3,1.08,0.608,3,1
Molded Pulp,5.58,4.01,0.391,7,1
Molded Pulp,9.68,1.68,0.612,6,0
Corn Starch Polymer,28.58,1.05,1.458,7,0
Recycled Cardboard,37.31,4.91,0.751,6,0
Recycled Paperboard,52.28,2.75,0.647,5,1
Recycled Cardboard,38.8,1.51,0.865,9,0
Corn Starch Polymer,34.28,1.77,1.274,6,1
Bagasse Fiber,51.0,4.92,0.365,5,1
Bagasse Fiber,45.92,4.02,0.769,3,0
Recycled Paperboard,23.03,0.53,0.481,1,0
Aluminum,18.46,0.54,1.107,8,1
PLA Bioplastic,41.0,2.82,1.219,3,0
Glass,38.48,2.29,0.748,1,1
Recycled Paperboard,8.74,1.4,0.543,8,1
Biodegradable Plastic,26.26,2.53,0.8,5,0
Bagasse Fiber,34.5,1.02,0.157,9,1
Recycled Paperboard,54.11,1.3,0.567,8,1
Bagasse Fiber,56.66,3.51,1.082,9,0
Biodegradable Plastic,17.0,3.6,0.324,6,1
Bagasse Fiber,35.9,1.59,0.798,8,0
Aluminum,12.38,2.04,0.208,2,1
Molded Pulp,43.98,4.14,0.288,6,0
Recycled Cardboard,13.43,4.13,0.414,2,0
Aluminum,5.14,2.98,0.74,9,0
Bagasse Fiber,5.77,1.81,0.736,4,0
Molded Pulp,16.97,4.92,0.295,6,0
Molded Pulp,54.77,2.4,0.066,9,1
PLA Bioplastic,8.48,3.65,0.535,2,1
Recycled Cardboard,21.08,4.41,1.008,1,0
Recycled Paperboard,12.98,4.88,0.276,1,1
PLA Bioplastic,40.83,1.4,1.035,2,0
Corn Starch Polymer,12.9,1.0,0.204,6,0
Corn Starch Polymer,22.1,2.69,1.371,9,0
Corn Starch Polymer,57.51,3.03,1.142,6,0
Recycled Paperboard,55.46,0.5,1.397,3,0
PLA Bioplastic,51.67,3.04,1.468,9,1
Molded Pulp,33.89,1.1,0.986,3,1
Recycled Paperboard,10.32,1.8,0.523,6,0
PLA Bioplastic,13.05,4.91,0.338,5,0
Biodegradable Plastic,27.83,4.49,1.461,4,1
Biodegradable Plastic,33.87,4.74,0.742,3,1
Recycled Cardboard,20.51,0.76,0.88,6,1
Biodegradable Plastic,19.42,3.2,1.072,8,0
Recycled Cardboard,30.13,0.82,1.1,2,0
Bagasse Fiber,26.78,2.1,0.108,2,1
Aluminum,45.15,3.75,0.38,3,0
Corn Starch Polymer,5.33,0.84,0.095,1,1
PLA Bioplastic,38.75,2.43,0.205,7,0
Recycled Cardboard,6.72,2.21,1.247,5,1
Biodegradable Plastic,8.45,2.37,0.076,3,0
Corn Starch Polymer,19.17,3.29,0.881,9,1
Recycled Paperboard,37.55,3.39,1.437,7,1
Recycled Cardboard,9.85,2.12,1.202,6,0
Glass,52.36,4.5,0.161,9,0
Recycled Paperboard,8.99,1.69,1.452,8,0
Aluminum,23.08,0.79,1.084,8,1
Corn Starch Polymer,49.58,1.14,0.996,1,1
Bagasse Fiber,56.32,1.74,0.531,7,1
Molded Pulp,18.58,3.07,1.433,6,1
Aluminum,35.5,1.62,0.287,7,1
Glass,35.83,1.33,0.967,8,0
Molded Pulp,31.25,4.77,1.258,1,1
Recycled Paperboard,29.74,4.79,0.571,2,1
Recycled Paperboard,56.47,0.98,0.597,8,0
Aluminum,26.45,3.33,1.37,7,0
Molded Pulp,7.58,1.7,0.485,1,1
Recycled Cardboard,19.06,0.84,1.212,4,0
Recycled Paperboard,28.79,1.91,1.147,8,1
Recycled Paperboard,21.18,3.47,0.962,9,1
Glass,34.79,0.89,0.455,6,1
Corn Starch Polymer,46.83,3.05,1.323,4,1
Recycled Cardboard,54.87,2.82,0.402,4,0
Glass,47.44,1.78,0.765,4,0
Biodegradable Plastic,36.07,2.38,0.226,3,0
Aluminum,14.43,2.76,0.327,7,1
PLA Bioplastic,28.41,2.99,0.58,4,1
Glass,46.21,2.28,0.827,7,0
Molded Pulp,6.81,3.69,0.6,2,0
Molded Pulp,31.52,4.42,0.357,6,0
Molded Pulp,33.69,3.59,1.316,8,0
Bagasse Fiber,34.56,4.73,1.358,3,1
Bagasse Fiber,13.97,0.54,1.235,9,1
Recycled Paperboard,40.09,2.14,0.987,6,1
Biodegradable Plastic,17.99,3.46,0.638,1,0
Recycled Cardboard,13.62,2.54,0.405,7,0
Bagasse Fiber,26.37,3.96,1.039,3,0
Recycled Cardboard,32.65,4.89,1.075,5,1
Corn Starch Polymer,14.11,2.02,0.15,9,0
Corn Starch Polymer,35.63,4.59,0.745,8,1
Recycled Cardboard,49.57,3.15,0.869,6,0
Recycled Cardboard,12.5,2.7,1.183,6,1
PLA Bioplastic,47.64,0.61,1.426,4,0
Recycled Cardboard,59.02,1.99,0.396,6,1
Biodegradable Plastic,56.84,3.35,1.44,7,1
Glass,23.66,3.53,0.594,2,0
Glass,43.12,3.33,0.418,7,0
Glass,41.42,2.59,0.395,4,1
Glass,50.54,1.2,0.707,1,1
Bagasse Fiber,51.56,0.72,0.218,6,0
Biodegradable Plastic,35.53,2.76,0.676,1,0
Glass,42.03,3.48,0.131,8,0
Recycled Paperboard,32.42,3.7,0.864,8,1
Recycled Cardboard,5.44,3.59,1.018,5,0
Recycled Paperboard,44.16,3.08,0.22,8,0
Recycled Cardboard,32.97,3.31,0.084,9,1
Molded Pulp,15.48,1.44,0.819,1,0
PLA Bioplastic,52.36,1.2,0.597,6,0
Bagasse Fiber,49.76,0.62,0.461,2,1
Aluminum,44.67,1.29,0.618,2,0
Recycled Paperboard,8.32,4.89,0.621,2,1
Molded Pulp,5.59,1.69,0.817,9,1
Aluminum,59.05,0.99,0.214,1,1
Corn Starch Polymer,38.46,3.7,0.276,8,0
PLA Bioplastic,5.07,2.91,0.266,2,1
Bagasse Fiber,30.91,4.03,0.581,9,1
PLA Bioplastic,34.64,2.39,0.635,2,0
PLA Bioplastic,35.87,3.98,0.209,4,1
Biodegradable Plastic,55.72,0.97,0.506,4,0
PLA Bioplastic,40.8,3.92,0.51,1,1
PLA Bioplastic,8.49,2.78,0.055,9,1
Glass,21.78,1.91,0.635,1,1
Corn Starch Polymer,32.04,4.61,0.664,7,1
Glass,27.64,2.41,1.257,6,1
Recycled Paperboard,22.48,3.93,0.197,3,1
Bagasse Fiber,31.86,3.33,0.163,4,1
Glass,8.45,3.83,0.353,4,1
Recycled Paperboard,11.23,4.2,1.267,5,0
Bagasse Fiber,57.19,1.78,0.85,6,1
Recycled Cardboard,46.35,4.88,1.281,8,0
Bagasse Fiber,10.58,2.44,1.288,3,1
Aluminum,37.17,1.03,0.216,5,1
Bagasse Fiber,54.91,1.49,0.591,2,1
Bagasse Fiber,40.38,1.47,0.443,5,1
Molded Pulp,41.55,2.23,0.76,6,1
Molded Pulp,17.38,4.69,0.499,3,0
Aluminum,9.48,1.8,1.347,1,0
Biodegradable Plastic,10.0,1.78,0.814,3,1
Molded Pulp,5.21,2.72,1.473,9,1
Glass,57.66,0.8,1.218,2,0
Glass,8.56,3.19,1.278,6,1
Bagasse Fiber,47.07,4.08,1.2,7,0
PLA Bioplastic,35.02,0.52,1.371,7,1
Recycled Paperboard,32.49,0.66,0.892,3,0
Glass,9.82,3.58,1.052,3,1
Glass,5.72,3.64,1.02,7,1
Bagasse Fiber,8.57,4.36,1.385,1,1
Corn Starch Polymer,5.51,2.39,0.606,3,0
Bagasse Fiber,58.47,1.3,0.331,8,1
Recycled Cardboard,13.19,4.27,0.162,8,0
Biodegradable Plastic,37.98,0.63,1.147,5,1
Glass,27.65,0.95,0.868,8,0
Molded Pulp,45.58,4.34,1.449,6,1
Bagasse Fiber,40.01,3.66,0.98,3,0
Glass,55.65,2.67,0.686,5,1
Bagasse Fiber,42.08,2.27,0.881,5,0
PLA Bioplastic,17.56,4.49,0.953,4,0
Molded Pulp,28.99,2.51,0.765,3,1
Corn Starch Polymer,33.11,2.0,1.498,1,1
Recycled Paperboard,58.44,3.09,1.405,9,0
Biodegradable Plastic,5.14,1.55,0.788,8,1
Corn Starch Polymer,8.57,3.83,1.086,6,0
Bagasse Fiber,51.56,2.95,0.441,6,0
Recycled Paperboard,57.0,3.79,0.85,9,1
Recycled Paperboard,47.13,3.21,0.974,4,0
Biodegradable Plastic,40.81,4.98,0.833,5,0
Molded Pulp,49.83,1.5,0.881,4,0
PLA Bioplastic,5.13,3.99,1.242,7,0
PLA Bioplastic,18.91,4.56,1.368,4,1
Aluminum,23.16,1.47,0.891,8,1
Aluminum,10.54,3.18,0.749,3,0
Recycled Paperboard,40.48,2.13,1.139,9,1
Biodegradable Plastic,50.39,4.62,0.367,3,1
Recycled Paperboard,24.54,4.15,0.53,8,1
Corn Starch Polymer,16.9,4.7,0.511,5,1
Recycled Cardboard,31.15,2.75,0.968,9,1
Bagasse Fiber,17.29,1.82,0.073,8,0
Molded Pulp,25.2,4.58,1.497,3,0
Recycled Cardboard,45.64,2.15,0.849,1,1
Aluminum,30.34,2.33,0.3,3,1
Glass,8.92,1.15,0.289,8,0
Recycled Paperboard,23.43,4.49,0.381,1,1
Bagasse Fiber,38.55,3.49,0.277,2,0
Molded Pulp,43.63,1.33,1.319,9,0
Biodegradable Plastic,52.84,3.13,0.802,7,1
Aluminum,5.3,2.53,0.517,7,1
Aluminum,21.43,4.72,0.409,3,0
Recycled Paperboard,46.2,2.4,0.806,8,1
Corn Starch Polymer,52.48,2.47,0.997,8,0
PLA Bioplastic,54.32,4.11,1.342,6,0
PLA Bioplastic,26.96,0.57,1.163,3,0
Bagasse Fiber,29.1,4.17,0.585,8,1
Biodegradable Plastic,26.29,4.76,0.558,1,1
PLA Bioplastic,17.38,2.3,0.67,1,1
Molded Pulp,13.12,4.59,0.074,8,1
Aluminum,5.14,0.93,0.37,4,1
