Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Mycelium Packaging,113.64,2.18,0.78,1.21,65.96
Mycelium Packaging,47.7,7.3,0.39,0.67,90.5
Aluminum (Recycled),38.08,9.67,0.77,1.28,50.24
Palm Leaf Material,114.48,6.95,0.67,0.16,39.8
Bagasse Fiber,63.94,3.3,0.91,1.88,49.22
Bagasse Fiber,24.63,3.48,0.44,0.2,27.84
Glass (Recycled),96.51,1.8,0.72,0.88,93.68
Biodegradable Polymer,79.61,2.06,0.93,2.05,86.28
Glass (Recycled),79.12,3.15,0.92,1,68.89
Bagasse Fiber,41.63,6.53,0.37,0.05,24.15
Mycelium Packaging,5.29,4.95,0.96,0.38,39.6
Mycelium Packaging,60.11,6.76,0.64,0.44,22.5
Mycelium Packaging,95.37,4.31,0.74,1.78,27.88
Compostable PLA,99.57,3.79,0.44,0.2,44.69
Glass (Recycled),71.69,4,0.85,0.25,59.16
Compostable PLA,16.05,1.66,0.79,0.39,41.33
Bamboo Pulp,39.57,5.99,0.7,0.7,39.9
Biodegradable Polymer,29.6,3.88,0.89,0.14,59.09
Glass (Recycled),69.73,5.42,0.65,0.79,60.92
Bamboo Pulp,28.83,1.4,0.51,1.24,99.95
Bamboo Pulp,91.04,3.88,0.52,1.45,49.79
Glass (Recycled),12.72,6.26,0.34,0.79,36.13
Bagasse Fiber,115.23,5.79,0.32,1.86,88.91
Aluminum (Recycled),46,10,0.62,1.55,97.81
Palm Leaf Material,67.48,9.62,0.69,1.35,23.58
Bamboo Pulp,48.44,5.25,0.38,2.15,34.38
Compostable PLA,59.74,3.41,0.76,0.2,49.82
Mycelium Packaging,32.89,5.27,0.34,2.01,32.53
Palm Leaf Material,74.29,6.57,0.62,1.74,53.29
Biodegradable Polymer,111.35,9.52,0.41,0.21,45.38
Biodegradable Polymer,16.57,3.09,0.5,2.03,39.48
Biodegradable Polymer,71.26,1.89,0.99,2.5,55.72
Recycled Paperboard,38.71,7.18,0.61,0.38,22.28
Compostable PLA,33.84,8.3,0.52,2.41,22
Bagasse Fiber,85.11,3.91,0.34,1.68,49.25
Glass (Recycled),35.66,2.08,0.51,2.11,93.92
Recycled Paperboard,95.37,3.99,0.77,0.12,80.93
Palm Leaf Material,27.66,8.2,0.35,2.12,53.89
Bagasse Fiber,9.82,3.75,0.49,0.73,30.27
Compostable PLA,98.44,1.44,0.47,0.08,60.5
Recycled Paperboard,13.11,2.9,0.52,0.09,37.67
Recycled Paperboard,114.67,4,0.3,1.26,76.02
Palm Leaf Material,91.64,7.04,0.44,0.91,56.76
Starch-Based Bioplastic,32.08,9.44,0.85,1.1,64.61
Biodegradable Polymer,110.08,2.84,0.49,0.93,42.8
Starch-Based Bioplastic,8.1,5.77,0.41,2.17,83.94
Starch-Based Bioplastic,43.37,6.27,0.61,1.71,44.07
Bagasse Fiber,29.91,4.51,0.68,1.18,31.08
Recycled Paperboard,18.98,0.11,0.82,0.25,39.42
Biodegradable Polymer,29.14,6.11,0.77,0.67,52.59
Glass (Recycled),72.94,3.93,0.37,1.79,97.36
Compostable PLA,81.61,5.2,0.95,1.41,39.69
Starch-Based Bioplastic,116,5.8,0.53,0.82,58.22
Compostable PLA,88.66,3.27,0.93,1.71,99.33
Compostable PLA,17.6,1.26,0.82,1.47,37.34
Bagasse Fiber,46.22,8.88,0.74,2.31,86.09
Palm Leaf Material,21.03,9.89,0.44,1.57,55.49
Aluminum (Recycled),11.05,3.28,0.63,0.33,71.29
Starch-Based Bioplastic,100.08,4.45,0.51,0.82,38.85
Glass (Recycled),39.68,6.93,0.8,1.78,40.82
Biodegradable Polymer,88.82,2.32,0.61,1.7,55.41
Biodegradable Polymer,27.41,7.96,0.38,1.2,43.29
Starch-Based Bioplastic,116.34,4.21,0.75,2.43,78.6
Biodegradable Polymer,66,4.48,0.55,0.68,92.49
Glass (Recycled),95.42,0.36,0.57,1.28,91.91
Aluminum (Recycled),105.74,9.41,0.45,0.9,29.52
Bagasse Fiber,31.25,4.65,0.9,1.81,79.79
Bagasse Fiber,80.95,1.53,0.67,1.75,25.8
Compostable PLA,88.16,4.2,0.43,1.53,29
Biodegradable Polymer,5.05,4.13,0.92,1.48,79.75
Bagasse Fiber,108.86,0.16,0.46,2.26,70.74
Palm Leaf Material,109.57,2.23,0.82,0.69,95.07
Palm Leaf Material,16.57,5.86,0.44,1.57,28.67
Glass (Recycled),92.39,8.71,0.65,0.23,93.1
Recycled Paperboard,111.44,6.94,0.6,1.46,80.8
Mycelium Packaging,84.23,2.17,0.31,1.1,47.67
Bamboo Pulp,87.89,2,0.82,0.76,83.28
Compostable PLA,29.49,1.99,0.53,1.81,69.13
Bagasse Fiber,19.52,9.42,0.65,0.93,92.06
Palm Leaf Material,22.91,1.64,0.45,1.63,55.62
Compostable PLA,25.67,9.82,0.53,2.36,56.76
Bamboo Pulp,57.76,9.59,0.67,1.89,38.26
Starch-Based Bioplastic,104.31,9.25,0.68,1.79,89.72
Starch-Based Bioplastic,79.8,3.84,0.72,0.65,29.59
Bagasse Fiber,64.27,4.4,0.84,0.52,67.15
Glass (Recycled),15.24,7.18,0.46,1.19,67.52
Palm Leaf Material,32.59,4.67,0.61,1.35,75.08
Starch-Based Bioplastic,93.33,5.39,0.59,0.29,37.77
Biodegradable Polymer,85.18,7.49,0.61,0.18,33.59
Bamboo Pulp,67.39,4.14,0.38,2.16,51.52
Biodegradable Polymer,87.39,2.52,0.4,2.31,89.41
Biodegradable Polymer,29.63,0.75,0.56,2.21,82.04
Mycelium Packaging,89.35,5.69,0.49,1.82,42.68
Mycelium Packaging,99.56,8.97,0.4,1.98,23.98
Compostable PLA,9.32,3.09,0.36,1.39,93.64
Starch-Based Bioplastic,93.87,1.22,0.76,0.84,49.47
Compostable PLA,49.97,6.24,0.43,1.42,55.98
Biodegradable Polymer,34.67,8.33,0.37,2.1,39.96
Compostable PLA,60.38,0.69,0.81,1.91,44.84
Compostable PLA,59.44,2.73,0.35,1.37,70.67
Bamboo Pulp,8.3,1.1,0.77,0.3,25.33
Bamboo Pulp,118.15,3.75,0.67,0.67,82.01
Aluminum (Recycled),5.91,5.53,0.31,0.79,92.79
Bamboo Pulp,86.85,9.03,0.95,0.96,37.27
Palm Leaf Material,119.5,7.25,0.39,1.34,44.5
Mycelium Packaging,79.27,2.27,0.42,1.89,22.16
Aluminum (Recycled),81.31,3.07,0.35,0.47,91.49
Biodegradable Polymer,73.03,2.81,0.94,1.07,27.32
Biodegradable Polymer,35.48,2.27,0.73,1.43,57.75
Compostable PLA,66.96,3.43,0.41,1.27,32.32
Recycled Paperboard,58.66,6.32,0.75,1.53,43.94
Glass (Recycled),19.6,4.02,0.36,2.29,85.32
Aluminum (Recycled),102.41,6.78,0.31,1.17,68.42
Compostable PLA,14.3,5.7,0.93,1.02,40.37
Mycelium Packaging,36.81,2.46,0.43,0.49,66.28
Mycelium Packaging,114.86,9.89,0.51,0.7,77.62
Recycled Paperboard,22.91,6.15,0.36,0.53,25.75
Bagasse Fiber,15.61,5.27,0.7,0.49,25.97
Starch-Based Bioplastic,43.7,5.5,0.53,1.94,96.01
Recycled Paperboard,47.26,6.47,0.95,0.62,99.2
Aluminum (Recycled),73.83,3.62,0.78,2.14,83.43
Compostable PLA,24.67,6.02,0.77,1.89,61.75
Bagasse Fiber,22.09,2.8,0.55,0.52,99.23
Biodegradable Polymer,47.79,1.49,0.58,0.45,63.06
Recycled Paperboard,109.22,8.08,0.6,1.44,37.53
Recycled Paperboard,41.63,5.84,0.65,1.51,20.61
Starch-Based Bioplastic,56.94,3.7,0.99,1.46,99.06
Glass (Recycled),51.7,0.7,0.58,1.62,94.56
Mycelium Packaging,95.59,7.26,0.39,1.78,80.94
Mycelium Packaging,73.4,5.25,0.8,1.46,74.94
Bamboo Pulp,101.63,4.56,0.8,2.43,21.69
Palm Leaf Material,27.91,3.13,0.96,0.52,22.09
Aluminum (Recycled),59.81,7.19,0.74,0.65,36.43
Biodegradable Polymer,84.82,2.33,0.62,0.35,69.88
Mycelium Packaging,33.71,8.76,0.8,1.5,96.95
Compostable PLA,44.46,2.98,0.96,0.07,96.49
Palm Leaf Material,10.39,4.02,0.55,1.52,88.63
Aluminum (Recycled),57.83,7.32,0.71,1.86,49.53
Bamboo Pulp,46.66,4.31,0.52,0.22,69.31
Bamboo Pulp,57.18,4.93,0.99,2.5,29.85
Starch-Based Bioplastic,106.03,1.15,0.39,2.33,20.46
Palm Leaf Material,102.71,9.95,0.95,0.16,66.22
Bamboo Pulp,105.16,2.11,0.98,1.11,67.15
Palm Leaf Material,44.46,2.82,0.55,1.24,86.91
Compostable PLA,76.04,1.46,0.99,2,87.04
Biodegradable Polymer,34.41,5.68,0.98,0.6,82.77
Starch-Based Bioplastic,118.13,8.05,0.82,1.48,42.67
Glass (Recycled),109.16,3.8,0.94,1.63,74.03
Aluminum (Recycled),18.43,9.29,0.81,0.91,85.81
Aluminum (Recycled),88.27,8.25,0.55,0.33,93.99
Glass (Recycled),54.71,7.65,0.55,2.11,65.58
Starch-Based Bioplastic,35.05,6.57,0.48,1.11,60.06
Compostable PLA,102.13,2.21,0.39,0.22,77.07
Palm Leaf Material,44.67,1.83,0.98,1.36,97.01
Starch-Based Bioplastic,44.07,8.22,0.7,1.97,99.65
Starch-Based Bioplastic,104.03,4.8,0.43,0.94,67.09
Glass (Recycled),117.05,6.09,0.5,2.31,64.31
Glass (Recycled),24.04,3.87,0.8,2.25,30
Recycled Paperboard,116.87,6.79,0.88,1.76,22.77
Compostable PLA,86.5,7.62,0.45,0.43,22.01
Bagasse Fiber,106.47,1.83,0.58,1.94,98.65
Bamboo Pulp,115.24,8.27,0.84,0.23,94
Recycled Paperboard,52.47,6.05,0.98,0.85,93.64
Bamboo Pulp,112.24,8.01,0.83,1.49,49.81
Compostable PLA,24.88,1.53,0.36,0.2,30.7
Bagasse Fiber,103.69,8.96,0.37,0.33,98.01
Palm Leaf Material,18.13,2.73,0.68,0.68,51.37
Aluminum (Recycled),71.98,8.94,0.9,0.13,42.62
Palm Leaf Material,31.98,7.97,0.75,0.77,30.42
Recycled Paperboard,91.81,7.97,0.95,1.33,25.33
Recycled Paperboard,69.37,9.27,0.85,2.36,93.2
Biodegradable Polymer,86.42,0.88,0.31,2.4,27.26
Recycled Paperboard,83.77,2.64,0.85,0.47,97.61
Mycelium Packaging,105.74,9.5,0.49,2.12,65.66
Glass (Recycled),100.57,4.54,0.65,1.4,64.72
Bagasse Fiber,35.02,4.04,0.31,0.71,24.72
Glass (Recycled),68.81,0.9,0.36,0.42,76.49
Aluminum (Recycled),37.36,9.08,0.73,1.57,60.83
Compostable PLA,117.44,1.32,0.51,2.49,90.65
Starch-Based Bioplastic,65.85,2.4,0.44,2.02,94.51
Palm Leaf Material,49.31,9.01,0.56,0.1,29.79
Mycelium Packaging,36.89,3.72,0.74,0.55,47.21
Bagasse Fiber,71.53,4.49,0.75,1.33,80.55
Bagasse Fiber,65.45,1.31,0.54,1.29,50.9
Glass (Recycled),23.52,7.25,0.31,1.03,65.25
Aluminum (Recycled),82.09,8.15,0.59,0.79,73.65
Glass (Recycled),109.11,3.26,0.84,1.48,24.26
Aluminum (Recycled),17.68,3.45,0.97,0.65,95.95
Bagasse Fiber,27.11,1.46,0.99,1.15,78.44
Bamboo Pulp,84.29,2.95,0.5,2.13,42.77
Bamboo Pulp,119.42,9.03,0.39,1.94,73.28
Compostable PLA,61.78,5.9,0.43,2.33,73.93
Glass (Recycled),22.21,0.45,0.44,2.34,22.98
Glass (Recycled),15.81,8.24,0.81,0.24,22.78
Aluminum (Recycled),81.35,0.81,0.46,1.45,77.31
Bamboo Pulp,17.66,3.64,0.65,1.13,60.68
Bamboo Pulp,98.96,3.11,0.66,1.21,21.85
Bagasse Fiber,97.87,6.01,0.51,2.23,87.43
Mycelium Packaging,109.09,9.51,0.52,0.26,97.69
Starch-Based Bioplastic,27.46,0.27,0.5,0.17,59.18
Compostable PLA,99.08,1.59,0.68,0.17,77.6
Aluminum (Recycled),17.41,6.67,0.6,0.83,49.2
Aluminum (Recycled),53.92,0.91,0.41,0.34,74.2
Bagasse Fiber,73.68,7.26,0.89,1.34,29.86
Starch-Based Bioplastic,47,9.68,0.52,2.23,48.87
Mycelium Packaging,57.34,8.04,0.89,1.67,85.52
Biodegradable Polymer,71.62,3.31,0.59,0.79,58.72
Biodegradable Polymer,43.24,1.16,0.59,0.39,49.11
Bagasse Fiber,87.95,6.52,0.69,1.26,91.47
Bamboo Pulp,98.28,7.84,0.45,0.54,64.65
Compostable PLA,108.18,2.13,0.82,0.57,21.53
Aluminum (Recycled),6.27,6.41,0.64,2.09,84.93
Bamboo Pulp,27.42,7.51,0.4,0.24,49.72
Bagasse Fiber,47.99,1.77,0.81,0.62,51.04
Glass (Recycled),90.7,6.97,0.87,0.31,56.96
Mycelium Packaging,70.03,3.44,0.8,0.56,30.98
Starch-Based Bioplastic,88.84,8.9,0.65,2.22,31.82
Mycelium Packaging,78.73,6.87,0.32,0.12,50.69
Palm Leaf Material,21.16,4.14,0.46,2.04,83.2
Bagasse Fiber,75.79,7.85,0.97,1.53,71.06
Aluminum (Recycled),14.81,6.83,0.36,1.5,42.18
Glass (Recycled),118.38,9.51,0.7,1.74,84.39
Compostable PLA,5.54,1.64,0.6,0.59,67.65
Aluminum (Recycled),61.25,5.38,0.74,1.64,26.39
Mycelium Packaging,117.05,2.68,0.35,0.66,52.32
Compostable PLA,80.39,5.3,0.68,2.12,46.31
Bamboo Pulp,71.63,6.61,0.67,2.37,54.57
Palm Leaf Material,26.16,1.07,0.84,0.1,35.49
Starch-Based Bioplastic,50.03,8.52,0.89,1.12,65.65
Bamboo Pulp,7.66,8.08,0.4,1.28,80.77
Glass (Recycled),34.57,6.34,0.52,2.19,69.71
Compostable PLA,78.85,5.22,0.39,1.8,81.38
Recycled Paperboard,61.62,5.2,0.76,2.27,50.53
Mycelium Packaging,73.17,1.85,0.78,2.14,57.66
Bagasse Fiber,55.32,9.32,0.7,1.06,32.94
Compostable PLA,44.61,0.52,0.32,1.03,35.03
Palm Leaf Material,75.21,7.71,0.58,0.94,49.41
Palm Leaf Material,55.95,9.4,0.76,0.31,30.17
Aluminum (Recycled),64.98,8.63,0.3,0.34,45.7
Starch-Based Bioplastic,87.81,4.88,0.82,1.04,30.4
Bamboo Pulp,96.74,0.65,0.53,1.23,46.35
Compostable PLA,12.23,3.17,0.93,1.46,51.95
Glass (Recycled),43.1,6.63,0.42,1.89,39.04
Recycled Paperboard,80.2,8.95,0.36,0.98,89.27
Bagasse Fiber,16.26,2.36,0.53,1.59,79.8
Recycled Paperboard,90.42,7.62,0.74,1.32,27.91
Palm Leaf Material,94.18,7,0.75,0.62,65.47
Palm Leaf Material,38.85,4.53,0.43,2.32,34.97
Glass (Recycled),60.43,7.9,0.41,1.68,70.8
Biodegradable Polymer,63.13,5.19,0.52,2.25,58.44
Biodegradable Polymer,62.51,6.02,0.54,1.52,55.02
Bagasse Fiber,37.39,0.13,0.57,1.67,71.24
Compostable PLA,86.17,9.85,0.51,2.48,48.18
Bamboo Pulp,117.06,8.27,0.67,2.46,98.94
Compostable PLA,68.98,9.32,0.41,2.28,24.74
Starch-Based Bioplastic,111.08,2.92,0.52,0.97,34.98
Glass (Recycled),92.75,8.49,0.56,0.26,44.1
Recycled Paperboard,39,0.68,0.99,1.53,73.65
Recycled Paperboard,59.03,2.78,0.96,1.42,32.84
Biodegradable Polymer,50.16,7.41,0.98,1.82,50.49
Biodegradable Polymer,67.85,6.37,0.63,0.57,47.48
Biodegradable Polymer,93.47,4.4,0.59,1.44,23.64
Biodegradable Polymer,92.22,0.33,0.57,2.39,74.01
Palm Leaf Material,8.96,5.89,0.57,0.91,73.3
Palm Leaf Material,47.52,4.74,0.45,1.18,71.96
Bagasse Fiber,77.7,6.05,0.75,2.06,24.64
Bagasse Fiber,51.18,0.45,0.76,0.35,34.11
Bamboo Pulp,13.81,3.13,0.84,0.14,66.4
Bamboo Pulp,52.14,9.28,0.86,0.45,42.5
Palm Leaf Material,36.36,6.76,0.55,2.31,49.85
Palm Leaf Material,114.87,0.6,0.79,2.38,86.55
Glass (Recycled),66.95,2.42,0.48,0.24,63.27
Glass (Recycled),90.05,2.8,0.48,0.07,31.46
Biodegradable Polymer,84.41,2.25,0.35,0.86,64.07
Biodegradable Polymer,79.36,5.73,0.5,1.66,62.04
Bagasse Fiber,10.19,2.59,0.6,0.4,94.96
Mycelium Packaging,102.98,3.67,0.67,1.4,32.66
Recycled Paperboard,95.81,3.33,0.8,0.52,45.57
Mycelium Packaging,30.98,2.1,0.55,0.07,76.3
Biodegradable Polymer,66.66,4.34,0.42,0.6,61.47
Glass (Recycled),82.58,1.98,0.53,1.43,39.3
Compostable PLA,81.14,5.31,0.73,2,30.86
Aluminum (Recycled),106.9,9.05,0.75,0.99,42.26
Palm Leaf Material,82.66,1.34,0.31,2.02,99.42
Aluminum (Recycled),15.98,6.74,0.51,1.6,94.47
Aluminum (Recycled),43.5,3.11,0.57,1.14,52.87
Biodegradable Polymer,100.27,2.08,0.61,0.31,47.96
Starch-Based Bioplastic,118.84,5.37,0.39,0.1,64.82
Biodegradable Polymer,106.53,6.48,0.59,2.01,54.69
Compostable PLA,14.34,7.12,0.35,1.49,79.76
Biodegradable Polymer,16.98,1.09,0.91,2.24,47.19
Bagasse Fiber,107.26,6.11,0.86,0.75,61.79
Glass (Recycled),103.98,9.23,0.99,1.85,39.01
Bagasse Fiber,30.02,1.2,0.4,0.67,66.76
Palm Leaf Material,69.24,8.83,0.62,0.16,63.6
Recycled Paperboard,102.82,2.74,0.49,0.65,24.31
Mycelium Packaging,95.53,6.2,0.57,1.55,36.52
Biodegradable Polymer,65.52,2.91,0.37,0.25,50.13
Biodegradable Polymer,101.25,4.65,0.96,0.43,67.65
Bagasse Fiber,21.36,3.92,0.93,1.97,56.76
Starch-Based Bioplastic,50.36,7.32,0.91,1.06,37.79
Palm Leaf Material,29.5,9.38,0.98,1.21,28.58
Compostable PLA,80.47,7.61,0.57,1.21,82.43
Aluminum (Recycled),35.47,4.86,0.59,0.78,86.6
Mycelium Packaging,88.41,0.65,0.55,1.16,31.5
Compostable PLA,110.43,1.25,0.8,0.17,63.29
Palm Leaf Material,95.63,2.23,0.33,1.06,40
Glass (Recycled),48.07,9.58,0.83,1.79,24.16
Recycled Paperboard,111.53,6.01,0.82,2.32,60.37
Recycled Paperboard,82.61,2.75,0.96,1.64,33.28
Recycled Paperboard,28.35,1.6,0.9,1.16,63.37
Recycled Paperboard,5.5,4.99,0.34,1.53,85.94
Aluminum (Recycled),11.48,7.78,0.81,1.87,96
Aluminum (Recycled),93.57,7.42,0.61,1.3,70.77
Palm Leaf Material,93.1,8.17,0.76,0.22,25.31
Bamboo Pulp,50.07,9.62,0.6,2.26,27.86
Aluminum (Recycled),84.2,3.72,0.53,1.33,80.42
Compostable PLA,67.29,0.27,0.48,0.9,80.4
Starch-Based Bioplastic,61.11,2.32,0.82,0.1,62.77
Starch-Based Bioplastic,90.91,9.43,0.48,1.99,50.44
Recycled Paperboard,72.2,6.82,0.82,2.2,90.15
Mycelium Packaging,8.12,8.61,0.79,1.74,52.39
Starch-Based Bioplastic,59.02,1.3,0.57,1.73,77.57
Bagasse Fiber,100.11,3.16,0.62,2.48,70.95
Compostable PLA,46.32,8.32,0.34,0.9,83.17
Bagasse Fiber,81.29,2.13,0.9,2.4,95.86
Biodegradable Polymer,112.29,7.55,0.93,1.73,72.48
Starch-Based Bioplastic,15.28,2.29,0.56,0.17,32.78
Compostable PLA,66.65,5.15,0.39,0.35,89.1
Mycelium Packaging,35.62,7.43,0.8,2.35,40.43
Starch-Based Bioplastic,46.61,0.1,0.51,0.48,62.43
Compostable PLA,108.5,8.63,0.75,1.94,35.14
Bamboo Pulp,87.65,2.88,0.81,2.16,62.17
Bagasse Fiber,89.68,2.09,0.87,1.02,94.97
Glass (Recycled),105.67,8.6,0.64,0.69,86.26
Starch-Based Bioplastic,42.52,9.92,0.31,0.25,85.49
Bagasse Fiber,12.23,7.58,0.73,0.94,67.62
Bamboo Pulp,119.7,6.43,0.45,2.42,88.78
Compostable PLA,71.59,6.93,0.32,1.14,23.3
Recycled Paperboard,107.91,7.46,0.78,1.12,68.39
Compostable PLA,11.55,9.38,0.88,0.22,65.14
Bamboo Pulp,17.49,1.56,0.91,1.02,59.13
Compostable PLA,39.48,4.49,0.92,1.13,56.41
Bamboo Pulp,63.86,7.22,0.83,1.66,95.54
Bamboo Pulp,27.04,0.52,0.66,2.05,89.08
Biodegradable Polymer,15.56,7.02,0.36,0.64,51.07
Bamboo Pulp,84.08,8.48,0.91,0.69,45.22
Starch-Based Bioplastic,10.32,8.91,0.47,1.11,27.56
Compostable PLA,80.53,5.57,0.34,1.13,24.5
Aluminum (Recycled),50.64,0.77,0.77,1.49,29.95
Starch-Based Bioplastic,70.72,3.61,0.84,0.99,78.34
Glass (Recycled),106.72,7.75,0.8,2.35,55.52
Biodegradable Polymer,41.96,3.34,0.94,1.59,45.35
Recycled Paperboard,35.56,4.15,0.97,2.07,92.58
Glass (Recycled),81.43,6.74,0.6,1.1,89.01
Bagasse Fiber,78.12,7.56,0.52,0.67,70.12
Biodegradable Polymer,15.29,2.21,0.68,1.62,45.2
Biodegradable Polymer,55.16,2.28,0.65,0.56,32.21
Biodegradable Polymer,103.99,1.27,0.63,0.83,77.82
Bamboo Pulp,60.56,9.81,0.74,2.08,79.2
Recycled Paperboard,106.87,9.29,0.84,1.11,73.01
Mycelium Packaging,79.47,1.7,0.75,2.17,69.13
Palm Leaf Material,113.14,0.78,0.92,0.21,76.77
Compostable PLA,50.62,1.37,0.84,0.85,27.69
Bamboo Pulp,16.97,4.64,0.51,0.58,67.38
Biodegradable Polymer,117.17,1.19,0.63,0.6,92.83
Aluminum (Recycled),59.5,7.41,0.88,0.46,54.83
Compostable PLA,92.56,1.45,0.96,0.99,58.51
Aluminum (Recycled),73.08,6.51,0.32,1.73,42.03
Compostable PLA,61.45,1.43,0.75,1.64,79.31
Mycelium Packaging,118.24,1.37,0.3,1.86,75.39
Bamboo Pulp,48.35,3.49,0.82,2.4,30.85
Compostable PLA,85.89,5.59,0.4,1.44,96.19
Bagasse Fiber,69.09,8.78,0.72,1.64,36.07
Bagasse Fiber,42.99,6.38,0.99,1.09,62.73
Recycled Paperboard,66.43,2.77,0.7,0.68,68.62
Bamboo Pulp,35.03,0.8,0.82,1.08,30.59
Starch-Based Bioplastic,104.56,3.13,0.69,1.24,87.23
Palm Leaf Material,68.37,9.27,0.44,0.17,57.17
Mycelium Packaging,73.92,9.22,0.37,2.17,22.29
Glass (Recycled),76.46,2.43,0.87,2.14,45.23
Compostable PLA,96.31,3.77,0.96,2.26,54.69
Glass (Recycled),119.03,5.87,0.87,0.41,21.14
Compostable PLA,10.61,6.74,0.8,2.2,68.25
Starch-Based Bioplastic,88.47,8.7,0.79,1.03,70.96
Compostable PLA,77.07,9.03,0.84,2.27,34.95
Starch-Based Bioplastic,30.87,1.36,0.9,1.88,65.38
Compostable PLA,110.69,6.48,0.51,2.35,80.36
Mycelium Packaging,5.16,0.13,0.31,0.69,59.24
Starch-Based Bioplastic,87.46,4.92,0.41,0.35,33.84
Compostable PLA,84.95,8.09,0.4,1.55,84.16
Mycelium Packaging,102.72,9.47,0.69,1.96,96.58
Mycelium Packaging,109.12,3.59,0.51,1.92,90.54
Compostable PLA,50.67,0.33,0.39,2.33,38.31
Starch-Based Bioplastic,61.87,0.25,0.57,2.05,76.72
Recycled Paperboard,46.88,6.78,0.82,2.22,63.99
Biodegradable Polymer,29.41,4.66,0.52,0.86,43.57
Aluminum (Recycled),49.08,5.99,0.33,1.31,74.62
Mycelium Packaging,29.52,6.4,0.62,1.77,49.82
Aluminum (Recycled),86.85,5.76,0.55,1.75,31.53
Palm Leaf Material,33.52,3.4,0.62,0.98,45.51
Bagasse Fiber,80.42,4.33,0.83,2.07,29.99
Aluminum (Recycled),15.38,6.89,0.65,0.07,21.63
Palm Leaf Material,116.42,8.69,0.83,1.57,33.65
Glass (Recycled),35.72,4.84,0.96,1.8,52.9
Biodegradable Polymer,80.79,2.36,0.47,0.24,89.79
Palm Leaf Material,59.81,8.77,0.54,2.41,96.99
Starch-Based Bioplastic,51.34,7.99,0.61,1.11,55.4
Compostable PLA,88.69,3.3,0.99,1.32,38.06
Bamboo Pulp,106.08,9.13,0.45,0.08,56.96
Palm Leaf Material,89.54,2.29,0.85,1.42,70.12
