product_name,industry,weight_kg,volume_cm3,fragility_level,moisture_sensitivity,temperature_sensitivity,price_usd
Portable Blender,Kitchen Appliances,0.021053838565140485,0.24839072328557618,5.0,Low,Low,-0.37390165642770384
Wireless Security Camera,Home Security,-0.22847313702170927,-0.2419629814624434,5.0,Low,Low,0.36123787798715196
Folding Electric Scooter,Outdoor & Sports,5.760174277062685,2.493416286220439,5.0,Low,Low,2.0882231564962437
Smart Scale,Fitness & Health,0.14581732635856534,0.4529298081399601,5.0,Low,Low,0.2189672580475071
Electric Shaver,Personal Care,-0.3532366248151341,-0.5301307731993005,5.0,Low,Low,0.05506307681827534
Coffee Maker,Kitchen Appliances,0.4577260458421275,1.4151455578310752,5.0,Low,Low,0.36123787798715196
Gaming Mouse,Computer Accessories,-0.38442749676349036,-1.0890771123181493,5.0,Low,Low,-0.13825438947803723
Smart Light Bulb,Home & Office,-0.4156183687118466,-0.6376395327007959,5.0,Low,Low,-1.0962711434333539
Bluetooth Car Kit,Car Accessories,-0.4156183687118466,-0.7741255112131138,5.0,Low,Low,-0.6757680124459229
Wireless Presenter,Office Supplies,-0.4468092406602028,-1.2602657352877344,5.0,Low,Low,-1.0962711434333539
Noise Cancelling Headphones,Audio Devices,-0.22847313702170927,0.3260688648677073,7.0,Low,Low,0.599495627161217
Portable Monitor,Computer Accessories,-0.10370964922828443,0.24839072328557618,5.0,Low,Low,1.03370500278919
Smart Plug,Home Automation,-0.4156183687118466,-0.9612146433613732,5.0,Low,Low,-1.0962711434333539
Smart Glasses,Wearable Tech,-0.4156183687118466,-0.4414241489763981,7.0,Low,Medium,1.3425248197885884
Desk Organizer,Home & Office,-0.2908548809184217,0.3934431679967569,5.0,Low,Low,-1.3898765951734235
Smart Alarm Clock,Home & Office,-0.3532366248151341,-0.3001720945478524,5.0,Low,Low,-0.8656762718615619
Wireless Charging Stand,Mobile Accessories,-0.2908548809184217,-0.09904690303722774,5.0,Low,Low,-0.6757680124459229
Bluetooth FM Transmitter,Car Accessories,-0.4156183687118466,-1.0890771123181493,5.0,Low,Low,-1.0962711434333539
Electric Scooter,Outdoor & Sports,7.0078091549969335,2.493416286220439,5.0,Low,Low,2.3286114801946676
Smart Home Hub,Home Automation,-0.2908548809184217,-0.6376395327007959,5.0,Low,Low,0.599495627161217
Smart Mirror,Home & Office,0.14581732635856534,0.9497533619255573,5.0,Low,Low,1.3425248197885884
Wireless Charging Car Mount,Car Accessories,-0.3532366248151341,-0.1897351261953338,5.0,Low,Low,-0.37390165642770384
Smart Door Lock,Home Security,-0.16609139312499685,-0.5810507231614462,5.0,Low,Low,1.03370500278919
Fitness Smartwatch,Wearable Tech,-0.4156183687118466,-1.520160982480222,7.0,Low,Medium,0.7945641397739368
Bluetooth Earphones,Audio Devices,-0.4468092406602028,-1.2602657352877344,7.0,Low,Low,0.05506307681827534
Smart LED Strip Lights,Home & Office,-0.2908548809184217,-1.1675051064802986,5.0,Low,Low,-1.0962711434333539
Portable Espresso Machine,Kitchen Appliances,-0.10370964922828443,0.03682793440047053,5.0,Low,Low,0.36123787798715196
Wireless Charging Mouse Pad,Computer Accessories,-0.22847313702170927,-0.1897351261953338,5.0,Low,Low,-0.8656762718615619
Electric Skateboard,Outdoor & Sports,4.5125393991284355,1.6811453348657504,5.0,Low,Low,2.0882231564962437
Smart Wi-Fi Plug,Home Automation,-0.4156183687118466,-0.9612146433613732,5.0,Low,Low,-1.0962711434333539
Bluetooth Beanie,Apparel & Accessories,-0.4156183687118466,0.1566780348763248,5.0,Low,Low,-0.8656762718615619
Smart Bike Lock,Outdoor & Sports,-0.16609139312499685,-0.6684838175993767,5.0,Low,Low,-0.13825438947803723
Portable UV Sanitizer,Personal Care,-0.2908548809184217,0.04471607509822269,5.0,Low,Low,-0.6757680124459229
Wireless Charging Desk Lamp,Home & Office,0.021053838565140485,1.0095315583932494,5.0,Low,Low,0.2189672580475071
Smart Water Bottle,Health & Wellness,-0.3532366248151341,0.21590469806780785,5.0,Low,Low,-0.37390165642770384
Bluetooth Shower Speaker,Audio Devices,-0.2908548809184217,-0.3001720945478524,7.0,Low,Low,-1.0962711434333539
Smart Garden,Home & Garden,0.7696347653256898,1.7139612965054334,5.0,Low,Low,0.599495627161217
Wireless Charging Pad with Organizer,Home & Office,-0.16609139312499685,-0.09904690303722774,5.0,Low,Low,-0.37390165642770384
Smart Backpack,Travel & Luggage,0.14581732635856534,1.5676939607107039,5.0,Low,Low,-0.13825438947803723
Portable Ice Maker,Kitchen Appliances,0.4577260458421275,1.734718731488521,5.0,Low,Low,1.03370500278919
Smart Pet Feeder,Pet Supplies,0.2705808141519902,1.3017480618955293,5.0,Low,Low,0.36123787798715196
Wireless Charging Mouse,Computer Accessories,-0.3532366248151341,-0.7741255112131138,5.0,Low,Low,-0.6757680124459229
Smart Umbrella,Apparel & Accessories,-0.16609139312499685,0.2689500814435136,5.0,Low,Low,-0.37390165642770384
Bluetooth BBQ Thermometer,Outdoor & Sports,-0.3532366248151341,-0.7741255112131138,5.0,Low,Low,-0.6757680124459229
Smart Wallet,Apparel & Accessories,-0.4156183687118466,-1.0890771123181493,5.0,Low,Low,-0.13825438947803723
Wireless Charging Desk Organizer,Home & Office,-0.04132790533157201,0.8038282561974796,5.0,Low,Low,0.05506307681827534
Smart Watering System,Home & Garden,0.4577260458421275,1.2091197370502078,5.0,Low,Low,0.599495627161217
Bluetooth Remote Control,Home & Office,-0.4156183687118466,-1.0890771123181493,5.0,Low,Low,-1.0962711434333539
Wireless Charging Bedside Lamp,Home & Office,-0.16609139312499685,0.7321043534909828,5.0,Low,Low,0.36123787798715196
Smart Skipping Rope,Fitness & Health,-0.2908548809184217,-0.8591184336667013,5.0,Low,Low,-1.0962711434333539
Portable Clothes Steamer,Home Appliances,-0.10370964922828443,0.5984172658704887,5.0,Low,Low,-0.37390165642770384
Wireless Charging Car Mount with Auto-Clamp,Car Accessories,-0.2908548809184217,-0.09904690303722774,5.0,Low,Low,-0.13825438947803723
Smart Bicycle Helmet,Outdoor & Sports,-0.16609139312499685,1.063018828923514,5.0,Low,Low,0.599495627161217
Bluetooth Car Locator,Car Accessories,-0.4156183687118466,-1.2602657352877344,5.0,Low,Low,-1.0962711434333539
Smart Posture Corrector,Health & Wellness,-0.2908548809184217,-0.4414241489763981,5.0,Low,Low,-0.6757680124459229
Smart Wi-Fi Thermostat,Home Appliances,-0.2908548809184217,-0.6376395327007959,5.0,Low,Low,0.7945641397739368
Wireless Charging Alarm Clock,Home & Office,-0.16609139312499685,-0.09904690303722774,5.0,Low,Low,-0.37390165642770384
Smart Water Leak Detector,Home Security,-0.3532366248151341,-0.9076098592878108,5.0,Low,Low,-0.6757680124459229
Bluetooth Meat Thermometer,Kitchen Appliances,-0.4156183687118466,-1.2602657352877344,5.0,Low,Low,-1.0962711434333539
Smart Sleep Mask,Health & Wellness,-0.4156183687118466,-0.3001720945478524,5.0,Low,Low,-0.8656762718615619
Wireless Charging Nightstand,Home & Office,0.14581732635856534,2.266392385103077,5.0,Low,Low,0.599495627161217
Smart Kitchen Scale,Kitchen Appliances,-0.16609139312499685,0.1566780348763248,5.0,Low,Low,-0.13825438947803723
Portable Air Purifier,Home Appliances,0.021053838565140485,0.9170058752761788,5.0,Low,Low,0.2189672580475071
Bluetooth Smart Lock,Home Security,-0.2908548809184217,-0.6684838175993767,5.0,Low,Low,0.36123787798715196
Wireless Charging Coaster,Home & Office,-0.3532366248151341,-0.9612146433613732,5.0,Low,Low,-1.0962711434333539
Smart Notebook,Home & Office,-0.3532366248151341,-0.4414241489763981,5.0,Low,Low,-1.3898765951734235
Wireless Charging Mouse Pad with Wrist Rest,Computer Accessories,-0.16609139312499685,0.1566780348763248,5.0,Low,Low,-0.6757680124459229
Smart Diffuser,Home & Office,-0.2908548809184217,0.8038282561974796,5.0,Low,Low,-0.37390165642770384
Bluetooth Sleep Headphones,Audio Devices,-0.3532366248151341,0.5061835919350647,7.0,Low,Low,-0.13825438947803723
Smart Air Fryer,Kitchen Appliances,0.4577260458421275,1.52856949665182,5.0,Low,Low,0.7945641397739368
Wireless Charging Desk Organizer with Lamp,Home & Office,0.2705808141519902,1.4151455578310752,5.0,Low,Low,0.2189672580475071
Smart Light Switch,Home Automation,-0.3532366248151341,-0.6376395327007959,5.0,Low,Low,-0.6757680124459229
Wireless Charging Valet Tray,Home & Office,-0.16609139312499685,0.24839072328557618,5.0,Low,Low,-0.37390165642770384
Bluetooth Wine Opener,Kitchen Appliances,-0.2908548809184217,-0.3001720945478524,5.0,Low,Low,-0.6757680124459229
Smart Garbage Can,Home & Office,0.7696347653256898,2.0664700214172895,5.0,Low,Low,0.36123787798715196
Wireless Charging Bedside Table,Home & Office,1.081543484809252,2.379902348888546,5.0,Low,Low,0.599495627161217
Smart Plant Pot,Gardening & Lawn Care,-0.16609139312499685,0.6580493273969238,5.0,Low,Low,0.05506307681827534
Bluetooth Picture Frame,Home Decor,-0.2908548809184217,-0.09904690303722774,5.0,Low,Low,-0.37390165642770384
Smart Dog Collar,Pet Supplies,-0.3532366248151341,-1.2602657352877344,5.0,Low,Low,-0.13825438947803723
Wireless Charging Desk Lamp with Speaker,Home & Office,0.14581732635856534,1.561378597904394,5.0,Low,Low,0.48692554374684205
Smart Remote Control,Home & Office,-0.4156183687118466,-1.0890771123181493,5.0,Low,Low,-1.0962711434333539
Wireless Charging Desk Fan,Home & Office,-0.04132790533157201,0.9170058752761788,5.0,Low,Low,0.05506307681827534
Smart Dog Feeder,Pet Supplies,0.14581732635856534,1.5078179419269127,5.0,Low,Low,0.2189672580475071
Bluetooth Smart Bulb,Home & Office,-0.4156183687118466,-0.6376395327007959,5.0,Low,Low,-1.0962711434333539
Wireless Charging Wall Clock,Home & Office,-0.16609139312499685,0.4529298081399601,5.0,Low,Low,-0.13825438947803723
Smart Sun Hat,Apparel & Accessories,-0.4156183687118466,1.2689565884696,5.0,Low,Low,-1.0962711434333539
Wireless Charging Desk Clock,Home & Office,-0.2908548809184217,-0.4414241489763981,5.0,Low,Low,-0.6757680124459229
Bluetooth Water Bottle,Health & Wellness,-0.3532366248151341,0.21590469806780785,5.0,Low,Low,-0.8656762718615619
Smart Cutting Board,Kitchen Accessories,-0.16609139312499685,0.24839072328557618,5.0,Low,Low,-0.37390165642770384
Wireless Charging Makeup Mirror,Home & Office,0.021053838565140485,1.4151455578310752,5.0,Low,Low,0.36123787798715196
Smart Luggage Tag,Travel & Luggage,-0.4156183687118466,-1.5929670975244505,5.0,Low,Low,-1.3898765951734235
Bluetooth Baby Monitor,Parenting & Baby Care,-0.3532366248151341,-0.09904690303722774,5.0,Low,Low,-0.37390165642770384
Wireless Charging Coaster Set,Home & Office,-0.16609139312499685,-0.5810507231614462,5.0,Low,Low,-0.514319358593136
Smart Bike Light,Cycling Accessories,-0.4156183687118466,-0.9612146433613732,5.0,Low,Low,-0.8656762718615619
Bluetooth Travel Speaker,Audio Devices,-0.2908548809184217,-0.09904690303722774,7.0,Low,Low,0.05506307681827534
