material_id,material_name,material_type,strength_kg,weight_g_per_m2,biodegradability_score,co2_emission_kg_per_kg,recyclability_percent,cost_kg,water_resistance_score,predicted_cost,predicted_co2,final_score,Rank
32,Molded_Wheat_Fiber,Fiber,170,90,0.95,0.22,84,0.25,0.4,0.27450000000000035,0.214265692394381,98.0,39.0
33,Areca_Plate_Fiber,Fiber,160,80,0.98,0.18,92,0.23,0.4,0.2250000000000003,0.2221291669161211,74.0,27.0
34,Sugarcane_Pulp_Molded,Fiber,190,100,0.91,0.3,86,0.29,0.5,0.8159999999999993,1.2165692079768395,237.0,100.0
35,Recycled_Glass_Pellets,Glass,550,350,0.2,1.2,50,0.8,0.9,0.2629000000000002,0.2741311793612769,106.0,42.0
36,Foam_Starch_Based,Foam,120,70,0.97,0.15,93,0.21,0.3,0.17860000000000004,0.7757314754719395,112.0,47.0
37,Rice_Husk_Composite,Composite,240,130,0.9,0.35,78,0.33,0.5,0.4915000000000002,0.5436382235639253,182.0,80.0
38,Coconut_Fiber_Mesh,Fiber,210,145,0.88,0.4,77,0.31,0.6,0.5569999999999994,0.621250027928636,200.5,87.0
39,Hemp_Bioplastic,Plastic,300,120,0.85,0.5,68,0.45,0.6,0.20629999999999982,0.2963927390414846,77.0,30.0
40,Recycled_Tin_Metal,Metal,450,300,0.1,1.5,40,0.9,0.95,0.2524,0.20430257743481678,80.0,31.0
41,Recycled_Aluminum,Metal,500,270,0.15,1.1,45,0.85,0.9,0.5910000000000004,0.621250027928636,206.5,89.0
42,Recycled_Steel,Metal,600,350,0.08,1.7,35,1.0,0.95,0.5234999999999999,0.6938838070390424,199.0,85.0
43,Recycled_Cardboard,Fiber,160,75,0.85,0.25,95,0.18,0.4,0.20529999999999993,0.7192649251424718,114.0,48.0
44,Hardboard_Wood,Wood,320,260,0.6,0.6,60,0.55,0.7,0.2672000000000002,1.3534350948869138,181.0,79.0
45,Paper_Cloth_Fiber,Fiber,140,70,0.92,0.3,90,0.2,0.3,0.32030000000000025,0.28281521890668515,140.0,61.0
46,Leaf_Plate,Natural,110,60,0.99,0.12,98,0.15,0.3,0.2974,1.499392465863861,195.0,84.0
47,Mango_Board,Natural,200,120,0.8,0.4,75,0.4,0.5,0.18579999999999988,0.38606297479995716,80.0,31.0
48,Coffee_Husk_Composite,Composite,230,130,0.88,0.35,80,0.3,0.5,0.46490000000000037,0.5407267387364384,179.0,77.0
49,Banana_Fiber_Sheet,Fiber,170,80,0.96,0.18,89,0.23,0.4,0.21989999999999987,0.17630121448832833,44.0,14.0
50,Pine_Resin_Film,Natural,260,95,0.75,0.5,72,0.42,0.5,0.24720000000000006,0.20743800819294272,81.0,32.0
51,Milk_Protein_Plastic,Plastic,200,85,0.98,0.1,95,0.2,0.3,0.17650000000000005,0.48365546433629875,84.0,33.0
52,Seaweed_Film,Natural,150,60,0.99,0.12,97,0.18,0.2,0.2657000000000004,0.1948659449443592,80.0,31.0
53,Recycled_PET_Bottles,Plastic,420,150,0.35,0.9,65,0.6,0.8,0.49250000000000016,0.539939777475013,180.0,78.0
54,Recycled_Paper_Pulp,Fiber,130,65,0.9,0.3,92,0.19,0.4,0.40460000000000046,0.45277942918608044,169.0,74.0
55,Mushroom_Mycelium_Blocks,Natural,240,120,0.98,0.08,88,0.25,0.4,0.2637000000000001,0.12580766103777888,61.0,20.0
56,Wood_Chipboard,Wood,350,250,0.65,0.55,70,0.5,0.7,0.2355999999999998,0.14498392299591184,53.0,17.0
57,Recycled_Rubber_Sheets,Rubber,600,400,0.2,1.4,50,1.1,0.9,0.2287999999999998,0.1949150640577332,59.0,19.0
58,Corn_Polysaccharide,Plastic,220,95,0.95,0.18,85,0.3,0.4,0.37589999999999973,0.3861622572165524,161.0,70.0
59,Cassava_Bioplastic,Plastic,210,90,0.97,0.16,92,0.25,0.3,0.15570000000000017,0.11298115353369316,4.0,1.0
60,Recycled_Fabric_Fiber,Textile,160,80,0.9,0.32,88,0.27,0.3,0.5305000000000001,0.7287721002488076,203.0,88.0
61,Palm_Leaf_Fiber,Natural,140,70,0.98,0.14,96,0.22,0.3,0.32629999999999953,0.30432723402321493,149.0,64.0
62,Stone_Paper,Composite,300,180,0.4,0.7,65,0.5,0.8,0.24069999999999997,0.18892493861259865,63.0,21.0
63,Silk_Fiber_Textile,Textile,180,90,0.85,0.3,95,0.32,0.3,0.30140000000000045,0.27685221533203663,127.5,56.0
64,Clay_Composite,Composite,250,200,0.5,0.6,60,0.6,0.7,0.9650000000000003,1.6873075741969883,249.0,102.0
65,Coconut_Husk_Molded,Natural,180,100,0.95,0.2,85,0.3,0.4,0.2541,0.16465798501044443,66.0,24.0
66,Water_Hyacinth_Fiber,Natural,150,80,0.97,0.15,93,0.22,0.3,0.3031000000000004,0.27685221533203663,128.5,57.0
67,Recycled_Nylon,Textile,280,150,0.4,0.9,70,0.6,0.7,0.24180000000000024,0.2065540324883005,75.5,29.0
68,Recycled_Polyester,Textile,300,160,0.45,0.85,68,0.55,0.7,0.17200000000000004,0.13096268121005802,9.0,3.0
69,Strawboard_Fiber,Fiber,160,75,0.9,0.28,91,0.21,0.4,0.24709999999999974,0.20208233473174897,72.5,26.0
70,Areca_Fiber_Panel,Natural,190,90,0.96,0.18,90,0.25,0.4,0.29770000000000046,0.2266811237609751,111.0,46.0
71,Waxed_Paper,Fiber,150,65,0.85,0.35,95,0.2,0.7,1.0800000000000012,1.590895149270634,249.0,102.0
72,Glass_Fiber_Composite,Composite,500,300,0.2,1.1,55,0.7,0.9,0.22980000000000017,0.20333282411884154,66.0,24.0
73,Thermocol_Alternative_Starch,Foam,130,70,0.95,0.14,90,0.22,0.3,0.44720000000000026,0.5406085336388397,177.0,76.0
74,Corn_Husk_Fiber,Natural,140,75,0.98,0.13,97,0.18,0.3,0.25209999999999977,0.2577427317942274,97.0,37.0
75,Lotus_Stalk_Fiber,Fiber,160,90,0.97,0.2,88,0.22,0.3,0.5397000000000007,0.6478436608370839,200.0,86.0
76,Recycled_Tyre_Rubber,Rubber,650,420,0.15,1.6,40,1.2,0.9,0.640500000000001,1.1938465780904812,230.0,98.0
77,Clay_Paper,Composite,200,140,0.7,0.5,75,0.4,0.6,0.34829999999999983,0.3980910707877327,159.0,69.0
78,Mango_Seed_Polymer,Natural,230,110,0.9,0.28,80,0.3,0.4,0.5539999999999997,0.7551753647259778,207.0,90.0
79,Corn_Kernel_Polymer,Plastic,240,85,0.92,0.25,83,0.28,0.3,0.2121999999999998,0.2819470189460251,81.0,32.0
80,Coffee_Ground_Film,Natural,190,70,0.95,0.18,92,0.25,0.3,0.25499999999999967,0.8833861341621354,163.0,71.0
81,Avocado_Seed_Plastic,Natural,230,95,0.93,0.22,89,0.26,0.4,0.5875000000000005,0.9331863429766662,222.0,96.0
82,Recycled_Clayboard,Composite,260,150,0.65,0.55,68,0.45,0.6,0.3203999999999999,0.4070673640991079,156.0,67.0
83,Recycled_Foam,Foam,250,180,0.3,0.8,55,0.7,0.8,0.17809999999999995,0.4258199092576004,81.0,32.0
84,Cane_Fiber_Film,Natural,170,85,0.95,0.21,90,0.22,0.3,0.5604999999999997,0.5571912457172373,195.0,84.0
85,Leaf_Molded_Bowl,Natural,130,60,0.99,0.12,98,0.15,0.3,0.5664999999999993,0.9988079995059942,220.0,94.0
86,Sunflower_Stem_Fiber,Natural,150,70,0.97,0.2,95,0.2,0.3,0.31050000000000016,0.30432723402321493,140.5,62.0
87,Coir_Board,Natural,240,130,0.9,0.33,75,0.35,0.5,0.25420000000000004,0.2065540324883005,85.5,34.0
88,Ragi_Husk_Fiber,Natural,180,90,0.95,0.21,89,0.25,0.4,0.32589999999999963,0.3266270242685639,151.0,65.0
89,Chia_Seed_Film,Natural,160,60,0.98,0.12,97,0.15,0.3,0.2322999999999999,0.23941220614801823,84.0,33.0
90,Neem_Wood_Sheet,Wood,320,260,0.6,0.55,70,0.5,0.6,0.35790000000000044,0.38587237330417246,158.0,68.0
91,Jowar_Husk_Panel,Natural,200,120,0.92,0.29,85,0.3,0.5,0.6618000000000009,0.7950373022779369,221.0,95.0
92,Millet_Strawboard,Natural,210,130,0.9,0.3,82,0.32,0.5,0.24540000000000003,0.20618751880585015,74.5,28.0
93,Cocoa_Husk_Compostable,Natural,180,100,0.96,0.22,90,0.28,0.4,0.2876000000000004,0.28135044316526203,124.0,54.0
94,Lupin_Protein_Film,Natural,150,65,0.98,0.12,96,0.2,0.3,0.2141999999999998,0.13855141314449174,35.5,10.0
95,Peanut_Shell_Plastic,Natural,230,110,0.9,0.3,80,0.32,0.4,0.7415000000000012,1.0630424258594229,229.0,97.0
96,Recycled_Magazine_Paper,Fiber,120,60,0.88,0.35,92,0.2,0.4,0.674600000000001,1.1103213079696923,229.0,97.0
97,Cotton_Waste_Fiber,Fiber,140,70,0.9,0.28,94,0.18,0.4,0.1550999999999998,0.4910592424250539,80.0,31.0
98,Lotus_Fiber_Panel,Natural,160,80,0.96,0.2,90,0.25,0.4,0.2747000000000002,0.20618751880585015,92.5,36.0
99,Coir_Compostable_Panel,Natural,200,110,0.95,0.25,85,0.3,0.5,0.1775999999999999,0.12659234301373268,10.0,4.0
100,Sago_Waste_Composite,Composite,240,130,0.88,0.35,78,0.3,0.5,0.21129999999999977,0.19649223323132942,45.0,15.0
101,Teak_Wood_Lite,Wood,350,270,0.55,0.65,60,0.6,0.7,0.2454999999999999,0.768760125053011,148.0,63.0
102,Areca_Biodegradable_Box,Natural,170,90,0.97,0.2,92,0.23,0.4,0.21469999999999995,0.20857940592746782,61.0,20.0
103,Banana_Pseudo_Stem_Fiber,Natural,165,85,0.98,0.18,94,0.2,0.4,0.31050000000000016,0.30432723402321493,140.5,62.0
104,Recycled_Hard_Plastic,Plastic,450,160,0.3,1.0,65,0.55,0.7,0.3831000000000001,0.45945593788198436,168.0,73.0
105,Recycled_Mixed_Plastics,Plastic,400,150,0.25,1.2,50,0.6,0.8,0.2113999999999999,0.2325719492254339,64.0,23.0
106,Stone_Composite_Sheet,Composite,320,200,0.45,0.7,60,0.5,0.7,0.3125,0.29973915049864314,140.0,61.0
107,Recycled_EPS,Foam,150,100,0.25,1.1,40,0.7,0.8,0.9394999999999999,1.428284174726002,244.0,101.0
108,Hybrid_Paper_Polymer,Composite,260,140,0.55,0.6,70,0.5,0.6,0.21319999999999983,0.18376579514549926,42.0,13.0
109,Corn_Silk_Fiber,Natural,135,65,0.98,0.13,95,0.2,0.3,0.21009999999999973,0.13855141314449174,30.5,7.0
110,Bio_Wax_Coated_Paper,Natural,160,75,0.9,0.25,90,0.3,0.7,0.24870000000000003,1.2839645565375877,167.0,72.0
111,Coconut_Shell_Panel,Natural,250,150,0.85,0.4,75,0.35,0.6,0.34930000000000017,1.3109079264045767,207.0,90.0
112,Recycled_Office_Paper,Fiber,125,60,0.9,0.3,95,0.22,0.4,0.20989999999999984,0.18587306851432442,38.5,12.0
113,Coconut_Pulp_Sheet,Natural,185,95,0.96,0.28,88,0.3,0.4,0.22139999999999987,0.19945849715455474,56.0,18.0
114,Hemp_Molded_Panel,Natural,230,130,0.89,0.35,80,0.33,0.5,0.20919999999999983,0.23108745051533194,59.0,19.0
115,Soy_Protein_Film,Natural,160,70,0.98,0.13,96,0.18,0.3,0.2226999999999999,0.48225399042195527,111.0,46.0
116,Recycled_Woven_Fabric,Textile,150,80,0.85,0.32,88,0.28,0.4,0.3149000000000002,0.27948995086341505,135.0,60.0
117,Pulped_Citrus_Fiber,Natural,155,75,0.97,0.2,94,0.22,0.3,0.23300000000000032,1.1851894916994181,155.0,66.0
118,Recycled_Wood_Fiber,Wood,270,180,0.65,0.55,75,0.45,0.6,0.2297,0.20208233473174897,63.5,22.0
119,Coffee_Wood_Composite,Composite,260,150,0.7,0.5,70,0.5,0.6,0.18779999999999986,0.5891985488874273,101.0,40.0
120,Date_Seed_Composite,Natural,210,110,0.9,0.28,85,0.3,0.5,0.21859999999999974,0.1358198435727928,37.0,11.0
121,Banana_Peel_Bioplastic,Natural,180,90,0.97,0.18,92,0.24,0.4,0.32589999999999963,0.3266270242685639,151.0,65.0
122,Groundnut_Shell_Panel,Natural,240,130,0.9,0.32,80,0.33,0.5,0.2563000000000001,0.20911642198215363,91.0,35.0
123,Bio_Soy_Plastic,Plastic,260,100,0.92,0.22,78,0.3,0.4,0.19899999999999987,0.6530165220036389,109.0,44.0
124,Recycled_Craft_Paper,Fiber,140,70,0.88,0.3,96,0.2,0.4,0.37990000000000046,1.3167322646612496,211.0,91.0
125,Lotus_Seed_Husk_Fiber,Natural,170,85,0.96,0.19,90,0.25,0.4,0.2513000000000002,0.2712237225281325,97.5,38.0
