id,strength,weight_capacity,biodegradability,co2_emission,recyclability,material_type_Bamboo Fiber,material_type_Biodegradable Polymer,material_type_Cork Material,material_type_Glass (Recycled),material_type_Mycelium Packaging,material_type_PLA Bioplastic,material_type_Paper Pulp Composite,material_type_Recycled PET,material_type_Sugarcane Bioplastic
72,107.55,3.84,0.47,2.55,60.01,False,False,False,False,False,False,True,False,False
73,101.88,0.11,0.79,1.83,77.6,False,True,False,False,False,False,False,False,False
74,74.2,0.61,0.22,2.28,57.64,False,False,False,False,False,False,False,True,False
75,127.07,4.91,0.67,2.03,36.04,False,False,False,False,False,False,True,False,False
76,66.33,4.53,0.23,2.33,38.79,False,False,False,False,True,False,False,False,False
77,11.45,2.72,0.2,2.86,93.38,False,False,False,False,False,False,True,False,False
78,81.48,3.59,0.26,1.87,88.65,False,False,True,False,False,False,False,False,False
79,136.81,4.95,0.77,2.21,93.65,False,False,False,False,False,False,False,False,False
80,90.32,3.21,0.59,2.67,91.22,False,False,False,False,False,False,True,False,False
81,47.0,4.1,0.45,2.95,48.66,False,True,False,False,False,False,False,False,False
82,54.03,4.56,0.49,1.33,65.86,False,True,False,False,False,False,False,False,False
83,52.78,2.45,0.72,0.47,51.41,False,True,False,False,False,False,False,False,False
84,130.33,2.81,0.75,1.39,73.98,False,False,False,False,False,False,False,True,False
85,90.75,1.59,0.61,2.75,59.85,True,False,False,False,False,False,False,False,False
86,142.86,0.34,0.91,1.74,56.52,False,False,False,False,True,False,False,False,False
87,22.25,1.18,0.45,0.57,72.5,True,False,False,False,False,False,False,False,False
88,143.44,0.88,0.55,0.52,91.55,False,False,False,False,False,False,False,False,False
89,58.86,0.33,0.38,2.01,64.81,False,False,True,False,False,False,False,False,False
90,34.93,2.94,0.94,0.37,61.69,False,False,True,False,False,False,False,False,False
91,116.98,3.15,0.77,0.62,34.79,False,False,False,False,False,False,False,False,False
92,62.56,4.88,0.33,2.92,83.72,False,False,False,False,False,False,False,True,False
93,103.62,2.41,0.21,1.09,64.45,False,False,False,False,False,False,False,False,False
94,91.94,2.23,0.69,0.99,37.83,False,False,False,False,False,False,False,False,True
95,54.79,4.92,0.38,1.05,66.67,False,False,True,False,False,False,False,False,False
96,45.46,4.36,0.31,0.1,78.28,False,False,False,True,False,False,False,False,False
97,65.55,4.32,0.95,1.38,98.25,False,False,False,False,False,False,False,False,False
98,106.15,2.27,0.93,1.95,30.37,False,False,False,False,False,True,False,False,False
99,56.97,2.84,0.7,1.4,86.9,False,False,False,True,False,False,False,False,False
100,48.38,2.82,0.74,1.09,89.91,True,False,False,False,False,False,False,False,False
101,114.62,1.48,0.82,1.31,86.54,True,False,False,False,False,False,False,False,False
102,39.92,3.85,0.45,2.21,82.11,False,False,False,False,True,False,False,False,False
103,35.56,2.73,0.42,1.51,81.38,False,True,False,False,False,False,False,False,False
104,104.44,4.01,0.26,0.73,44.53,False,False,False,False,False,True,False,False,False
105,109.58,2.79,0.44,2.51,60.47,False,False,True,False,False,False,False,False,False
106,24.1,0.19,0.25,1.16,84.1,False,False,False,False,False,False,False,False,False
107,38.36,2.18,0.52,0.48,81.05,False,False,False,False,False,False,True,False,False
108,16.64,2.27,0.92,2.65,86.91,False,False,False,False,False,False,True,False,False
109,52.92,4.64,0.24,1.11,35.32,False,False,True,False,False,False,False,False,False
110,57.32,3.97,0.8,1.42,35.76,True,False,False,False,False,False,False,False,False
111,134.94,3.62,0.56,1.75,44.1,False,False,False,False,False,True,False,False,False
112,89.6,3.05,0.92,2.69,72.03,False,False,True,False,False,False,False,False,False
113,148.0,0.93,0.66,0.18,85.1,False,False,False,False,True,False,False,False,False
114,83.91,3.71,0.32,1.68,45.16,False,False,False,False,False,False,False,True,False
115,128.43,4.09,0.41,2.95,94.96,False,False,False,False,False,False,False,True,False
116,108.64,3.26,0.37,2.25,98.44,True,False,False,False,False,False,False,False,False
117,10.53,4.67,0.89,2.2,66.17,False,False,False,False,False,False,False,False,True
118,14.58,3.82,0.54,0.57,79.09,False,True,False,False,False,False,False,False,False
119,66.26,3.5,0.2,2.34,92.75,True,False,False,False,False,False,False,False,False
120,83.78,0.52,0.49,2.73,42.51,False,False,False,False,False,True,False,False,False
121,38.18,0.65,0.7,2.85,32.81,False,False,False,False,False,False,False,False,True
122,72.18,4.15,0.54,1.07,77.25,False,False,False,False,True,False,False,False,False
123,53.87,4.53,0.52,2.13,68.54,False,False,False,False,False,False,False,False,True
124,74.82,0.56,0.96,0.42,39.18,False,True,False,False,False,False,False,False,False
125,131.81,4.94,0.95,1.18,63.76,False,False,False,False,False,False,True,False,False
126,90.26,4.72,0.61,0.62,89.36,False,False,False,False,False,True,False,False,False
127,85.64,4.75,0.7,2.52,30.56,True,False,False,False,False,False,False,False,False
128,20.88,1.64,0.96,0.08,87.59,False,False,False,True,False,False,False,False,False
129,70.02,2.96,0.89,1.86,67.27,False,False,True,False,False,False,False,False,False
130,114.17,1.67,0.4,1.98,72.61,False,False,False,True,False,False,False,False,False
131,64.12,2.71,0.91,2.82,45.27,False,False,False,True,False,False,False,False,False
132,30.2,0.12,0.77,1.72,85.62,False,False,False,False,True,False,False,False,False
133,120.85,3.49,0.82,1.25,75.34,False,True,False,False,False,False,False,False,False
134,55.05,0.9,0.53,0.76,58.48,False,False,False,False,False,True,False,False,False
135,23.55,0.77,0.53,1.6,49.74,False,False,True,False,False,False,False,False,False
136,96.74,1.3,0.83,1.33,55.03,False,False,False,False,False,False,False,True,False
137,14.37,0.36,0.41,1.8,36.17,False,False,False,True,False,False,False,False,False
138,20.15,1.68,0.85,2.8,47.29,False,False,False,False,True,False,False,False,False
139,88.47,2.41,0.56,2.81,57.31,False,False,False,False,True,False,False,False,False
140,11.93,2.11,0.95,1.06,84.58,False,False,False,True,False,False,False,False,False
141,57.87,0.77,0.77,2.11,78.19,False,True,False,False,False,False,False,False,False
142,14.61,2.44,0.62,1.64,41.42,False,False,False,False,True,False,False,False,False
143,18.07,3.18,0.77,1.86,75.38,False,False,True,False,False,False,False,False,False
144,30.92,2.6,0.9,0.59,62.4,False,False,False,False,False,False,False,False,True
145,57.49,3.48,0.73,2.49,89.25,False,False,False,False,True,False,False,False,False
146,69.73,3.05,0.32,1.55,50.79,False,False,False,False,False,False,False,False,False
147,130.55,4.08,0.78,0.23,30.75,False,False,False,False,False,True,False,False,False
148,95.16,0.06,0.58,1.64,69.29,False,False,True,False,False,False,False,False,False
149,101.13,0.36,0.44,1.5,58.81,False,False,False,False,False,True,False,False,False
150,19.06,4.96,0.24,0.64,59.59,False,False,False,False,False,True,False,False,False
151,24.2,2.95,0.93,1.95,76.52,False,False,True,False,False,False,False,False,False
152,21.4,0.5,0.2,2.87,34.54,False,False,False,False,True,False,False,False,False
153,86.41,2.52,0.27,0.09,34.54,False,False,False,False,True,False,False,False,False
154,70.74,1.94,0.58,2.94,55.51,False,False,False,False,True,False,False,False,False
155,99.12,4.61,0.74,0.72,60.53,False,False,False,False,True,False,False,False,False
156,16.09,4.76,0.65,1.16,99.65,False,False,False,True,False,False,False,False,False
157,82.34,0.2,0.66,0.58,74.17,False,False,False,False,False,False,False,False,True
158,24.09,3.24,0.86,1.1,45.15,False,False,False,True,False,False,False,False,False
159,31.11,1.88,0.31,2.19,63.39,False,False,False,False,False,True,False,False,False
160,95.41,3.53,0.9,0.07,50.91,False,False,False,False,False,False,False,True,False
161,68.54,0.18,0.43,1.54,97.62,False,False,False,True,False,False,False,False,False
162,41.51,0.78,0.2,2.31,98.57,False,False,False,False,False,False,True,False,False
163,65.89,3.99,0.35,2.31,50.32,False,False,False,False,False,True,False,False,False
164,106.57,1.97,0.42,2.84,51.31,False,False,False,False,False,False,False,True,False
165,31.36,0.13,0.29,1.97,58.19,False,True,False,False,False,False,False,False,False
166,82.21,1.49,0.37,2.88,99.85,True,False,False,False,False,False,False,False,False
167,15.56,0.4,0.58,1.08,95.61,False,True,False,False,False,False,False,False,False
168,121.06,2.4,0.41,0.33,37.4,True,False,False,False,False,False,False,False,False
169,48.33,1.68,0.64,0.7,77.0,False,False,True,False,False,False,False,False,False
170,148.81,0.29,0.28,0.72,55.08,False,False,False,True,False,False,False,False,False
171,83.61,0.43,0.9,2.86,86.88,False,False,False,False,False,False,False,False,False
172,83.9,1.73,0.64,2.92,51.82,False,False,True,False,False,False,False,False,False
173,145.45,0.21,0.58,0.29,59.53,False,False,False,False,False,False,False,True,False
174,75.73,1.09,0.23,1.0,32.6,False,True,False,False,False,False,False,False,False
175,132.52,1.29,0.72,0.54,54.69,False,False,False,False,False,False,False,False,True
176,15.98,3.19,0.81,2.46,61.74,False,False,False,True,False,False,False,False,False
177,96.44,2.19,0.88,1.39,31.08,False,True,False,False,False,False,False,False,False
178,101.87,4.12,0.96,0.2,46.46,False,False,True,False,False,False,False,False,False
179,19.02,2.31,0.43,1.56,58.42,False,False,False,False,False,False,False,False,True
180,118.2,4.22,0.23,1.49,46.76,False,False,True,False,False,False,False,False,False
181,146.79,4.71,0.76,0.13,58.6,False,False,False,False,False,False,False,False,True
182,141.72,3.44,0.25,2.62,79.1,False,False,True,False,False,False,False,False,False
183,11.69,2.38,0.41,2.1,67.97,False,False,False,False,True,False,False,False,False
184,127.94,3.11,0.63,0.78,50.66,False,True,False,False,False,False,False,False,False
185,53.75,3.77,0.61,0.28,51.03,False,False,False,True,False,False,False,False,False
186,100.62,0.41,0.52,0.22,65.81,False,False,True,False,False,False,False,False,False
187,49.5,4.42,0.65,0.39,45.89,False,False,False,False,False,False,False,False,True
188,111.5,4.48,0.5,1.44,89.31,False,False,False,False,False,False,False,False,False
189,40.52,3.15,0.53,1.79,68.39,False,False,False,False,False,True,False,False,False
190,115.04,4.74,0.63,0.62,82.7,False,False,False,True,False,False,False,False,False
191,70.83,2.2,0.34,1.97,93.93,True,False,False,False,False,False,False,False,False
192,125.16,4.4,0.46,0.41,80.49,False,False,False,False,False,True,False,False,False
193,83.63,4.69,0.98,0.74,89.56,True,False,False,False,False,False,False,False,False
194,11.69,1.55,0.22,2.99,70.74,False,False,False,False,False,False,False,True,False
195,140.05,2.56,0.56,1.78,48.49,False,False,True,False,False,False,False,False,False
196,139.28,4.45,0.27,2.9,39.38,False,False,False,True,False,False,False,False,False
197,130.24,2.3,0.3,0.96,62.96,False,False,False,False,False,False,True,False,False
198,99.5,1.51,0.48,0.44,66.04,False,False,False,False,False,False,False,True,False
199,96.6,0.8,0.81,2.35,93.29,False,True,False,False,False,False,False,False,False
200,34.74,1.99,0.46,2.46,72.95,False,False,False,False,False,True,False,False,False
201,76.7,0.18,0.54,2.88,88.85,True,False,False,False,False,False,False,False,False
202,124.9,3.02,0.75,1.5,36.17,False,False,False,False,False,False,False,False,True
203,51.95,2.71,0.47,1.48,90.79,False,False,False,True,False,False,False,False,False
204,56.25,4.23,0.54,2.6,75.99,False,True,False,False,False,False,False,False,False
205,125.59,1.99,0.94,0.2,64.32,False,False,False,False,False,True,False,False,False
206,137.22,1.68,0.75,2.7,35.3,False,False,False,True,False,False,False,False,False
207,36.72,4.26,0.73,1.07,40.6,False,True,False,False,False,False,False,False,False
208,134.34,0.31,0.87,1.13,94.56,False,False,False,True,False,False,False,False,False
209,133.11,0.79,0.89,2.41,72.81,True,False,False,False,False,False,False,False,False
210,123.43,0.61,0.53,2.66,96.97,False,False,False,False,False,False,False,False,True
211,67.95,4.96,0.94,0.49,57.64,False,False,False,False,False,False,True,False,False
212,23.48,2.21,0.29,1.74,52.78,False,False,False,False,False,False,False,True,False
213,137.51,0.16,0.86,0.61,78.0,True,False,False,False,False,False,False,False,False
214,38.2,2.55,0.42,2.49,47.05,False,False,False,False,False,True,False,False,False
215,29.76,0.46,0.47,1.29,79.37,False,False,False,False,False,False,False,False,False
216,46.62,0.66,0.98,1.52,45.69,False,True,False,False,False,False,False,False,False
217,139.46,1.97,0.59,0.8,91.95,False,False,False,False,True,False,False,False,False
218,65.7,1.04,0.56,0.39,42.41,False,False,False,False,True,False,False,False,False
219,106.52,1.25,0.47,2.44,86.46,False,False,False,False,False,False,False,False,True
220,50.7,4.91,0.54,2.12,90.76,False,False,False,False,False,False,False,False,False
221,70.03,1.94,0.3,0.77,35.55,False,False,False,False,False,False,False,False,False
222,113.84,3.09,0.74,0.07,77.49,False,False,True,False,False,False,False,False,False
223,18.14,3.02,0.26,1.1,80.57,False,False,False,False,False,False,False,False,False
224,137.92,1.77,0.82,1.66,87.15,False,False,True,False,False,False,False,False,False
225,92.59,3.95,0.28,1.63,55.62,False,False,False,False,False,True,False,False,False
226,144.23,1.99,0.51,2.38,75.16,False,False,False,False,False,False,False,False,False
227,98.18,1.37,0.26,0.98,76.18,False,False,True,False,False,False,False,False,False
228,40.52,4.63,0.75,1.82,82.27,False,False,False,False,False,True,False,False,False
229,87.38,2.01,0.77,2.62,78.06,False,False,False,False,False,False,True,False,False
230,20.03,4.89,0.39,2.0,36.27,False,False,False,False,False,True,False,False,False
231,80.4,0.57,0.51,1.64,53.74,False,False,False,False,False,True,False,False,False
232,56.5,3.19,0.74,1.9,62.44,True,False,False,False,False,False,False,False,False
233,60.13,3.08,0.95,1.81,98.57,False,False,False,False,False,False,True,False,False
234,97.39,1.09,0.33,0.13,42.3,False,False,False,False,False,False,True,False,False
235,48.81,2.7,0.81,0.21,68.43,False,False,False,False,False,False,False,False,False
236,68.75,3.88,0.28,2.29,65.42,False,False,False,False,True,False,False,False,False
237,117.1,3.02,0.87,2.69,98.09,False,False,False,False,False,False,False,False,False
238,125.22,1.45,0.98,1.32,38.17,False,False,False,False,False,False,True,False,False
239,63.84,4.66,0.43,0.89,64.47,False,False,True,False,False,False,False,False,False
240,93.58,3.99,0.2,0.15,77.84,False,False,False,False,False,True,False,False,False
241,133.86,3.87,0.46,2.4,52.72,False,False,False,False,False,False,False,False,True
242,24.04,4.27,0.76,1.47,57.6,True,False,False,False,False,False,False,False,False
243,62.18,3.57,0.56,1.84,99.33,False,False,False,False,True,False,False,False,False
244,112.4,3.03,1.0,0.7,84.23,True,False,False,False,False,False,False,False,False
245,122.09,4.67,0.34,2.59,97.02,False,False,False,False,False,False,False,True,False
246,140.78,2.53,0.43,2.72,55.73,False,False,False,False,False,False,True,False,False
247,51.14,1.81,0.96,1.46,49.48,False,False,True,False,False,False,False,False,False
248,100.07,0.6,0.81,2.56,89.1,False,False,False,False,False,False,False,False,False
249,124.08,4.74,0.52,2.73,36.68,False,False,False,False,False,False,False,False,True
250,137.04,4.46,0.94,0.51,91.58,False,False,False,False,False,False,True,False,False
251,60.21,2.82,0.98,1.43,39.34,True,False,False,False,False,False,False,False,False
252,33.14,1.03,0.75,1.74,91.13,True,False,False,False,False,False,False,False,False
253,98.15,0.22,0.61,2.6,98.89,False,False,False,False,True,False,False,False,False
254,45.4,1.16,0.24,0.08,64.31,False,False,False,False,True,False,False,False,False
255,45.9,1.84,0.71,0.87,53.39,False,False,False,False,False,False,True,False,False
256,63.27,3.53,0.6,1.92,54.74,False,False,False,True,False,False,False,False,False
257,50.48,0.85,0.36,2.01,90.31,False,False,False,False,True,False,False,False,False
258,140.64,4.68,0.43,0.86,68.6,False,False,False,False,False,False,False,False,True
259,112.33,3.09,0.52,0.85,69.12,False,False,False,False,False,False,True,False,False
260,100.29,2.45,0.97,0.47,74.26,False,False,False,False,False,False,False,False,False
261,138.9,4.59,0.94,0.24,38.03,False,False,False,False,False,True,False,False,False
262,141.28,4.95,0.99,1.78,36.42,False,False,False,True,False,False,False,False,False
263,30.47,3.12,0.96,2.0,65.02,True,False,False,False,False,False,False,False,False
264,50.5,4.74,0.88,1.33,62.76,False,False,False,False,False,False,False,False,True
265,84.32,4.21,0.28,2.24,43.4,False,False,False,False,True,False,False,False,False
266,87.21,1.64,0.82,0.48,47.14,False,False,False,False,True,False,False,False,False
267,37.43,0.49,0.9,0.31,77.86,False,False,True,False,False,False,False,False,False
268,29.75,4.47,0.78,1.35,95.27,False,False,False,False,False,False,False,False,True
269,13.8,4.01,0.84,2.61,76.88,False,False,False,True,False,False,False,False,False
270,135.65,2.3,0.65,1.54,78.44,False,False,False,False,False,False,True,False,False
271,39.24,0.31,0.65,0.53,41.53,False,False,False,False,True,False,False,False,False
272,34.99,4.85,0.79,0.82,70.69,True,False,False,False,False,False,False,False,False
273,53.97,0.22,0.59,1.23,77.61,False,True,False,False,False,False,False,False,False
274,89.54,3.35,0.29,0.3,73.76,False,False,False,False,False,False,False,False,False
275,144.4,2.61,0.71,1.68,37.78,False,False,False,False,True,False,False,False,False
276,142.98,4.81,0.78,1.25,82.06,False,True,False,False,False,False,False,False,False
277,54.02,3.05,0.68,2.64,47.82,False,False,False,False,False,False,False,False,True
278,93.66,3.47,0.9,2.24,41.63,False,False,False,True,False,False,False,False,False
279,35.72,4.29,0.49,2.68,31.94,True,False,False,False,False,False,False,False,False
280,142.85,3.46,0.78,1.27,43.46,False,False,False,False,False,True,False,False,False
281,53.63,1.65,0.69,1.97,89.22,False,False,True,False,False,False,False,False,False
282,101.22,3.22,0.77,1.18,73.32,False,False,False,True,False,False,False,False,False
283,135.31,1.59,0.64,2.06,46.55,False,False,False,False,True,False,False,False,False
284,89.99,1.37,0.96,0.07,73.44,False,False,True,False,False,False,False,False,False
285,142.53,2.79,0.27,0.65,89.8,False,False,False,False,False,False,False,True,False
286,135.29,1.68,0.62,1.97,71.6,False,True,False,False,False,False,False,False,False
287,55.31,3.93,1.0,2.98,95.27,False,False,False,True,False,False,False,False,False
288,109.95,1.68,0.7,0.81,75.57,False,False,False,False,False,False,False,True,False
289,129.31,3.11,0.72,1.65,70.55,False,False,False,False,False,False,False,True,False
290,141.52,3.76,0.8,0.67,88.11,True,False,False,False,False,False,False,False,False
291,98.43,3.57,0.79,1.2,83.19,False,False,False,False,False,True,False,False,False
292,53.74,1.85,0.7,1.7,42.06,False,False,False,False,False,False,False,False,True
293,27.7,3.9,0.23,0.76,91.53,False,False,False,False,False,False,False,True,False
294,94.76,4.88,0.23,2.85,51.79,False,True,False,False,False,False,False,False,False
295,61.39,2.6,0.24,0.09,92.47,False,False,False,False,False,False,False,False,True
296,140.82,3.11,0.99,0.15,80.76,False,False,False,False,False,False,False,False,False
297,84.69,4.28,0.91,2.89,72.37,False,False,True,False,False,False,False,False,False
298,121.95,2.54,0.27,2.34,67.36,False,True,False,False,False,False,False,False,False
299,65.99,4.93,0.22,2.8,95.16,True,False,False,False,False,False,False,False,False
300,113.51,4.98,0.61,2.86,43.87,False,False,False,False,False,True,False,False,False
301,138.23,4.52,0.63,2.6,54.68,False,False,False,False,False,False,True,False,False
302,98.24,2.43,0.53,0.71,80.61,True,False,False,False,False,False,False,False,False
303,112.84,3.22,0.78,0.2,94.4,False,False,False,False,False,False,False,True,False
304,87.28,4.82,0.42,1.83,57.75,False,False,False,False,False,True,False,False,False
305,52.09,4.11,0.26,0.17,33.46,False,False,False,False,True,False,False,False,False
306,20.32,1.81,0.77,0.61,66.11,False,False,False,False,False,False,True,False,False
307,59.45,1.03,0.38,0.18,79.92,False,False,True,False,False,False,False,False,False
308,11.57,1.71,0.73,0.51,77.57,False,False,False,False,False,False,False,False,False
309,102.26,1.93,0.53,1.47,95.47,False,False,False,False,True,False,False,False,False
310,55.63,1.03,0.98,1.46,70.05,False,False,True,False,False,False,False,False,False
311,114.79,1.79,0.93,2.52,68.64,False,False,False,False,False,False,False,False,False
312,128.98,4.05,0.3,1.63,93.05,False,False,False,False,False,False,False,False,False
313,145.38,3.58,0.72,1.03,96.75,False,False,False,False,False,True,False,False,False
314,123.22,4.51,0.21,1.17,46.49,False,False,False,False,False,False,True,False,False
315,51.98,4.02,0.81,1.9,49.57,True,False,False,False,False,False,False,False,False
316,44.02,2.49,0.3,0.61,55.58,True,False,False,False,False,False,False,False,False
317,132.24,4.52,0.85,1.96,58.4,False,True,False,False,False,False,False,False,False
318,137.94,3.13,0.39,2.32,37.39,False,False,False,False,False,False,False,True,False
319,119.39,4.75,0.39,2.88,56.26,False,False,False,False,False,False,False,False,False
320,83.39,3.3,0.85,2.43,73.38,False,True,False,False,False,False,False,False,False
321,88.55,3.35,0.29,0.12,67.14,False,False,False,False,False,False,False,False,True
322,49.68,1.99,0.51,1.61,37.92,False,False,True,False,False,False,False,False,False
323,139.17,0.27,0.5,1.88,43.79,False,False,True,False,False,False,False,False,False
324,10.5,2.05,0.54,2.5,37.09,False,False,False,False,False,True,False,False,False
325,78.74,3.85,0.71,1.43,76.69,False,False,False,True,False,False,False,False,False
326,26.0,1.9,0.42,1.5,51.68,False,True,False,False,False,False,False,False,False
327,147.25,1.15,0.57,2.69,72.1,True,False,False,False,False,False,False,False,False
328,106.7,3.36,0.94,1.18,43.56,False,False,False,False,False,False,False,False,True
329,26.43,3.85,0.26,3.0,57.27,False,False,False,False,False,False,False,False,True
330,36.4,2.23,0.88,1.81,62.35,False,False,False,False,False,False,True,False,False
331,47.73,2.78,0.71,1.64,70.1,False,False,False,False,False,False,False,False,True
332,17.35,2.82,0.88,1.11,35.27,False,False,False,False,False,False,False,False,True
333,94.28,2.16,0.85,2.83,90.89,False,False,False,False,False,False,False,True,False
334,75.84,3.43,0.21,2.95,42.05,False,False,False,False,False,True,False,False,False
335,55.13,1.28,0.62,1.98,92.39,False,False,False,False,False,False,False,True,False
336,73.05,4.68,0.48,1.88,98.65,False,False,False,False,False,True,False,False,False
337,120.36,0.97,0.64,2.4,52.83,False,False,False,False,False,False,True,False,False
338,86.15,3.6,0.4,2.13,50.67,True,False,False,False,False,False,False,False,False
339,125.75,3.25,0.36,0.82,59.29,False,True,False,False,False,False,False,False,False
340,76.84,2.36,0.87,2.62,87.17,False,False,False,False,False,False,False,False,True
341,16.21,3.49,0.62,1.09,74.69,False,False,False,False,False,True,False,False,False
342,17.28,0.72,0.3,1.98,42.27,False,False,True,False,False,False,False,False,False
