Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
M-0581,Wood,299.91,50.68,0.28,49.82,21.52
M-0037,Paper,312.53,97.3,0.58,,93.87
M-0968,Wood,362.77,5.19,1.0,18.96,92.23
M-1156,,141.12,81.63,0.16,44.54,99.21
M-0129,,62.19,47.41,0.56,40.69,76.88
M-1032,Cotton,455.79,22.43,0.19,28.57,3.08
M-0403,Glass,363.86,40.13,0.71,,96.24
M-0181,Steel,112.71,,0.94,30.76,32.06
M-0860,Bamboo,293.01,63.26,0.38,47.24,21.12
M-0194,Bamboo,423.38,84.2,0.39,47.71,4.7
M-1127,Paper,315.66,77.28,0.6,37.32,65.38
M-0517,Cotton,226.62,55.32,0.65,13.39,19.15
M-0020,Glass,419.57,,0.12,15.94,32.83
M-0998,Paper,166.92,44.14,0.04,40.07,74.16
M-0419,Cotton,52.87,75.17,0.31,3.75,26.24
M-0500,Paper,327.49,65.42,0.97,34.65,81.24
M-1465,Glass,377.0,99.06,0.39,,37.95
M-0649,Cotton,327.72,45.4,0.17,47.66,68.6
M-0011,Glass,118.25,78.52,0.12,,28.05
M-0427,Aluminum,400.93,39.94,0.58,29.41,99.17
M-0794,Paper,165.45,43.34,0.28,8.88,98.92
M-1097,Plastic,104.68,30.74,0.95,14.41,83.22
M-0084,Cotton,129.37,70.23,0.38,,
M-0254,Steel,,95.82,0.15,25.11,76.68
M-0247,Aluminum,462.79,59.84,0.33,29.39,66.7
M-1043,Bamboo,280.5,41.99,0.06,47.63,42.89
M-1250,Paper,176.98,75.06,0.6,39.24,10.45
M-1455,Aluminum,382.96,94.98,0.98,23.51,66.41
M-0477,Aluminum,228.92,11.24,0.36,10.66,85.93
M-0638,Bamboo,108.89,43.89,0.05,45.92,97.59
M-0593,Steel,440.72,,0.82,5.58,69.39
M-0895,Paper,90.11,30.54,0.71,39.37,16.47
M-0385,Steel,357.47,72.74,0.59,10.03,48.64
M-0830,Cotton,296.01,94.75,0.65,18.47,70.55
M-0134,Steel,96.85,,0.22,1.45,46.55
M-0759,Aluminum,323.56,69.03,0.58,31.71,60.67
M-1181,Wood,310.99,60.19,0.42,36.35,82.18
M-0484,Wood,64.01,95.99,0.91,27.33,54.39
M-1450,Paper,221.18,30.22,0.28,15.44,6.59
M-1161,Cotton,187.52,44.06,0.88,3.34,
M-0347,Glass,149.22,,0.01,18.41,83.56
M-1493,Bamboo,312.26,76.92,0.5,28.94,2.44
M-1001,Wood,290.89,55.59,0.34,23.73,15.83
M-0283,Wood,153.5,32.99,0.08,34.89,58.58
M-0667,Wood,,75.48,0.42,49.24,30.48
M-0884,Cotton,407.95,56.7,0.86,4.8,98.36
M-1040,Glass,283.28,24.33,,23.16,58.14
M-1014,Glass,269.71,6.72,0.25,48.76,71.33
M-0989,Plastic,215.49,63.55,0.37,43.47,66.53
M-0461,Plastic,241.78,78.45,0.11,9.27,
M-0566,Plastic,339.61,78.3,0.18,,98.93
M-1210,Steel,403.54,66.62,0.75,18.02,3.86
M-0072,Plastic,52.08,,0.36,14.67,52.03
M-0265,Glass,367.51,64.53,0.64,6.2,50.43
M-0502,Steel,266.69,69.04,0.06,40.13,91.43
M-1228,Cotton,243.35,55.91,0.21,6.74,75.75
M-0123,Plastic,339.8,,0.16,22.16,62.0
M-1024,Plastic,479.9,55.89,0.82,27.92,32.44
M-0856,Steel,283.58,46.27,0.9,9.75,67.03
M-0729,Steel,409.02,71.85,0.59,27.34,87.16
M-0642,Wood,83.07,70.89,0.54,29.73,2.47
M-1287,Plastic,101.34,29.36,0.62,33.8,27.14
M-0792,Cotton,98.09,97.21,0.52,,6.12
M-1105,Wood,,22.85,0.63,46.12,49.57
M-1214,Wood,222.72,61.93,0.75,14.13,46.85
M-0082,Paper,253.6,10.65,0.81,16.51,8.9
M-0040,Glass,476.28,23.63,0.98,36.3,55.05
M-0450,Wood,108.54,78.43,0.62,15.32,94.73
M-1334,,459.15,86.68,0.24,5.24,10.55
M-1320,,198.6,86.91,,21.59,57.07
M-1018,Glass,264.21,58.26,0.1,5.77,37.8
M-0467,Cotton,,66.41,0.04,10.23,56.57
M-0164,,234.24,,0.98,3.53,21.54
M-0008,Steel,290.06,45.89,0.34,27.94,57.23
M-0309,Cotton,265.94,12.3,0.89,14.48,89.96
M-0894,Steel,330.61,,0.13,43.92,26.27
M-1300,Plastic,86.78,58.52,0.52,22.66,
M-1471,Steel,366.66,37.62,0.3,,87.13
M-0867,Steel,497.36,75.18,0.81,33.29,
M-1143,Cotton,410.03,89.37,0.61,37.76,80.16
M-1198,Glass,116.35,72.93,0.74,24.73,72.89
M-0168,Bamboo,476.8,8.7,0.35,16.47,91.08
M-0258,Wood,432.14,46.72,0.41,16.82,0.02
M-0680,Plastic,440.56,42.35,0.8,44.73,66.58
M-0722,Glass,382.3,20.49,0.99,10.84,3.84
M-0260,Glass,270.24,89.84,0.06,23.74,20.82
M-1436,Plastic,472.24,58.75,0.94,1.79,14.93
M-0574,Plastic,148.65,26.1,0.48,36.86,70.29
M-0478,Cotton,173.4,26.68,0.64,5.78,11.0
M-0287,Aluminum,202.94,75.35,0.98,8.13,26.5
M-1147,Bamboo,327.19,83.41,0.15,25.41,70.61
M-1380,Plastic,242.37,64.6,0.85,35.28,23.36
M-1090,Plastic,151.08,67.14,0.27,15.03,86.91
M-0846,,310.27,68.88,0.65,37.36,99.02
M-1468,Wood,176.68,12.5,0.74,22.45,31.34
M-0539,Steel,64.94,95.39,0.35,49.97,94.84
M-1212,Paper,234.46,19.84,0.2,34.62,31.49
M-0368,Plastic,444.86,30.69,0.41,12.92,6.58
M-0262,Wood,494.45,88.93,0.39,46.46,80.59
M-1187,Cotton,171.42,26.74,0.91,28.08,50.98
M-1345,Bamboo,,51.51,0.05,37.7,53.23
M-0746,Plastic,350.7,87.2,,34.54,7.83
M-0785,Plastic,236.1,31.4,0.56,32.32,84.04
M-1461,Steel,389.28,5.98,0.95,,17.4
M-0726,Steel,350.42,7.39,0.48,47.66,49.72
M-0363,Aluminum,150.72,28.45,0.07,41.24,
M-0006,Cotton,407.31,59.32,0.19,24.55,44.96
M-1454,Glass,68.91,85.57,0.72,15.84,37.73
M-1406,Cotton,157.94,24.42,0.3,21.48,18.13
M-0421,Plastic,,66.26,0.18,42.69,48.3
M-0579,Plastic,346.42,45.73,0.09,18.72,18.91
M-1203,Paper,319.2,69.37,,22.09,60.3
M-1109,Wood,428.9,83.07,0.92,47.31,13.64
M-0448,Wood,486.0,34.63,0.28,20.87,76.62
M-0809,Wood,427.94,12.18,0.93,42.49,52.86
M-1202,Plastic,149.28,69.1,0.05,49.85,6.33
M-1328,Steel,,51.49,0.24,14.26,58.52
M-0972,Bamboo,104.62,20.33,0.05,35.65,93.08
M-0263,Steel,474.83,47.59,0.7,,27.97
M-1184,Paper,321.57,47.02,0.44,26.24,33.72
M-1462,Steel,412.21,73.02,0.22,12.37,76.08
M-0135,Bamboo,409.96,35.29,0.89,32.77,94.32
M-0848,Plastic,85.74,14.68,0.23,42.77,1.18
M-1100,Glass,340.61,27.94,,35.78,1.36
M-1118,Steel,124.17,30.6,0.15,9.05,34.58
M-1313,Aluminum,412.88,10.41,0.5,10.01,94.87
M-0286,Glass,363.33,84.24,0.99,6.11,83.61
M-0709,Cotton,147.05,31.04,0.42,38.72,22.52
M-1335,,292.42,43.65,0.19,33.79,68.31
M-0778,Cotton,188.28,65.96,0.91,7.32,54.76
M-1062,Steel,393.97,67.39,0.85,26.69,5.65
M-0588,Glass,356.1,9.27,0.9,21.14,26.85
M-0010,Plastic,404.87,46.29,0.83,44.01,28.68
M-0675,Paper,493.98,40.24,0.32,13.03,46.92
M-0610,Cotton,316.56,21.65,0.18,29.74,87.54
M-1106,Paper,163.51,12.31,0.19,48.45,42.11
M-1239,Aluminum,246.58,8.02,0.73,21.79,79.22
M-0224,Paper,146.72,73.6,0.71,35.38,41.33
M-1003,Aluminum,55.45,62.54,0.68,17.54,12.82
M-0820,Aluminum,253.3,69.22,0.86,12.7,3.77
M-1123,Glass,277.63,30.14,0.2,46.84,94.02
M-0897,Wood,107.47,,0.68,26.1,51.46
M-0939,Wood,322.81,83.71,,7.65,30.62
M-0625,Steel,161.25,79.13,0.51,21.37,12.1
M-0451,Wood,391.22,54.52,0.85,15.45,36.9
M-0253,Paper,442.83,59.49,0.76,12.41,83.12
M-0955,Glass,247.78,,0.42,5.43,4.92
M-0083,Steel,113.39,62.36,0.82,5.26,51.15
M-1047,Glass,372.35,66.59,0.16,18.16,93.69
M-1094,Bamboo,325.82,19.87,0.04,41.4,46.47
M-1095,Plastic,474.38,50.02,0.18,21.47,82.07
M-1190,Cotton,84.68,93.27,0.81,26.95,47.54
M-0967,Steel,76.0,20.7,0.6,8.52,22.33
M-0962,Aluminum,77.61,69.0,0.46,7.04,36.68
M-0589,Paper,82.49,77.3,0.38,30.61,65.42
M-0518,Wood,265.97,27.98,0.06,4.3,38.62
M-0825,Cotton,147.53,,0.76,16.05,0.84
M-0338,Glass,125.17,69.85,0.61,23.98,61.86
M-0641,Wood,156.22,36.56,0.19,36.22,64.99
M-0879,Steel,93.5,95.39,0.65,8.41,90.12
M-1360,Bamboo,492.58,97.14,0.97,16.11,77.04
M-1007,Paper,,70.75,0.01,31.36,26.2
M-0845,Steel,375.95,22.91,0.43,11.04,11.76
M-0211,Bamboo,87.26,99.42,0.57,40.21,53.13
M-0483,Steel,145.9,10.5,0.36,33.14,4.61
M-1116,Bamboo,471.82,65.46,0.64,29.53,97.31
M-0707,Paper,360.29,74.25,0.69,16.14,60.78
M-0334,Glass,445.6,47.69,,35.37,48.42
M-0688,Steel,367.11,60.46,0.78,11.39,22.75
M-0776,,165.55,40.52,0.43,13.87,61.27
M-0979,Cotton,416.29,,0.74,,93.37
M-0291,Aluminum,292.77,67.56,0.87,6.23,78.4
M-0813,Aluminum,401.24,61.91,0.88,25.1,11.34
M-0183,Wood,492.98,98.48,0.62,,42.71
M-0959,Plastic,328.81,46.73,0.82,20.71,53.74
M-0748,Bamboo,258.57,34.43,0.13,38.49,85.03
M-0078,Paper,206.13,5.15,0.48,8.57,21.35
M-1474,Plastic,,,0.35,21.96,89.78
M-0482,Wood,153.48,50.01,0.56,18.35,44.24
M-0264,Aluminum,67.74,53.49,0.19,35.67,19.15
M-0668,Paper,104.95,85.6,0.02,33.65,18.18
M-1156,,141.12,81.63,0.16,44.54,99.21
M-0497,,109.06,59.94,0.25,34.04,66.85
M-1391,,418.58,27.62,0.58,38.06,12.03
M-0714,Paper,,,0.14,38.82,36.83
M-1317,Plastic,140.61,59.56,0.47,35.15,48.11
M-0880,Steel,252.67,84.66,0.51,14.95,
M-0816,Steel,240.68,30.4,0.9,39.9,89.41
M-0693,Steel,352.67,33.17,0.22,1.96,13.42
M-0275,Aluminum,474.92,81.42,0.67,26.91,60.38
M-0165,Plastic,298.42,53.02,0.97,3.42,29.19
M-0763,Steel,479.99,34.14,0.09,48.97,2.26
M-1434,Paper,186.78,,0.94,16.16,
M-0213,Steel,160.41,64.22,0.03,4.33,95.37
M-0245,Bamboo,212.44,53.57,0.49,24.25,92.85
M-0990,Cotton,236.36,57.9,0.62,44.8,7.87
M-0724,Aluminum,231.86,74.77,0.36,42.66,51.27
M-0073,Aluminum,200.07,62.75,0.81,20.84,97.52
M-0720,Paper,,52.14,0.88,41.45,33.41
M-0248,Aluminum,111.57,87.23,0.39,44.56,91.16
M-0398,Wood,346.3,52.54,0.4,37.03,21.91
M-1298,Aluminum,368.53,51.03,0.53,,3.12
M-1458,Paper,436.25,31.36,0.43,27.71,5.85
M-0540,Plastic,85.36,99.51,0.8,11.36,84.25
M-1045,Wood,68.75,96.97,0.3,43.54,72.71
M-0333,Paper,237.91,52.79,0.63,41.49,43.28
M-0278,Wood,430.05,95.96,0.16,4.99,98.43
M-0343,Glass,323.48,57.49,0.48,4.24,68.93
M-0782,Glass,324.65,44.74,0.2,18.45,11.93
M-0445,Paper,70.58,96.53,0.62,37.99,81.27
M-0325,Wood,494.48,,0.68,32.72,50.37
M-0413,Wood,200.8,25.5,0.55,40.83,62.92
M-0464,Aluminum,407.66,40.32,0.23,47.34,50.91
M-1330,Steel,397.41,51.79,0.43,28.88,48.61
M-0877,Plastic,140.42,68.92,0.33,25.98,88.97
M-0591,Aluminum,165.96,42.28,0.44,21.45,94.4
M-0397,Cotton,408.84,,0.1,2.3,75.38
M-0236,Paper,272.97,98.19,0.93,49.38,
M-0269,Bamboo,461.97,70.33,0.3,6.58,35.64
M-1302,Paper,268.11,18.03,0.81,26.57,
M-0400,Aluminum,440.28,48.48,0.78,29.46,61.78
M-0373,Plastic,437.96,46.21,0.7,41.2,
M-1362,Wood,140.91,18.59,0.87,38.44,30.52
M-1360,Bamboo,492.58,97.14,0.97,16.11,77.04
M-1489,Aluminum,85.54,76.62,0.04,12.67,62.91
M-1035,Aluminum,346.71,49.3,0.42,11.17,94.48
M-0952,Paper,244.62,52.8,0.07,20.72,75.08
M-0750,Plastic,438.5,87.78,0.42,8.32,66.88
M-0139,Bamboo,94.75,,0.63,28.99,14.94
M-0521,Cotton,362.74,12.24,0.65,32.03,32.07
M-0773,Aluminum,208.23,70.12,0.89,42.95,56.03
M-0898,Paper,421.73,68.31,0.25,24.88,20.02
M-1371,Bamboo,411.62,68.91,0.32,6.55,
M-0456,Glass,396.68,81.68,0.48,14.02,18.36
M-0997,Aluminum,58.64,52.51,0.19,9.17,17.13
M-1311,Glass,78.02,34.11,0.93,12.77,
M-0189,Bamboo,102.99,56.43,0.17,2.49,49.79
M-0900,Glass,368.94,48.16,0.17,47.36,59.18
M-0021,Wood,99.78,14.9,0.55,10.44,11.28
M-0993,Plastic,396.19,,0.04,,73.6
M-0789,Cotton,131.65,11.41,0.08,7.21,40.47
M-0177,Glass,170.9,16.03,0.6,49.18,40.3
M-1102,Plastic,417.18,45.36,0.38,26.39,69.8
M-0585,Wood,488.66,42.79,0.38,40.02,35.23
M-0514,Wood,254.85,47.53,0.39,9.56,
M-0200,Glass,318.84,37.53,0.23,7.16,2.01
M-0470,Paper,172.97,7.24,0.25,8.05,91.23
M-1229,Wood,442.73,,0.0,26.88,73.17
M-0053,Glass,309.33,53.7,0.82,38.33,21.94
M-1275,Bamboo,238.46,20.91,0.93,4.27,23.01
M-0301,,443.62,38.14,0.93,13.74,87.83
M-1222,Plastic,424.26,79.01,0.9,41.37,63.7
M-0148,,453.35,7.42,0.83,23.44,
M-0212,Bamboo,321.42,88.63,0.39,12.84,39.97
M-0605,Bamboo,269.0,14.67,0.54,20.93,16.84
M-0022,Steel,430.9,41.53,0.9,7.32,87.0
M-0486,Wood,215.84,79.59,0.32,34.45,47.34
M-1483,Wood,456.3,47.44,0.7,46.74,79.69
M-0944,Steel,115.87,36.04,0.52,46.94,59.3
M-1484,Aluminum,433.52,52.64,0.41,17.89,59.04
M-1041,Steel,117.58,11.36,0.11,8.0,54.89
M-1016,Wood,196.1,11.56,0.99,25.54,62.47
M-0282,Paper,318.32,83.7,,7.54,28.43
M-0087,Wood,461.68,48.34,0.93,17.41,36.66
M-1263,Bamboo,457.9,,0.54,42.43,63.67
M-0664,Wood,75.69,96.85,0.64,21.53,82.51
M-0801,Aluminum,478.13,24.51,0.93,,94.57
M-1127,Paper,315.66,77.28,0.6,37.32,65.38
M-0140,Aluminum,159.43,70.4,,43.31,51.0
M-1492,Bamboo,,82.65,0.42,6.55,67.73
M-0505,Bamboo,358.5,92.16,0.16,45.6,32.07
M-0097,Plastic,88.41,69.47,0.97,1.7,41.63
M-0367,,91.17,39.22,0.92,43.98,80.44
M-0560,Wood,416.67,73.24,0.78,21.39,3.12
M-0631,Aluminum,123.59,36.5,0.06,11.01,43.1
M-0128,Aluminum,346.52,79.95,0.88,17.76,19.11
M-0915,Paper,496.47,10.34,0.83,13.48,35.75
M-1199,Glass,197.69,61.35,0.81,4.12,93.19
M-1479,Wood,,20.47,0.15,48.12,58.93
M-1369,Aluminum,87.56,80.61,0.76,25.58,17.17
M-1139,Paper,376.91,8.7,0.03,14.71,
M-1195,Plastic,404.88,98.21,0.79,30.17,38.14
M-0716,Cotton,71.7,71.61,0.4,44.98,38.35
M-0340,Paper,154.25,72.83,0.04,32.41,8.58
M-0056,Paper,381.4,42.72,0.97,27.24,79.97
M-0049,,363.49,15.26,0.17,21.99,9.8
M-0319,Bamboo,209.58,81.33,0.67,,15.48
M-1121,,418.0,25.78,0.38,33.54,83.92
M-0516,Glass,82.6,96.0,0.44,37.13,7.92
M-0565,Paper,253.54,58.68,0.97,4.43,6.64
M-0344,Plastic,280.71,54.42,0.93,48.66,12.71
M-0064,Aluminum,464.38,71.71,,48.14,79.55
M-1421,Aluminum,358.85,27.56,0.43,17.94,81.6
M-1268,Paper,454.93,,0.32,36.63,61.77
M-0717,Glass,489.73,74.07,0.13,45.48,83.66
M-0722,Glass,382.3,20.49,0.99,10.84,3.84
M-0499,Aluminum,464.38,82.06,0.58,49.29,16.29
M-0687,Wood,188.57,79.16,0.35,34.55,21.07
M-1213,Plastic,427.91,65.41,0.29,47.49,12.9
M-0784,Paper,172.68,14.63,0.31,12.45,50.02
M-0783,Cotton,372.27,76.34,,39.66,22.46
M-0958,Aluminum,147.22,76.09,0.2,17.52,76.2
M-0989,Plastic,215.49,63.55,0.37,43.47,66.53
M-0241,Plastic,409.74,32.15,0.08,8.66,
M-0614,Plastic,334.2,60.25,0.52,21.71,84.96
M-1115,,493.1,94.21,0.31,23.32,31.64
M-0158,Plastic,203.82,25.7,0.31,22.73,80.19
M-0032,Aluminum,294.23,39.38,0.33,24.78,48.19
M-0016,Steel,306.45,64.97,0.3,26.12,90.58
M-0404,Aluminum,,9.97,0.36,18.27,89.02
M-0954,Paper,277.76,86.59,0.6,32.86,35.53
M-0335,Wood,475.13,60.66,0.22,23.51,64.81
M-1042,Plastic,381.85,88.35,0.95,20.08,21.93
M-0934,,420.12,28.75,0.3,48.54,48.24
M-0653,Bamboo,66.5,5.0,0.25,7.34,57.24
M-0195,,142.89,46.84,0.1,4.56,56.63
M-1221,Aluminum,60.89,6.82,0.48,33.24,98.27
M-0814,Paper,173.66,64.25,0.05,29.07,72.06
M-0047,Cotton,469.45,25.81,0.53,23.92,96.16
M-0458,Cotton,250.66,30.23,0.54,6.07,40.66
M-0311,Cotton,443.15,80.48,0.29,17.71,94.33
M-0099,Wood,275.99,61.4,0.71,23.05,59.9
M-1133,Wood,336.33,7.96,0.8,2.36,54.96
M-1009,Paper,99.38,42.23,0.46,41.98,89.18
M-1321,Cotton,390.54,34.82,0.55,28.54,43.56
M-1107,Steel,389.77,71.13,0.15,27.49,41.05
M-0681,Cotton,,61.11,0.68,4.85,28.62
M-0346,Bamboo,129.44,78.66,0.47,24.42,59.25
M-1248,Wood,81.03,89.18,0.33,2.27,45.53
M-1344,Aluminum,285.5,60.03,0.12,42.87,97.61
M-0573,Aluminum,442.3,65.26,0.67,35.72,48.24
M-0418,Plastic,278.36,66.91,0.09,41.89,45.83
M-0336,Cotton,260.33,64.35,0.06,,1.84
M-0549,Plastic,336.39,98.21,0.43,48.25,36.41
M-1257,Wood,252.38,97.47,0.78,38.8,75.65
M-0172,Steel,269.34,7.22,0.4,16.16,4.85
M-0725,Aluminum,197.16,41.51,0.67,15.17,39.83
M-0216,Steel,210.05,24.12,0.79,25.79,12.65
M-0533,Aluminum,301.84,98.21,0.21,30.21,14.05
M-1338,Wood,345.55,77.43,0.06,3.41,72.97
M-1418,Bamboo,106.82,20.26,,37.48,68.55
M-1216,Aluminum,314.5,71.99,0.22,3.71,3.1
M-0353,Aluminum,447.7,76.12,0.55,7.14,95.9
M-0172,Steel,269.34,7.22,0.4,16.16,4.85
M-1138,Plastic,161.01,57.95,,37.39,39.41
M-1044,Aluminum,356.1,56.47,,16.67,65.23
M-0636,,196.34,94.37,,24.81,32.54
M-0453,Wood,59.96,16.93,0.13,28.67,51.84
M-0305,Plastic,499.07,11.87,0.78,41.91,49.04
M-0923,Aluminum,440.63,20.15,0.73,3.67,88.28
M-0890,Aluminum,467.15,11.5,,40.29,2.39
M-1396,Wood,419.74,19.68,,21.12,2.22
M-0472,Cotton,117.98,79.4,0.61,21.72,24.47
M-0436,Cotton,471.75,6.84,0.63,38.19,92.22
M-1475,Cotton,55.58,40.39,0.4,30.21,34.99
M-0926,,187.11,22.64,0.89,26.82,57.79
M-1440,Glass,349.24,6.82,0.28,4.56,36.48
M-0504,Cotton,106.33,37.79,0.51,39.25,90.4
M-0411,Glass,421.62,49.87,0.51,10.02,72.99
M-0136,Steel,130.35,60.31,0.93,26.04,93.17
M-0259,Cotton,,85.46,0.68,13.65,24.12
M-0353,Aluminum,447.7,76.12,0.55,7.14,95.9
M-0510,Plastic,,10.91,0.4,16.21,44.45
M-0950,Steel,297.29,42.31,0.98,4.55,27.73
M-0526,Bamboo,97.22,46.12,0.58,19.39,87.5
M-0494,Wood,430.15,18.38,0.45,49.59,53.19
M-1058,Bamboo,133.34,11.53,0.96,19.0,85.46
M-0861,Paper,446.04,65.58,0.34,48.85,31.32
M-0356,Bamboo,128.25,53.56,0.66,30.29,6.7
M-1072,Plastic,104.62,11.31,0.29,25.97,38.11
M-0818,Glass,92.99,96.68,0.22,17.37,5.52
M-0541,Bamboo,228.62,72.61,,,72.24
M-0209,Wood,124.83,51.45,0.05,,70.26
M-0874,Aluminum,480.93,48.6,0.69,49.97,69.06
M-0835,Aluminum,494.5,71.61,0.69,12.93,53.46
M-0402,Paper,426.66,40.03,0.0,34.09,10.4
M-0903,Wood,168.4,72.02,0.48,3.47,7.32
M-1288,Wood,118.06,38.76,0.97,,85.51
M-0039,,257.9,50.79,0.12,5.74,85.06
M-0256,Glass,346.45,15.38,0.27,9.91,37.68
M-0960,Bamboo,342.59,63.0,0.65,3.51,84.08
M-0157,Bamboo,417.85,39.64,0.51,48.36,23.1
M-0030,Paper,338.52,11.74,0.9,17.81,5.47
M-0192,Glass,,56.46,0.9,11.66,
M-0803,Aluminum,418.63,30.51,0.15,,66.2
M-0074,Plastic,229.18,34.39,0.33,49.94,96.58
M-1323,Steel,142.2,84.81,0.49,4.85,73.27
M-0658,Glass,,26.48,0.14,39.12,97.07
M-1052,Aluminum,381.88,99.73,0.07,22.69,12.31
M-1049,Steel,82.07,40.67,0.12,36.5,23.36
M-0627,Steel,250.39,52.27,0.38,43.48,52.73
M-0316,Cotton,381.91,33.05,0.1,2.21,60.1
M-0601,Steel,440.16,67.38,0.78,8.96,32.93
M-1068,Bamboo,396.15,5.5,0.82,29.28,94.05
M-0889,Paper,496.62,54.54,0.75,32.23,5.63
M-0506,Aluminum,243.64,32.6,0.66,19.76,55.23
M-0895,Paper,90.11,30.54,0.71,39.37,16.47
M-0669,Steel,253.49,45.15,0.34,14.98,8.59
M-1202,Plastic,149.28,69.1,0.05,49.85,6.33
M-0901,Steel,66.27,64.87,0.05,29.41,7.22
M-0252,Aluminum,293.86,77.63,0.81,3.51,18.68
M-0146,Bamboo,142.24,37.86,0.82,19.23,89.62
M-0756,Wood,229.47,84.12,0.29,48.15,94.64
M-1023,Plastic,451.44,73.73,0.23,4.22,24.89
M-0793,Steel,305.29,15.76,0.21,21.95,59.09
M-0145,Cotton,350.64,89.56,0.73,36.18,49.17
M-0956,Glass,97.55,84.6,0.42,47.44,3.11
M-0562,Glass,452.67,65.86,0.94,49.32,52.66
M-1429,Wood,362.37,81.14,0.54,28.21,4.03
M-0121,Cotton,217.99,66.97,0.4,19.84,50.31
M-0615,Wood,379.9,46.48,0.23,36.19,48.01
M-1472,Plastic,293.31,84.28,0.47,4.7,19.26
M-0929,Wood,128.09,,0.68,10.69,7.36
M-1170,Glass,235.68,6.37,0.34,25.75,41.1
M-1053,Glass,208.96,58.11,0.91,24.78,98.63
M-1372,Glass,277.34,25.95,0.92,20.91,62.89
M-0126,Cotton,120.27,31.16,0.42,39.91,43.47
M-0251,Wood,133.31,83.61,,26.42,3.88
M-1355,Plastic,406.97,25.78,0.32,26.64,80.12
M-0644,Aluminum,283.9,67.19,0.05,10.42,53.66
M-0284,Bamboo,104.26,,0.99,,58.68
M-0815,Paper,420.18,66.61,0.23,12.68,50.03
M-1084,Paper,386.63,23.52,0.16,25.93,87.66
M-0891,Bamboo,292.98,40.26,,23.85,45.0
M-0893,,284.43,60.52,0.86,6.31,43.83
M-1419,Steel,354.28,7.37,0.2,8.45,43.62
M-0059,Glass,252.88,15.81,0.05,44.48,33.37
M-0753,Plastic,61.54,28.79,0.29,43.75,12.51
M-0511,Aluminum,171.05,18.99,0.12,38.34,25.63
M-0117,Aluminum,119.86,16.69,0.41,30.96,39.28
M-0978,Cotton,498.51,38.66,0.84,49.31,42.46
M-0178,Glass,293.74,95.81,0.66,12.84,64.92
M-0623,Bamboo,434.47,89.79,0.05,31.77,9.95
M-0412,Cotton,107.99,88.61,0.09,6.18,41.09
M-0466,Bamboo,149.35,33.48,0.82,15.78,61.17
M-0876,Glass,360.5,,0.68,39.55,65.06
M-1489,Aluminum,85.54,76.62,0.04,12.67,62.91
M-0858,Glass,410.16,5.86,,,62.48
M-0961,Aluminum,118.41,20.23,0.42,25.33,3.34
M-0273,Cotton,465.98,33.44,0.67,32.67,95.96
M-0197,Plastic,111.6,29.64,0.66,18.04,13.65
M-0238,Wood,245.67,,0.45,33.45,47.07
M-0440,Glass,368.68,43.41,0.7,32.65,60.51
M-1264,Bamboo,112.66,82.61,0.64,40.16,22.12
M-0965,Bamboo,,26.81,0.51,,7.24
