Product_ID,Product_Name,Category,Avg_Weight_g,Fragility_Score,Dimension_L_cm,Dimension_W_cm,Dimension_H_cm
179,Product_179,Cosmetics,1408.26,0.81,27.15,37.4,15.9
175,Product_175,Apparel,985.5,0.07,43.81,40.88,2.87
28,Product_028,Apparel,795.64,0.39,44.95,38.64,11.71
112,Product_112,Electronics,283.77,0.08,23.82,31.8,9.51
78,Product_078,Furniture,157.36,0.65,29.92,22.9,20.45
92,Product_092,Books,1084.2,0.04,32.91,24.14,25.96
142,Product_142,Electronics,415.08,0.47,32.28,18.56,17.52
101,Product_101,Apparel,95.57,0.05,36.42,28.97,7.82
122,Product_122,Toys,1349.33,0.71,22.14,13.16,15.65
176,Product_176,Cosmetics,302.83,0.32,47.73,11.75,9.34
156,Product_156,Books,400.98,0.64,23.16,40.73,12.73
190,Product_190,Toys,400.69,0.81,11.84,47.63,24.93
129,Product_129,Toys,60.08,0.42,7.54,14.07,19.74
139,Product_139,Books,577.26,0.47,25.27,24.76,5.3
147,Product_147,Toys,933.87,0.64,10.11,22.28,5.83
38,Product_038,Books,191.62,0.02,41.98,15.91,12.15
67,Product_067,Books,254.34,0.7,17.86,16.07,6.35
182,Product_182,Furniture,214.54,0.7,49.1,29.42,23.59
90,Product_090,Furniture,734.71,0.59,45.06,13.42,8.81
24,Product_024,Apparel,581.22,0.37,27.25,26.8,13.15
162,Product_162,Toys,966.84,0.64,14.58,19.03,18.89
91,Product_091,Furniture,223.41,0.03,25.5,19.57,22.22
50,Product_050,Food,318.04,0.85,8.76,27.43,18.67
35,Product_035,Food,1450.17,0.2,8.78,9.82,15.95
100,Product_100,Books,206.44,0.09,49.38,26.65,4.39
196,Product_196,Apparel,556.35,0.93,26.33,44.25,4.56
9,Product_009,Electronics,921.62,0.01,45.74,27.65,14.62
106,Product_106,Cosmetics,411.47,0.98,12.32,49.55,26.99
183,Product_183,Furniture,1390.81,0.63,27.17,16.33,4.98
193,Product_193,Books,1355.61,0.37,13.18,27.76,9.62
75,Product_075,Toys,1074.94,0.51,28.75,23.47,2.71
128,Product_128,Glassware,1298.06,0.61,17.3,40.79,17.17
6,Product_006,Food,276.19,0.01,45.3,25.74,22.62
124,Product_124,Cosmetics,209.58,0.28,42.9,38.35,24.4
41,Product_041,Books,226.96,0.94,8.82,5.9,2.37
57,Product_057,Food,178.31,0.94,5.51,17.77,3.02
74,Product_074,Glassware,1232.42,0.91,45.1,28.6,13.44
54,Product_054,Food,1347.5,0.32,45.79,38.54,27.15
95,Product_095,Books,1167.9,0.13,25.87,10.17,20.71
20,Product_020,Books,472.28,0.85,38.86,38.67,11.39
168,Product_168,Food,320.45,0.91,24.69,44.45,10.32
102,Product_102,Glassware,972.8,0.53,29.12,7.33,2.74
194,Product_194,Food,968.0,0.78,20.56,32.52,18.53
52,Product_052,Furniture,1173.94,0.39,30.13,29.17,23.0
71,Product_071,Cosmetics,1169.75,0.81,5.55,12.8,12.45
119,Product_119,Furniture,1344.21,0.16,49.43,10.59,23.38
77,Product_077,Electronics,1168.34,0.8,8.32,10.04,22.05
165,Product_165,Furniture,180.92,0.94,20.78,6.51,10.08
11,Product_011,Electronics,79.85,0.55,19.37,6.77,29.58
105,Product_105,Books,1365.97,0.73,35.81,7.85,13.8
136,Product_136,Toys,518.64,0.04,47.51,44.47,9.62
63,Product_063,Glassware,1251.67,0.14,38.57,32.26,16.68
56,Product_056,Electronics,1386.72,0.56,27.17,10.74,7.34
170,Product_170,Apparel,906.79,0.07,20.67,41.96,15.33
70,Product_070,Food,1480.99,0.29,48.35,17.83,28.49
43,Product_043,Cosmetics,99.86,0.91,21.84,14.52,6.99
61,Product_061,Apparel,613.58,0.62,10.29,21.02,23.71
169,Product_169,Furniture,109.12,0.2,45.69,20.39,17.86
167,Product_167,Electronics,515.13,0.96,22.65,39.31,22.13
189,Product_189,Books,817.99,0.75,10.76,25.79,8.9
192,Product_192,Glassware,1350.96,0.41,33.84,31.38,21.45
88,Product_088,Glassware,974.46,0.54,17.64,17.6,8.67
125,Product_125,Glassware,380.51,0.95,42.72,30.85,13.91
178,Product_178,Toys,610.77,0.02,46.7,37.5,3.44
73,Product_073,Food,58.01,0.87,6.94,8.61,20.03
173,Product_173,Books,792.53,0.09,22.84,10.74,22.51
110,Product_110,Apparel,161.62,0.27,37.66,35.67,12.63
53,Product_053,Furniture,1412.27,0.85,24.09,31.41,7.88
127,Product_127,Food,1236.12,0.55,23.67,11.29,9.52
48,Product_048,Cosmetics,804.1,0.97,38.9,35.56,29.91
191,Product_191,Cosmetics,185.0,0.99,11.25,11.9,24.38
186,Product_186,Glassware,1006.98,0.8,15.81,45.88,15.87
134,Product_134,Glassware,539.54,0.12,29.99,28.54,16.72
140,Product_140,Cosmetics,1459.08,0.1,10.81,21.96,18.14
68,Product_068,Books,1213.19,0.7,44.09,12.23,7.09
114,Product_114,Electronics,1221.77,0.96,43.97,23.53,13.46
30,Product_030,Cosmetics,117.35,0.63,10.27,16.36,14.66
150,Product_150,Furniture,454.04,0.63,39.75,33.09,18.73
161,Product_161,Apparel,583.29,0.39,36.68,11.83,4.32
157,Product_157,Electronics,1024.6,0.03,11.03,32.9,16.53
3,Product_003,Toys,1111.39,0.16,27.74,12.97,18.14
49,Product_049,Food,842.73,0.96,21.93,40.51,16.06
94,Product_094,Glassware,863.85,0.36,13.47,15.91,13.12
65,Product_065,Furniture,457.36,0.88,48.3,9.58,13.22
5,Product_005,Furniture,276.23,0.61,19.4,10.43,13.88
84,Product_084,Toys,142.16,0.09,33.24,35.09,4.92
163,Product_163,Furniture,968.62,0.46,11.14,16.18,8.87
181,Product_181,Books,544.55,0.12,25.66,36.23,11.36
121,Product_121,Food,1220.79,0.55,31.74,47.23,26.32
164,Product_164,Electronics,826.87,0.55,5.65,38.48,12.9
198,Product_198,Apparel,1350.81,0.43,12.75,30.43,5.83
29,Product_029,Toys,909.0,0.89,20.79,6.65,22.65
46,Product_046,Glassware,1010.66,0.93,47.63,45.07,13.61
160,Product_160,Apparel,1105.91,0.58,32.91,40.49,22.66
123,Product_123,Food,511.11,0.66,48.65,7.99,27.05
96,Product_096,Electronics,766.0,0.52,20.9,32.48,7.74
18,Product_018,Cosmetics,810.9,0.75,19.79,17.46,13.17
13,Product_013,Electronics,1257.04,0.65,47.78,33.26,5.49
34,Product_034,Glassware,1425.88,0.49,9.55,28.95,6.94
55,Product_055,Books,916.95,0.17,10.0,24.42,7.74
126,Product_126,Furniture,669.31,0.74,26.09,42.88,2.63
153,Product_153,Books,260.1,0.66,29.84,33.25,6.91
180,Product_180,Food,249.41,0.28,16.62,33.85,18.71
141,Product_141,Cosmetics,1445.55,0.49,47.93,25.82,9.67
93,Product_093,Glassware,1153.14,0.82,17.48,27.84,25.25
4,Product_004,Food,918.05,0.9,42.19,8.99,18.99
120,Product_120,Toys,832.05,0.25,11.77,37.89,5.92
15,Product_015,Apparel,313.65,0.71,33.43,44.31,26.36
39,Product_039,Electronics,1042.14,0.65,36.78,17.12,18.26
158,Product_158,Food,1154.35,0.59,6.3,29.01,3.32
37,Product_037,Toys,491.69,0.28,8.27,28.97,27.62
131,Product_131,Apparel,655.25,0.36,41.58,12.39,5.9
98,Product_098,Electronics,669.93,0.22,8.5,31.16,27.1
45,Product_045,Electronics,425.23,0.02,41.58,10.39,6.16
108,Product_108,Glassware,1145.55,0.32,42.01,41.44,11.57
152,Product_152,Toys,397.36,0.86,43.35,47.29,20.62
159,Product_159,Apparel,394.57,0.94,38.98,45.23,6.66
174,Product_174,Furniture,378.42,0.68,32.99,22.88,8.02
17,Product_017,Toys,491.15,0.33,18.19,7.75,18.56
103,Product_103,Toys,505.82,0.54,18.93,20.15,7.08
146,Product_146,Books,103.49,0.62,21.12,45.48,2.31
116,Product_116,Cosmetics,1313.62,0.7,6.19,46.83,14.21
82,Product_082,Apparel,953.78,0.34,36.31,16.61,20.81
187,Product_187,Furniture,1234.97,0.28,8.41,31.25,21.28
72,Product_072,Books,338.14,0.81,48.64,45.35,9.58
115,Product_115,Food,968.44,0.84,7.03,20.7,17.46
137,Product_137,Food,802.25,0.86,43.23,22.66,2.51
7,Product_007,Toys,134.22,0.1,22.51,14.29,28.16
117,Product_117,Toys,1215.32,0.41,21.94,42.38,10.25
79,Product_079,Apparel,569.78,0.7,48.62,48.63,2.76
14,Product_014,Glassware,357.89,0.22,30.8,8.68,27.78
135,Product_135,Furniture,1417.22,0.05,39.6,21.15,6.81
86,Product_086,Food,521.52,0.04,45.55,30.05,7.0
184,Product_184,Furniture,1322.14,0.88,19.79,20.56,4.1
151,Product_151,Food,1366.99,0.5,28.41,10.26,18.81
145,Product_145,Glassware,463.02,0.4,32.82,15.45,7.78
16,Product_016,Furniture,315.94,0.24,25.18,46.44,16.53
10,Product_010,Glassware,1076.71,0.16,9.11,36.07,5.17
32,Product_032,Cosmetics,297.26,0.5,39.27,45.28,14.67
200,Product_200,Books,1180.82,0.75,6.84,46.51,14.49
26,Product_026,Cosmetics,1188.51,0.24,29.73,21.6,27.76
109,Product_109,Apparel,381.76,0.8,47.74,16.46,9.26
154,Product_154,Books,759.71,0.16,30.24,20.07,27.6
59,Product_059,Electronics,115.58,0.57,7.53,34.07,17.82
143,Product_143,Food,771.01,0.17,15.29,38.64,20.24
199,Product_199,Glassware,1336.28,0.75,13.65,36.35,28.61
89,Product_089,Books,1336.46,0.29,47.77,39.63,4.78
25,Product_025,Cosmetics,711.3,0.27,7.59,32.82,17.05
118,Product_118,Glassware,320.53,0.17,41.47,48.43,28.56
81,Product_081,Toys,1301.5,0.89,33.32,41.77,8.47
149,Product_149,Electronics,124.64,0.37,28.41,45.79,26.47
8,Product_008,Cosmetics,1305.96,0.66,5.49,21.39,27.92
83,Product_083,Toys,529.8,0.38,25.45,12.69,2.55
80,Product_080,Glassware,218.01,0.8,28.54,43.95,8.22
62,Product_062,Apparel,443.46,0.99,34.21,49.39,14.69
12,Product_012,Cosmetics,1456.37,0.69,47.75,40.97,25.49
47,Product_047,Toys,501.98,0.43,49.37,31.71,4.39
