Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Material_Type_Aluminum,Material_Type_Bamboo,Material_Type_Cotton,Material_Type_Glass,Material_Type_Paper,Material_Type_Plastic,Material_Type_Steel,Material_Type_Wood,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
M-1282,Bamboo,0.5642552811795934,0.7986520640269588,0.53,0.490159901599016,0.6426426426426427,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17516224711796666,0.7065086288337922,0.5774949052646302
M-0222,Glass,0.9371612126079101,0.9644060657118787,0.54,0.31037310373103727,0.6021021021021021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12349680553862594,0.9717485965494694,0.7174951156737948
M-0486,Wood,0.36670458854759197,0.7854886267902276,0.32,0.6818368183681838,0.47367367367367375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3588686677657567,0.4668484166316354,0.38478393752113893
M-0002,Paper,0.940172656093154,0.9099620893007582,0.91,0.9671996719967199,0.5582582582582583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42725246771987235,1.0331986727237583,0.8165465399147391
M-0705,Steel,0.027259140288652423,0.921335299073294,0.87,0.04120541205412054,0.871971971971972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005275447649371389,0.029586525914663767,0.5334952477070525
M-0359,Aluminum,0.6954426821923307,0.7072451558550968,0.89,0.44710947109471094,0.8821821821821823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05267746221005751,0.9833106570250706,0.8098317275315869
M-1342,Cotton,0.9649111066497134,0.17554759898904804,0.05,0.2990979909799098,0.44354354354354353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1664350081939258,5.49654689474287,0.5340275057229484
M-0387,Glass,0.8512123848401705,0.9664069081718618,0.73,0.5865108651086511,0.8675675675675676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07767306051438892,0.8808003097267645,0.8197552242063385
M-0190,Wood,0.5053871377902697,0.15417017691659646,0.42,0.8437884378843789,0.31011011011011014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5821211125024163,3.278090936956874,0.4211878881491409
M-1028,Glass,0.43603470967454094,0.485256950294861,0.31,0.36223862238622384,0.8039039039039039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07103357970516642,0.8985627322738141,0.5085850550409875
M-0424,Glass,0.2575564924490843,0.19934709351305813,0.53,0.3116031160311603,0.7502502502502503,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07782280025002451,1.291993757804427,0.4870976720547088
M-0704,Cotton,0.569542037520355,0.46187868576242624,0.8,0.6152111521115211,0.4773773773773774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3215232657832084,1.2330960964005382,0.6110300282213552
M-0471,Steel,0.9512592295166076,0.898904802021904,0.31,0.10127101271012709,0.9468468468468468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005382873648556306,1.0582412833212838,0.7575577458606971
M-0831,Steel,0.22960583550826474,0.7368365627632688,0.93,0.44546945469454696,0.6722722722722724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14599269215915378,0.31160984063733527,0.5725240158849876
M-1193,Steel,0.7846483303218897,0.2117733782645324,0.85,0.7222222222222222,0.4773773773773774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3774496718941163,3.7051145504569343,0.7120725453419692
M-1443,Paper,0.6700573289611634,0.7755897219882056,0.77,0.6760967609676097,0.33513513513513515,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44951298161630265,0.8639315942865972,0.5995634721250059
M-1366,Wood,0.1494568248232171,0.08708930075821399,0.63,0.7279622796227962,0.2805805805805806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5237102005654691,1.716113315972456,0.332956904103461
M-0994,Paper,0.007829753061634206,0.6967144060657119,0.99,0.7398523985239852,0.30130130130130134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5169339080778195,0.011238093766073159,0.39052229161504404
M-1453,Cotton,0.4209328782707622,0.31771272114574556,0.64,0.3767937679376794,0.9376376376376376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023497749492009435,1.3248810178949328,0.6416644425995961
M-1219,Steel,0.33255258872604787,0.8377211457455771,0.96,0.93439934399344,0.4773773773773774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48833823573470975,0.396972421482393,0.5642342487036324
M-0971,Cotton,0.13955252180508154,0.5151642796967144,0.35,0.7980729807298073,0.5544544544544544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3555778615844217,0.27088883374911876,0.3271573450583689
M-0067,Paper,0.5902875370853689,0.2748525695029486,0.36,0.27613776137761376,0.2356356356356356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21106986445239828,2.1476437004360474,0.4148057055248382
M-1363,Aluminum,0.18169042360971693,0.37468407750631844,0.6,0.24497744977449776,0.9744744744744746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006253178147397071,0.4849150246893754,0.5450185117862292
M-0289,Aluminum,0.06237034062771865,0.7537910699241787,0.66,0.526650266502665,0.5380380380380381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24329239038136125,0.08274210238639453,0.3843595476624989
M-0862,Aluminum,0.6501148809922148,0.24210193765796123,0.06,0.3741287412874129,0.17877877877877876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30724246181400755,2.685282910159007,0.33167958603051956
M-0581,Wood,0.5542394432175601,0.481044650379107,0.28,0.9969249692496924,0.2152152152152152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7823715474391981,1.1521556068135528,0.3702603418515886
M-0037,Paper,0.5823908630573958,0.9719882055602358,0.58,0.490159901599016,0.9394394394394395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02968435840514557,0.5991742086494849,0.6887881770547901
M-0968,Wood,0.6944611746860291,0.0020008424599831515,1.0,0.36428864288642887,0.9230230230230231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0280418384764428,346.91100252308263,0.8546913767813186
M-1156,Aluminum,0.2000267683865355,0.8069713563605728,0.16,0.8886838868388683,0.9928928928928928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006315971568124135,0.24787313569036207,0.42587857522248207
M-0129,Aluminum,0.023957705949273905,0.446609098567818,0.56,0.8097580975809757,0.7693693693693694,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18675502070336014,0.05364344878474779,0.4083938931905204
M-1032,Cotton,0.9019607843137254,0.18355096882898064,0.19,0.5612956129561295,0.03063063063063063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5441027743610769,4.9139259582342145,0.4269735029146794
M-0403,Glass,0.6968926364630038,0.3699452401010952,0.71,0.490159901599016,0.9631631631631631,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01805594031916299,1.8837673178474905,0.7807060035341504
M-0181,Steel,0.1366526132637355,0.49189132266217356,0.94,0.6061910619106191,0.3207207207207208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4117730276401863,0.2778100144441309,0.4328772615217104
M-0860,Bamboo,0.5388476209596467,0.6135214827295704,0.38,0.9440344403444034,0.21121121121121122,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7446437827741641,0.8782850443594272,0.392902411747222
M-0194,Bamboo,0.8296638336790916,0.8340353833192924,0.39,0.9536695366953669,0.04684684684684685,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9089931259672958,0.9947573634344355,0.46291958752569073
M-1127,Paper,0.589372950545406,0.7611625947767482,0.6,0.7406724067240672,0.6542542542542542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25608433361610894,0.7743052276669524,0.6120254564944386
M-0517,Cotton,0.3907515224519842,0.5299073294018535,0.65,0.25010250102501025,0.19149149149149147,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20221000007797876,0.7373945657601838,0.40874805642824114
M-0020,Glass,0.8211648709540699,0.49189132266217356,0.12,0.3023780237802378,0.32842842842842845,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20306848463880034,1.6693996493172292,0.4629944769101565
M-0998,Paper,0.2575787994378638,0.41217354675652906,0.04,0.7970479704797048,0.7421421421421421,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2055250822778498,0.6249265061726756,0.33767416241778814
M-0419,Cotton,0.003167592406701003,0.7389427127211458,0.31,0.05248052480524805,0.26246246246246246,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0387063570335403,0.0042866491075976626,0.17300577570141915
M-0500,Paper,0.6157621182716545,0.636267902274642,0.97,0.6859368593685936,0.813013013013013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12826126659664996,0.9677702557367233,0.7812087512125656
M-1465,Glass,0.7262040197193781,0.9905223251895536,0.39,0.490159901599016,0.37967967967967975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3040561471680783,0.7331518614974629,0.5213855117916552
M-0649,Cotton,0.616275179013585,0.42544229149115415,0.17,0.9526445264452644,0.6864864864864865,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2986669326152721,1.448548352598477,0.5034560175513799
M-0011,Glass,0.14901068504762544,0.7742207245155855,0.12,0.490159901599016,0.2805805805805806,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35263055183104386,0.1924651302452903,0.17977844819322436
M-0427,Aluminum,0.7795846438689241,0.36794439764111203,0.58,0.5785157851578516,0.9924924924924925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00434321160028417,2.1187509039841785,0.7835816052953174
M-0794,Paper,0.2542996720872649,0.40374894692502106,0.28,0.15764657646576466,0.98998998998999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001578043808466112,0.6298444718668657,0.482716865831903
M-1097,Plastic,0.11874010127372905,0.27106149957876996,0.95,0.27101271012710126,0.8328328328328328,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04530442701824416,0.43805432864468785,0.5823458903593415
M-0084,Cotton,0.17381605657052357,0.6869208087615839,0.38,0.490159901599016,0.4773773773773774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2561686532781244,0.2530361597979945,0.3267396358414226
M-0254,Steel,0.5053871377902697,0.956402695871946,0.15,0.4903649036490365,0.7673673673673674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11407487848652258,0.5284244926819444,0.47736506532631806
M-0247,Aluminum,0.9175756764594347,0.5775063184498737,0.33,0.5781057810578106,0.6674674674674675,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1922389794468515,1.5888554952383311,0.6662705108240141
M-1043,Bamboo,0.5109415779963863,0.38953243470935134,0.06,0.952029520295203,0.42912912912912915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5434859213457,1.3116757958854626,0.35111536993729325
M-1250,Paper,0.280019630150126,0.7377843302443134,0.6,0.7800328003280033,0.10440440440440439,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6985939403938585,0.37954079414590564,0.32332917338137174
M-1455,Aluminum,0.7394989850320105,0.9475568660488627,0.98,0.4575645756457565,0.6645645645645646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15348337267156456,0.780426200370835,0.7891689633821736
M-0477,Aluminum,0.3958821298712887,0.06571187868576242,0.36,0.1941369413694137,0.85995995995996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027186945042623593,6.024422271384404,0.5243408399365035
M-0638,Bamboo,0.1281313435499342,0.4095408593091828,0.05,0.9169741697416974,0.9766766766766767,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021386885040021567,0.3128650726108114,0.35925554042297664
M-0593,Steel,0.8683441522228914,0.49189132266217356,0.82,0.08999589995899959,0.6943943943943944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.027503251508991564,1.7653134887800659,0.8016559792074749
M-0895,Paper,0.08623881862187421,0.26895534962089296,0.71,0.7826978269782697,0.16466466466466465,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6538151517651312,0.3206424341475188,0.2968949268481491
M-0385,Steel,0.6826384706328493,0.7133529907329401,0.59,0.18122181221812217,0.48668668668668674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09302356887432736,0.9569421065850743,0.5960613942591457
M-0830,Cotton,0.545539717593522,0.9451347935973041,0.65,0.35424354243542433,0.706006006006006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10414547388717128,0.5772077634655335,0.6250176888392107
M-0134,Steel,0.10127372905931425,0.49189132266217356,0.22,0.005330053300533006,0.4657657657657658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002847496943437903,0.20588597218027324,0.24623922135345544
M-0759,Aluminum,0.6069954716812778,0.6742839090143219,0.58,0.6256662566625666,0.6071071071071071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24581982556562298,0.9002062237587244,0.5989303208046433
M-1181,Wood,0.5789555867853399,0.5811920808761584,0.42,0.7207872078720787,0.8224224224224225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12799564632282956,0.9961501708047772,0.6043089614408628
M-0484,Wood,0.02801757790715831,0.9581929233361415,0.91,0.5358753587535875,0.5442442442442442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24422827911962802,0.02923998704730831,0.4474803044361366
M-1450,Paper,0.3786165205558902,0.26558550968828976,0.28,0.2921279212792128,0.06576576576576576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.272915904834724,1.425586416268884,0.25517633795208583
M-1161,Cotton,0.30353119632380826,0.41133108677337826,0.88,0.044075440754407544,0.4773773773773774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023034822440316495,0.7379224866817589,0.5286256917427365
M-0347,Glass,0.21809542929799908,0.49189132266217356,0.01,0.35301353013530135,0.8362362362362363,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.057810824354489754,0.44338042951685736,0.3411090425900705
M-1493,Bamboo,0.581788574360347,0.7573715248525695,0.5,0.5688806888068881,0.02422422422422422,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5550999954443989,0.7681669921596354,0.38998269701140614
M-1001,Wood,0.5341185393383746,0.5327506318449874,0.34,0.4620746207462075,0.15825825825825826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3889474960815674,1.002565749988702,0.3631248932128273
M-0283,Wood,0.22764282049566126,0.29475568660488627,0.08,0.6908569085690857,0.5861861861861862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2858861321345946,0.7723075704159024,0.29091298405412036
M-0667,Wood,0.5053871377902697,0.7422072451558552,0.42,0.9850348503485036,0.30490490490490496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6846928929749758,0.6809236371176989,0.41962632658757937
M-0884,Cotton,0.7952441499921925,0.5444397641112048,0.86,0.07400574005740057,0.9843843843843844,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011556451900855364,1.460662394173262,0.8714129753121923
M-1040,Glass,0.5171429208771107,0.20355939342881207,0.5,0.45038950389503896,0.5817817817817819,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1883610958231704,2.5404889043799317,0.5313917028853787
M-1014,Glass,0.4868723371032144,0.0181128896377422,0.25,0.9751947519475195,0.7138138138138138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2790872668486445,26.87839811548617,0.4838930789854299
M-0989,Plastic,0.3659238439403065,0.616575400168492,0.37,0.8667486674866748,0.6657657657657658,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2896970771509516,0.5934768892229907,0.4570992673058524
M-0461,Plastic,0.42456891744183456,0.7734835720303286,0.11,0.16564165641656414,0.4773773773773774,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08656807689198011,0.5489041834763151,0.34604078018994705
M-0566,Plastic,0.6427981886725112,0.7719039595619208,0.18,0.490159901599016,0.9900900900900902,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004857440466296505,0.8327426591964358,0.6081463024960315
M-1210,Steel,0.7854067679403958,0.648904802021904,0.75,0.34501845018450183,0.03843843843843844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33175647972695943,1.2103555947460678,0.5506942387076899
M-0072,Plastic,0.0014053402931138298,0.49189132266217356,0.36,0.27634276342763425,0.5206206206206206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13247302242792197,0.002857007983999382,0.2647483223034317
M-0265,Glass,0.7050346873675523,0.6268955349620894,0.64,0.1027060270602706,0.5046046046046047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.050880092885012926,1.1246428207011674,0.6253952563284023
M-0502,Steel,0.4801356264917799,0.6743892165122157,0.06,0.7982779827798279,0.9150150150150151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06784164238038767,0.7119552074389899,0.4845587551012165
M-1228,Cotton,0.4280711146802293,0.5361204717775906,0.21,0.11377613776137763,0.758058058058058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.027527219716641616,0.7984591873571035,0.46164586328950913
M-0123,Plastic,0.6432220214593232,0.49189132266217356,0.16,0.42988929889298894,0.6204204204204204,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16317719933956096,1.3076480193432116,0.4914149347098554
M-1024,Plastic,0.955742934261304,0.5359098567818029,0.82,0.5479704797047971,0.3245245245245245,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3701406203251222,1.7833990899169943,0.7256545310618789
M-0856,Steel,0.5178121305404982,0.4346040438079191,0.9,0.17548175481754819,0.6707707707707709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05777372288237396,1.1914544893532204,0.6783560834474306
M-0729,Steel,0.7976309977916081,0.7039806234203875,0.59,0.536080360803608,0.8722722722722722,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06847232636490531,1.133028151951201,0.7577340807983248
M-0642,Wood,0.07053469852104663,0.693871103622578,0.54,0.5850758507585075,0.024524524524524527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5707271437078735,0.10165374591772461,0.197571236765776
M-1287,Plastic,0.11128956702134779,0.2565290648694187,0.62,0.6685116851168511,0.2714714714714715,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48702983426230656,0.4338266046047954,0.31195726824998055
M-0792,Cotton,0.10403979566798277,0.9710404380791913,0.52,0.490159901599016,0.06106106106106106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.46023021791779484,0.10714248804230538,0.21593423658551142
M-1105,Wood,0.5053871377902697,0.18797388374052232,0.63,0.9210742107421074,0.49599599599599603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46422509019884983,2.6885886440440543,0.5399536539149067
M-1214,Wood,0.38205179682794616,0.5995155855096883,0.75,0.2652726527265273,0.46876876876876883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1409211179198879,0.6372664344275628,0.518451349361809
M-0082,Paper,0.4509357781793035,0.05949873631002528,0.81,0.31406314063140633,0.08888888888888889,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28614641701972576,7.578786161835882,0.4500409779383881
M-0040,Glass,0.9476678043230944,0.1961878685762426,0.98,0.7197621976219761,0.5508508508508508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.32328057865163234,4.8303851854612905,0.838322376984493
M-0450,Wood,0.12735059894264875,0.773272957034541,0.62,0.2896678966789668,0.9480480480480481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015048812650288651,0.1646901434920046,0.521354653991474
M-1334,Aluminum,0.9094559325436657,0.8601516427969672,0.24,0.08302583025830258,0.10540540540540541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07427445896080583,1.0573192329984344,0.46740399463908794
M-1320,Aluminum,0.328247339891588,0.8625737152485257,0.5,0.4182041820418204,0.5710710710710711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17937987187679683,0.38054366084335445,0.4526202572779565
M-1018,Glass,0.47460349327444284,0.5608677337826453,0.1,0.09389093890938909,0.37817817817817817,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0583834346851977,0.8461935292302583,0.3332948507632306
M-0467,Cotton,0.5053871377902697,0.6466933445661331,0.04,0.1853218532185322,0.5660660660660661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08041744081104474,0.7814930531506868,0.38397467493592774
M-0164,Aluminum,0.4077494479020277,0.49189132266217356,0.98,0.04797047970479704,0.2154154154154154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03763689889151143,0.8289404593575366,0.5217244037854357
M-0008,Steel,0.5322670592696692,0.4306023588879528,0.34,0.5483804838048381,0.5726726726726726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23433796650278818,1.2360959297769212,0.48670862550966953
M-0309,Cotton,0.47846260233331095,0.07687447346251054,0.89,0.2724477244772448,0.9003003003003003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.027162956314247835,6.223865438261532,0.7284751310234145
M-0894,Steel,0.6227218987708849,0.49189132266217356,0.13,0.8759737597375974,0.2627627627627628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6458004745212618,1.265971982243284,0.3669175883371828
M-1300,Plastic,0.07881059135827254,0.5636057287278855,0.52,0.4401394013940139,0.4773773773773774,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23002680827609076,0.13983259485946095,0.3307374497565222
M-1471,Steel,0.7031385933212876,0.3435130581297388,0.3,0.490159901599016,0.871971971971972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06275420562013428,2.046899032748539,0.6328470289201067
M-0867,Steel,0.9946909366704588,0.7390480202190397,0.81,0.6580565805658056,0.4773773773773774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3439152559693765,1.3459065765023974,0.7840895878813968
M-1143,Cotton,0.7998840036583461,0.8884793597304129,0.61,0.7496924969249692,0.8022022022022022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14828752491729122,0.9002832700781938,0.7436142621239991
M-1198,Glass,0.14477235717950432,0.7153538331929234,0.74,0.4825748257482575,0.7294294294294295,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1305705459456997,0.20237838686757118,0.4987377717006306
M-0168,Bamboo,0.9488277677396328,0.0389637742207245,0.35,0.3132431324313243,0.9115115115115116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027718411318247302,24.350911476216698,0.7579845605493065
M-0258,Wood,0.8492047558500078,0.43934288121314236,0.41,0.3204182041820418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3204182041820418,1.9328930984656787,0.4626819023400031
M-0680,Plastic,0.867987240402418,0.3933235046335299,0.8,0.8925789257892578,0.6662662662662663,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2978836975556942,2.206796754784305,0.7870747760408471
M-0722,Glass,0.738026723772558,0.1631213142375737,0.99,0.19782697826978268,0.038238238238238235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19026242314475195,4.524376246266867,0.6036821609804945
M-0260,Glass,0.48805460750853247,0.8934288121314239,0.06,0.4622796227962279,0.2082082082082082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36602921084265894,0.5462707880143353,0.27568430546587547
M-1436,Plastic,0.9386557808561422,0.5660278011794441,0.94,0.012300123001230016,0.14924924924924923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010464338877623014,1.6583180553714736,0.7022370871172317
M-0574,Plastic,0.21682393093756275,0.22219882055602358,0.48,0.7312423124231242,0.7034034034034035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2168839811521238,0.9758060577861475,0.4417505933960461
M-0478,Cotton,0.27203372816703475,0.22830665543386686,0.64,0.0940959409594096,0.10990990990990991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08375386456567269,1.191522586704649,0.33378646423978686
