Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Type_Aluminum,Type_Bamboo,Type_Cotton,Type_Glass,Type_Paper,Type_Plastic,Type_Steel,Type_Unknown,Type_Wood,Strength_norm,Weight_Capacity_norm,Biodegradability_Score_norm,CO2_Emission_Score_norm,Recyclability_Percent_norm,CO2_Impact_Index,CO2_Impact_Index_norm,Cost_Efficiency_Index,Cost_Efficiency_Index_norm
M-1061,Unknown,347.14,73.66,0.17,18.73,22.31,False,False,False,False,False,False,False,True,False,0.6595953512235383,0.7230412805391744,0.17,0.3595735957359574,0.2231231231231231,0.542431845129262,0.5207023245625491,0.5925900861679783,0.6126789307650667
M-0174,Paper,409.93,51.71,0.5,21.14,56.59,False,False,False,False,True,False,False,False,False,0.7996609337705503,0.49189132266217356,0.5,0.4089790897908979,0.5662662662662663,0.43876082724791216,0.4064152019550206,0.6243986340256168,0.6495423871894882
M-1282,Bamboo,304.4,80.84,0.53,25.1,64.22,False,True,False,False,False,False,False,False,False,0.5642552811795934,0.7986520640269588,0.53,0.490159901599016,0.6426426426426427,0.47083167669514536,0.4417701659344271,0.6565301091909203,0.6867800894546076
M-0222,Glass,471.57,96.58,0.54,16.33,60.17,False,False,False,True,False,False,False,False,False,0.9371612126079101,0.9644060657118787,0.54,0.31037310373103727,0.6021021021021021,0.3640136520284121,0.3240137772033667,0.8549316574592427,0.9167109514939671
M-0486,Wood,215.84,79.59,0.32,34.45,47.34,False,False,False,False,False,False,False,False,True,0.36670458854759197,0.7854886267902276,0.32,0.6818368183681838,0.47367367367367375,0.6657347236535429,0.656631646795053,0.5298186782661531,0.5399320996225431
M-0002,Paper,472.92,91.41,0.91,48.37,55.79,False,False,False,False,True,False,False,False,False,0.940172656093154,0.9099620893007582,0.91,0.9671996719967199,0.5582582582582583,0.651493977372206,0.6409326216524568,0.762478845339849,0.8095658461552442
M-0705,Steel,63.67,92.49,0.87,3.2,87.13,False,False,False,False,False,False,True,False,False,0.027259140288652423,0.921335299073294,0.87,0.04120541205412054,0.871971971971972,0.07652605003527513,0.007086910962529697,0.6022819069656635,0.6239109434695693
M-0359,Aluminum,363.21,72.16,0.89,23.0,88.15,True,False,False,False,False,False,False,False,False,0.6954426821923307,0.7072451558550968,0.89,0.44710947109471094,0.8821821821821823,0.3130474644386083,0.2678285573709485,0.722666232643565,0.7634263455455238
M-1342,Cotton,484.01,21.67,0.05,15.78,44.33,False,False,True,False,False,False,False,False,False,0.9649111066497134,0.17554759898904804,0.05,0.2990979909799098,0.44354354354354353,0.5201044402335915,0.4960885519482987,0.5579594565842843,0.5725449167785648
M-0387,Glass,433.04,96.77,0.73,29.8,86.69,False,False,False,True,False,False,False,False,False,0.8512123848401705,0.9664069081718618,0.73,0.5865108651086511,0.8675675675675676,0.4461497623084339,0.4145607776854276,0.8510291795568596,0.9121883047907723
M-0190,Wood,278.01,19.64,0.42,42.35,31.0,False,False,False,False,False,False,False,False,True,0.5053871377902697,0.15417017691659646,0.42,0.8437884378843789,0.31011011011011014,0.7492620517196164,0.7487123283476541,0.30848823838098727,0.2834285628178747
M-1028,Glass,246.92,51.08,0.31,18.86,80.33,False,False,False,True,False,False,False,False,False,0.43603470967454094,0.485256950294861,0.31,0.36223862238622384,0.8039039039039039,0.4439527830413439,0.4121388236620623,0.5470089995314491,0.5598542495339817
M-0424,Glass,166.91,23.93,0.53,16.39,74.97,False,False,False,True,False,False,False,False,False,0.2575564924490843,0.19934709351305813,0.53,0.3116031160311603,0.7502502502502503,0.35293684459367114,0.3118026841200223,0.3788059935336839,0.3649209816021571
M-0704,Cotton,306.77,48.86,0.8,31.2,47.71,False,False,True,False,False,False,False,False,False,0.569542037520355,0.46187868576242624,0.8,0.6152111521115211,0.4773773773773774,0.48138895352917493,0.45340852751888894,0.49495161341329685,0.49952407686075934
M-0471,Steel,477.89,90.36,0.31,6.13,94.61,False,False,False,False,False,False,True,False,False,0.9512592295166076,0.898904802021904,0.31,0.10127101271012709,0.9468468468468468,0.27307792294139155,0.22376606060944154,0.9267996791368357,1.0
M-0831,Steel,154.38,74.97,0.93,22.92,67.18,False,False,False,False,False,False,True,False,False,0.22960583550826474,0.7368365627632688,0.93,0.44546945469454696,0.6722722722722724,0.32105444558950086,0.276655468258961,0.5281623483800365,0.5380125513031858
M-1193,Steel,403.2,25.11,0.85,36.42,47.71,False,False,False,False,False,False,True,False,False,0.7846483303218897,0.2117733782645324,0.85,0.7222222222222222,0.4773773773773774,0.5305955955955955,0.5076540210992261,0.472000851258501,0.4729260559643918
M-1443,Paper,351.83,78.65,0.77,34.17,33.5,False,False,False,False,True,False,False,False,False,0.6700573289611634,0.7755897219882056,0.77,0.6760967609676097,0.33513513513513515,0.5411445430670523,0.5192832003789217,0.6053938187625452,0.6275173899327782
M-1366,Wood,118.45,13.27,0.63,36.7,28.05,False,False,False,False,False,False,False,False,True,0.1494568248232171,0.08708930075821399,0.63,0.7279622796227962,0.2805805805805806,0.6197193097156197,0.6059041690290063,0.16611103210733738,0.11842524475413695
M-0994,Paper,54.96,71.16,0.99,37.28,30.12,False,False,False,False,True,False,False,False,False,0.007829753061634206,0.6967144060657119,0.99,0.7398523985239852,0.30130130130130134,0.516781308984261,0.4924251258886857,0.33286547610243283,0.31167975003063747
M-1453,Cotton,240.15,35.17,0.64,19.57,93.69,False,False,True,False,False,False,False,False,False,0.4209328782707622,0.31771272114574556,0.64,0.3767937679376794,0.9376376376376376,0.34031249699884386,0.2978855798907444,0.5083741105295373,0.5150796325486822
M-1219,Steel,200.53,84.55,0.96,46.77,47.71,False,False,False,False,False,False,True,False,False,0.33255258872604787,0.8377211457455771,0.96,0.93439934399344,0.4773773773773774,0.6249018686583263,0.6116174316303606,0.5116313481412003,0.5188544995215135
M-0971,Cotton,114.01,53.92,0.35,40.12,55.41,False,False,True,False,False,False,False,False,False,0.13955252180508154,0.5151642796967144,0.35,0.7980729807298073,0.5544544544544544,0.7183983429924389,0.7146881185394417,0.36023447334353875,0.34339813722935825
M-0067,Paper,316.07,31.1,0.36,14.66,23.56,False,False,False,False,True,False,False,False,False,0.5902875370853689,0.2748525695029486,0.36,0.27613776137761376,0.2356356356356356,0.4341190932630047,0.4012981457913415,0.4223123882952769,0.4153412678301096
M-1363,Aluminum,132.9,40.58,0.6,13.14,97.37,True,False,False,False,False,False,False,False,False,0.18169042360971693,0.37468407750631844,0.6,0.24497744977449776,0.9744744744744746,0.2695390224172512,0.21986477010064026,0.46512822530805753,0.4649612551699826
M-0289,Aluminum,79.41,76.58,0.66,26.88,53.77,True,False,False,False,False,False,False,False,False,0.06237034062771865,0.7537910699241787,0.66,0.526650266502665,0.5380380380380381,0.4641863560977952,0.43444435216895505,0.4405990746505052,0.43653401352287274
M-0862,Aluminum,342.89,27.99,0.06,19.44,17.88,True,False,False,False,False,False,False,False,False,0.6501148809922148,0.24210193765796123,0.06,0.3741287412874129,0.17877877877877876,0.5885993668945698,0.5715974862799366,0.41061876815457604,0.40178933649298176
M-0581,Wood,299.91,50.68,0.28,49.82,21.52,False,False,False,False,False,False,False,False,True,0.5542394432175601,0.481044650379107,0.28,0.9969249692496924,0.2152152152152152,0.8926334600282939,0.9067652350774873,0.4056999788769073,0.39608886959302203
M-0037,Paper,312.53,97.3,0.58,25.1,93.87,False,False,False,False,True,False,False,False,False,0.5823908630573958,0.9719882055602358,0.58,0.490159901599016,0.9394394394394395,0.42615199701546563,0.3925152040948437,0.7829045717441574,0.8332375610229683
M-0968,Wood,362.77,5.19,1.0,18.96,92.23,False,False,False,False,False,False,False,False,True,0.6944611746860291,0.0020008424599831515,1.0,0.36428864288642887,0.9230230230230231,0.226270883429555,0.1721658933408317,0.49193744631706593,0.49603090836073455
M-1156,Unknown,141.12,81.63,0.16,44.54,99.21,False,False,False,False,False,False,False,True,False,0.2000267683865355,0.8069713563605728,0.16,0.8886838868388683,0.9928928928928928,0.7859210428140317,0.7891252681981217,0.5621595335561796,0.57741245600499
M-0129,Unknown,62.19,47.41,0.56,40.69,76.88,False,False,False,False,False,False,False,True,False,0.023957705949273905,0.446609098567818,0.56,0.8097580975809757,0.7693693693693694,0.6409179216116484,0.6292735581445219,0.33759644569675845,0.3171625495682405
M-1032,Cotton,455.79,22.43,0.19,28.57,3.08,False,False,True,False,False,False,False,False,False,0.9019607843137254,0.18355096882898064,0.19,0.5612956129561295,0.03063063063063063,0.6767143047106147,0.668735557339126,0.42992567843046026,0.4241644366965693
M-0403,Glass,363.86,40.13,0.71,25.1,96.24,False,False,False,True,False,False,False,False,False,0.6968926364630038,0.3699452401010952,0.71,0.490159901599016,0.9631631631631631,0.38477962464309334,0.34690622397180537,0.6170098992701657,0.6409794592963882
M-0181,Steel,112.71,51.71,0.94,30.76,32.06,False,False,False,False,False,False,True,False,False,0.1366526132637355,0.49189132266217356,0.94,0.6061910619106191,0.3207207207207208,0.44964256507429945,0.41841124993991297,0.3235154155271504,0.30084380894570506
M-0860,Bamboo,293.01,63.26,0.38,47.24,21.12,False,True,False,False,False,False,False,False,False,0.5388476209596467,0.6135214827295704,0.38,0.9440344403444034,0.21121121121121122,0.8312995430855209,0.8391506111556777,0.45116798449902784,0.448782499351222
M-0194,Bamboo,423.38,84.2,0.39,47.71,4.7,False,True,False,False,False,False,False,False,False,0.8296638336790916,0.8340353833192924,0.39,0.9536695366953669,0.04684684684684685,0.8505170373325354,0.860336012496404,0.5962971416492671,0.6169750991663724
M-1127,Paper,315.66,77.28,0.6,37.32,65.38,False,False,False,False,True,False,False,False,False,0.589372950545406,0.7611625947767482,0.6,0.7406724067240672,0.6542542542542542,0.5989780186090149,0.5830389312008994,0.629471051041198,0.6554208958361969
M-0517,Cotton,226.62,55.32,0.65,13.39,19.15,False,False,True,False,False,False,False,False,False,0.3907515224519842,0.5299073294018535,0.65,0.25010250102501025,0.19149149149149147,0.335912351465857,0.29303485128504114,0.43551864634464044,0.4306462204582903
M-0020,Glass,419.57,51.71,0.12,15.94,32.83,False,False,False,True,False,False,False,False,False,0.8211648709540699,0.49189132266217356,0.12,0.3023780237802378,0.32842842842842845,0.5125839714252999,0.48779797317011986,0.5950175510733471,0.6154921603146009
M-0998,Paper,166.92,44.14,0.04,40.07,74.16,False,False,False,False,True,False,False,False,False,0.2575787994378638,0.41217354675652906,0.04,0.7970479704797048,0.7421421421421421,0.7920145680736087,0.7958427817586655,0.40313695254849546,0.393118535650243
M-0419,Cotton,52.87,75.17,0.31,3.75,26.24,False,False,True,False,False,False,False,False,False,0.003167592406701003,0.7389427127211458,0.31,0.05248052480524805,0.26246246246246246,0.31224206863690257,0.2669406875436986,0.406983046806714,0.39757583840818733
M-0500,Paper,327.49,65.42,0.97,34.65,81.24,False,False,False,False,True,False,False,False,False,0.6157621182716545,0.636267902274642,0.97,0.6859368593685936,0.813013013013013,0.43926081431985486,0.40696638863150036,0.632219423856947,0.658606030913248
M-1465,Glass,377.0,99.06,0.39,25.1,37.95,False,False,False,True,False,False,False,False,False,0.7262040197193781,0.9905223251895536,0.39,0.490159901599016,0.37967967967967975,0.5391279729914417,0.5170601297832249,0.7277741664941604,0.769346015244467
M-0649,Cotton,327.72,45.4,0.17,47.66,68.6,False,False,True,False,False,False,False,False,False,0.616275179013585,0.42544229149115415,0.17,0.9526445264452644,0.6864864864864865,0.85193806721851,0.861902558481254,0.5066339593294296,0.5130629423110713
M-0011,Glass,118.25,78.52,0.12,25.1,28.05,False,False,False,True,False,False,False,False,False,0.14901068504762544,0.7742207245155855,0.12,0.490159901599016,0.2805805805805806,0.6300378829013515,0.6172793832683626,0.43023111930333835,0.42451841721645883
M-0427,Aluminum,400.93,39.94,0.58,29.41,99.17,True,False,False,False,False,False,False,False,False,0.7795846438689241,0.36794439764111203,0.58,0.5785157851578516,0.9924924924924925,0.4738602218454617,0.44510883973150295,0.6422820845112259,0.6702678161102001
M-0794,Paper,165.45,43.34,0.28,8.88,98.92,False,False,False,False,True,False,False,False,False,0.2542996720872649,0.40374894692502106,0.28,0.15764657646576466,0.98998998998999,0.3115889468804598,0.2662206849066873,0.5125503570057216,0.5199195542163257
M-1097,Plastic,104.68,30.74,0.95,14.41,83.22,False,False,False,False,False,True,False,False,False,0.11874010127372905,0.27106149957876996,0.95,0.27101271012710126,0.8328328328328328,0.19432434279297747,0.1369479676251072,0.37589585585223106,0.36154837452529737
M-0084,Cotton,129.37,70.23,0.38,25.1,47.71,False,False,True,False,False,False,False,False,False,0.17381605657052357,0.6869208087615839,0.38,0.490159901599016,0.4773773773773774,0.5323582032216718,0.5095971230190016,0.4477173881818115,0.44478354575084794
M-0254,Steel,278.01,95.82,0.15,25.11,76.68,False,False,False,False,False,False,True,False,False,0.5053871377902697,0.956402695871946,0.15,0.4903649036490365,0.7673673673673674,0.5724822054526851,0.5538298975802468,0.7160634248903454,0.7557742415582871
M-0247,Aluminum,462.79,59.84,0.33,29.39,66.7,True,False,False,False,False,False,False,False,False,0.9175756764594347,0.5775063184498737,0.33,0.5781057810578106,0.6674674674674675,0.5811167218879396,0.56334860453094,0.6989616136059703,0.7359546673393764
M-1043,Bamboo,280.5,41.99,0.06,47.63,42.89,False,True,False,False,False,False,False,False,False,0.5109415779963863,0.38953243470935134,0.06,0.952029520295203,0.42912912912912915,0.9103047992642089,0.926246152263095,0.40578877824331366,0.3961917806592137
M-1250,Paper,176.98,75.06,0.6,39.24,10.45,False,False,False,False,True,False,False,False,False,0.280019630150126,0.7377843302443134,0.6,0.7800328003280033,0.10440440440440439,0.6775792397563616,0.6696890633395587,0.3991089869861343,0.38845045920576887
M-1455,Aluminum,382.96,94.98,0.98,23.51,66.41,True,False,False,False,False,False,False,False,False,0.7394989850320105,0.9475568660488627,0.98,0.4575645756457565,0.6645645645645646,0.31408228893099743,0.26896934981280823,0.7776260032266429,0.8271201399637107
M-0477,Aluminum,228.92,11.24,0.36,10.66,85.93,True,False,False,False,False,False,False,False,False,0.3958821298712887,0.06571187868576242,0.36,0.1941369413694137,0.85995995995996,0.32248616882565223,0.27823380261290115,0.4141362008500185,0.40586574788637836
M-0638,Bamboo,108.89,43.89,0.05,45.92,97.59,False,True,False,False,False,False,False,False,False,0.1281313435499342,0.4095408593091828,0.05,0.9169741697416974,0.9766766766766767,0.8375168341773507,0.8460045643995039,0.3918231893618565,0.38000682687015375
M-0593,Steel,440.72,51.71,0.82,5.58,69.39,False,False,False,False,False,False,True,False,False,0.8683441522228914,0.49189132266217356,0.82,0.08999589995899959,0.6943943943943944,0.13855810053596032,0.07547115861486785,0.7059617050927517,0.7440671900689534
M-0895,Paper,90.11,30.54,0.71,39.37,16.47,False,False,False,False,True,False,False,False,False,0.08623881862187421,0.26895534962089296,0.71,0.7826978269782697,0.16466466466466465,0.6401522297204953,0.6284294579819871,0.17898110912007448,0.13334059157416006
M-0385,Steel,357.47,72.74,0.59,10.03,48.64,False,False,False,False,False,False,True,False,False,0.6826384706328493,0.7133529907329401,0.59,0.18122181221812217,0.48668668668668674,0.2830644186622046,0.2347751920348738,0.6678121675935514,0.699855055031928
M-0830,Cotton,296.01,94.75,0.65,18.47,70.55,False,False,True,False,False,False,False,False,False,0.545539717593522,0.9451347935973041,0.65,0.35424354243542433,0.706006006006006,0.346945524860654,0.3051978421217321,0.7275129258744478,0.7690432591348778
M-0134,Steel,96.85,51.71,0.22,1.45,46.55,False,False,False,False,False,False,True,False,False,0.10127372905931425,0.49189132266217356,0.22,0.005330053300533006,0.4657657657657658,0.29062145540374323,0.24310608337056305,0.40022791592562057,0.3897472046085261
M-0759,Aluminum,323.56,69.03,0.58,31.71,60.67,True,False,False,False,False,False,False,False,False,0.6069954716812778,0.6742839090143219,0.58,0.6256662566625666,0.6071071071071071,0.5406890432868292,0.5187810565754372,0.6073025789986246,0.6297294839932269
M-1181,Wood,310.99,60.19,0.42,36.35,82.18,False,False,False,False,False,False,False,False,True,0.5789555867853399,0.5811920808761584,0.42,0.7207872078720787,0.8224224224224225,0.624230082481005,0.610876853301117,0.5984574473788009,0.6194787134929527
M-0484,Wood,64.01,95.99,0.91,27.33,54.39,False,False,False,False,False,False,False,False,True,0.02801757790715831,0.9581929233361415,0.91,0.5358753587535875,0.5442442442442442,0.39410079082772803,0.3571818948811785,0.5004349884086451,0.5058788515617126
M-1450,Paper,221.18,30.22,0.28,15.44,6.59,False,False,False,False,True,False,False,False,False,0.3786165205558902,0.26558550968828976,0.28,0.2921279212792128,0.06576576576576576,0.48470017619095107,0.4570588255294703,0.30941107161069487,0.28449804963326114
M-1161,Cotton,187.52,44.06,0.88,3.34,47.71,False,False,True,False,False,False,False,False,False,0.30353119632380826,0.41133108677337826,0.88,0.044075440754407544,0.4773773773773774,0.11470752671490678,0.04917824174907308,0.44126973048405005,0.43731124774954394
M-0347,Glass,149.22,51.71,0.01,18.41,83.56,False,False,False,True,False,False,False,False,False,0.21809542929799908,0.49189132266217356,0.01,0.35301353013530135,0.8362362362362363,0.5251844944575571,0.5016888131573835,0.48044125741977756,0.4827077833831717
M-1493,Bamboo,312.26,76.92,0.5,28.94,2.44,False,True,False,False,False,False,False,False,False,0.581788574360347,0.7573715248525695,0.5,0.5688806888068881,0.02422422422422422,0.5889059908617105,0.5719355091106482,0.5166628106886768,0.5246855453523426
M-1001,Wood,290.89,55.59,0.34,23.73,15.83,False,False,False,False,False,False,False,False,True,0.5341185393383746,0.5327506318449874,0.34,0.4620746207462075,0.15825825825825826,0.5594189466218986,0.5394289367894822,0.45884839949120754,0.4576834603335605
M-0283,Wood,153.5,32.99,0.08,34.89,58.58,False,False,False,False,False,False,False,False,True,0.22764282049566126,0.29475568660488627,0.08,0.6908569085690857,0.5861861861861862,0.7318955265228327,0.7295674387247598,0.3309910238655204,0.3095074160824064
M-0667,Wood,278.01,75.48,0.42,49.24,30.48,False,False,False,False,False,False,False,False,True,0.5053871377902697,0.7422072451558552,0.42,0.9850348503485036,0.30490490490490496,0.8345304197186116,0.8427123355550507,0.49913552997727434,0.5043728875210223
M-0884,Cotton,407.95,56.7,0.86,4.8,98.36,False,False,True,False,False,False,False,False,False,0.7952441499921925,0.5444397641112048,0.86,0.07400574005740057,0.9843843843843844,0.0879650055960019,0.019697236812393215,0.7583656728073258,0.8047990219324783
M-1040,Glass,283.28,24.33,0.5,23.16,58.14,False,False,False,True,False,False,False,False,False,0.5171429208771107,0.20355939342881207,0.5,0.45038950389503896,0.5817817817817819,0.4620555241588452,0.43209531908295284,0.42356321597392543,0.41679087288069816
M-1014,Glass,269.71,6.72,0.25,48.76,71.33,False,False,False,True,False,False,False,False,False,0.4868723371032144,0.0181128896377422,0.25,0.9751947519475195,0.7138138138138138,0.8387354697871302,0.8473479905584731,0.32198811692734564,0.29907379713526455
M-0989,Plastic,215.49,63.55,0.37,43.47,66.53,False,False,False,False,False,True,False,False,False,0.3659238439403065,0.616575400168492,0.37,0.8667486674866748,0.6657657657657658,0.7424726239154282,0.7412276505297872,0.49035302184256513,0.49419469242170605
M-0461,Plastic,241.78,78.45,0.11,9.27,47.71,False,False,False,False,False,True,False,False,False,0.42456891744183456,0.7734835720303286,0.11,0.16564165641656414,0.4773773773773774,0.41864725611220077,0.3842419637883697,0.5982296811490762,0.6192147514120053
M-0566,Plastic,339.61,78.3,0.18,25.1,98.93,False,False,False,False,False,True,False,False,False,0.6427981886725112,0.7719039595619208,0.18,0.490159901599016,0.9900900900900902,0.5410869319504006,0.5192196897769532,0.7441477797401677,0.7883216686161935
M-1210,Steel,403.54,66.62,0.75,18.02,3.86,False,False,False,False,False,False,True,False,False,0.7854067679403958,0.648904802021904,0.75,0.34501845018450183,0.03843843843843844,0.3781672262668573,0.3396167037240191,0.5751948921560424,0.5925193504119082
M-0072,Plastic,52.08,51.71,0.36,14.67,52.03,False,False,False,False,False,True,False,False,False,0.0014053402931138298,0.49189132266217356,0.36,0.27634276342763425,0.5206206206206206,0.4057435959945185,0.3700169449152722,0.34914367981571126,0.3305448317042164
M-0265,Glass,367.51,64.53,0.64,6.2,50.43,False,False,False,True,False,False,False,False,False,0.7050346873675523,0.6268955349620894,0.64,0.1027060270602706,0.5046046046046047,0.2191631557757019,0.16433032117767882,0.6568258960302684,0.6871228817540872
M-0502,Steel,266.69,69.04,0.06,40.13,91.43,False,False,False,False,False,False,True,False,False,0.4801356264917799,0.6743892165122157,0.06,0.7982779827798279,0.9150150150150151,0.7694652881663951,0.7709844137197152,0.6072588997764186,0.6296788634143922
M-1228,Cotton,243.35,55.91,0.21,6.74,75.75,False,False,True,False,False,False,False,False,False,0.4280711146802293,0.5361204717775906,0.21,0.11377613776137763,0.758058058058058,0.3294598768510208,0.28592163128876663,0.5777010530957107,0.5954237821076125
M-0123,Plastic,339.8,51.71,0.16,22.16,62.0,False,False,False,False,False,True,False,False,False,0.6432220214593232,0.49189132266217356,0.16,0.42988929889298894,0.6204204204204204,0.5478915372937513,0.5267210993421744,0.578384824637309,0.5962162163470118
M-1024,Plastic,479.9,55.89,0.82,27.92,32.44,False,False,False,False,False,True,False,False,False,0.955742934261304,0.5359098567818029,0.82,0.5479704797047971,0.3245245245245245,0.45032983537042576,0.419168897990478,0.6321863337995125,0.6585676822940096
M-0856,Steel,283.58,46.27,0.9,9.75,67.03,False,False,False,False,False,False,True,False,False,0.5178121305404982,0.4346040438079191,0.9,0.17548175481754819,0.6707707707707709,0.16821197581345182,0.1081616457817418,0.5499516396943455,0.5632645242784677
M-0729,Steel,409.02,71.85,0.59,27.34,87.16,False,False,False,False,False,False,True,False,False,0.7976309977916081,0.7039806234203875,0.59,0.536080360803608,0.8722722722722722,0.45742098925493757,0.42698619919953507,0.746410485798292,0.7909439563907957
M-0642,Wood,83.07,70.89,0.54,29.73,2.47,False,False,False,False,False,False,False,False,True,0.07053469852104663,0.693871103622578,0.54,0.5850758507585075,0.024524524524524527,0.586593058002652,0.5693857276321956,0.31393935057932276,0.2897459476254844
M-1287,Plastic,101.34,29.36,0.62,33.8,27.14,False,False,False,False,False,True,False,False,False,0.11128956702134779,0.2565290648694187,0.62,0.6685116851168511,0.2714714714714715,0.5879598639229634,0.570892497016616,0.21617964694437747,0.1764505972328776
M-0792,Cotton,98.09,97.21,0.52,25.1,6.12,False,False,True,False,False,False,False,False,False,0.10403979566798277,0.9710404380791913,0.52,0.490159901599016,0.06106106106106106,0.5319898348533035,0.5091910330457304,0.43947430386382147,0.43523049790600316
M-1105,Wood,278.01,22.85,0.63,46.12,49.57,False,False,False,False,False,False,False,False,True,0.5053871377902697,0.18797388374052232,0.63,0.9210742107421074,0.49599599599599603,0.7140449268456648,0.7098889044958661,0.3497681356607657,0.33126852399397966
M-1214,Wood,222.72,61.93,0.75,14.13,46.85,False,False,False,False,False,False,False,False,True,0.38205179682794616,0.5995155855096883,0.75,0.2652726527265273,0.46876876876876883,0.2872867147590395,0.23942985909193437,0.5107750722992731,0.5178621471724707
M-0082,Paper,253.6,10.65,0.81,16.51,8.9,False,False,False,False,True,False,False,False,False,0.4509357781793035,0.05949873631002528,0.81,0.31406314063140633,0.08888888888888889,0.33654899548995487,0.29373668883931975,0.2650235437859022,0.23305660360811353
M-0040,Glass,476.28,23.63,0.98,36.3,55.05,False,False,False,True,False,False,False,False,False,0.9476678043230944,0.1961878685762426,0.98,0.7197621976219761,0.5508508508508508,0.4827722334881006,0.4549334579140666,0.5385434359227405,0.5500433667299477
M-0450,Wood,108.54,78.43,0.62,15.32,94.73,False,False,False,False,False,False,False,False,True,0.12735059894264875,0.773272957034541,0.62,0.2896678966789668,0.9480480480480481,0.2929959332025752,0.2457237121048979,0.5758610645337293,0.5932913886868374
M-1334,Unknown,459.15,86.68,0.24,5.24,10.55,False,False,False,False,False,False,False,True,False,0.9094559325436657,0.8601516427969672,0.24,0.08302583025830258,0.10540540540540541,0.36727495761444096,0.3276090465369588,0.7321411494244724,0.774406984568758
M-1320,Unknown,198.6,86.91,0.5,21.59,57.07,False,False,False,False,False,False,False,True,False,0.328247339891588,0.8625737152485257,0.5,0.4182041820418204,0.5710710710710711,0.4438154021179851,0.41198737467706426,0.5891811653090719,0.6087282755481416
M-1018,Glass,264.21,58.26,0.1,5.77,37.8,False,False,False,True,False,False,False,False,False,0.47460349327444284,0.5608677337826453,0.1,0.09389093890938909,0.37817817817817817,0.3885167455278157,0.35102603297416546,0.5286614712146775,0.5385909930776287
M-0467,Cotton,278.01,66.41,0.04,10.23,56.57,False,False,True,False,False,False,False,False,False,0.5053871377902697,0.6466933445661331,0.04,0.1853218532185322,0.5660660660660661,0.44258650532451266,0.4106326365701391,0.597909196716101,0.6188433366595131
M-0164,Unknown,234.24,51.71,0.98,3.53,21.54,False,False,False,False,False,False,False,True,False,0.4077494479020277,0.49189132266217356,0.98,0.04797047970479704,0.2154154154154154,0.11324074628133668,0.04756126027560473,0.4531603048100738,0.45109143257566325
