material_name,material_type,tensile_strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,price_inr_per_unit,suitable_industries,material_type_encoded,cost_efficiency_index,co2_impact_index,durability_index,base_suitability_score
PLA Bioplastic,Bioplastic,52.101982025097904,199.6497460446034,7,4.076777979541776,60,173.22986168353123,"Food Packaging, Electronics, 3D Printing",2,0.6511627906976745,0.625,0.083027675891964,0.4702571399768915
Seaweed Packaging,Edible Film,2.141582098748714,4.809311102826643,10,0.9900486319454727,100,452.69789951811845,"Food (Wrappers), Personal Care",3,0.0,1.0,0.003001000333444482,0.40090030010003336
Cork Sheet,Natural Wood,13.793635066774627,109.43554493777879,10,0.9932654365588279,70,269.1935924279895,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Styrofoam (EPS),Plastic,0.4191232425829142,10.88682033988854,1,8.897608954349858,10,19.247078729852113,"Electronics, Logistics (Avoid if possible)",10,1.0,0.0,0.00033344448149383137,0.3001000333444481
Wheat Straw,Bio-Fiber,16.674601360711407,131.08740713922967,8,1.9661435287873932,80,86.92336124720214,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Mushroom Mycelium,Bio-Composite,0.20087187530809972,21.322049898844888,10,0.9947715136870591,100,444.78500208554834,"Electronics, Cosmetics, Glassware",0,0.05813953488372092,1.0,0.0,0.4174418604651163
Jute Composite,Natural Fiber,32.81121134477268,190.07643718129032,8,1.9935851987011282,75,133.13825243211875,"Textiles, Packaging, Agriculture",7,0.75,0.875,0.05801933977992665,0.592405801933978
PLA Bioplastic,Bioplastic,52.0605841101353,197.07567123690924,7,4.011389364857192,60,169.4817544449702,"Food Packaging, Electronics, 3D Printing",2,0.6511627906976745,0.625,0.083027675891964,0.4702571399768915
Cork Sheet,Natural Wood,15.833964652325838,114.9681097395689,10,1.0049507954240229,70,265.3267887175608,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Wheat Straw,Bio-Fiber,18.85624118906368,151.98682335456186,8,2.0234095126739575,80,86.78888913262816,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Kraft Paper,Paper,38.479696635378914,14.387566173013155,9,1.9963603232912828,100,38.52922208918011,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
Cork Sheet,Natural Wood,15.27343728677043,113.94688075344439,10,0.9997291080344647,70,283.45009055868576,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Recycled Aluminum,Metal,276.77226473526184,869.6473073301935,1,1.9740391404440247,95,148.88585968821727,"Food & Beverage, Construction, Electronics",6,0.6906976744186046,0.875,0.4998332777592532,0.7071592856533574
Natural Rubber,Elastomer,23.485772765242416,167.67930077470683,7,2.9767045678995876,90,247.66049559407747,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Natural Rubber,Elastomer,23.811301165967812,147.4828120784866,7,2.9854986972375133,90,239.1404011652343,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Wheat Straw,Bio-Fiber,19.736061862060946,148.8456104266843,8,1.964722820647054,80,87.4873268756685,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Recycled Steel,Metal,640.4973789428294,1895.273154617,1,2.950382460296144,90,51.61832992928122,"Construction, Automotive, Heavy Machinery",6,0.9279069767441861,0.75,1.0000000000000002,0.8783720930232559
Air Pillows (Recycled),Plastic,15.445890522317624,10.900955061078578,2,6.029847882955403,90,24.556418216142607,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Air Pillows (Recycled),Plastic,16.223013276921336,9.75306767964215,2,6.11268599206624,90,25.52318347695858,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Natural Rubber,Elastomer,24.119853335593916,168.56570720270017,7,3.0272854021108326,90,249.3263407647224,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Air Pillows (Recycled),Plastic,14.016198492437464,9.688297486367558,2,6.025856146309941,90,24.7057095077034,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Organic Cotton,Textile,0.48813607600842057,32.352191451005424,9,1.0078181611625805,95,311.897686889536,"Fashion, Textiles, Medical",11,0.2953488372093023,1.0,0.0005001667222407469,0.48875470117946296
Recycled PET,Plastic,23.29313751295226,266.4609502236483,2,5.019752892691671,98,78.79936591949065,"Beverages, Textiles, Packaging",10,0.8686046511627907,0.5,0.04134711570523508,0.4729855300604078
Mushroom Mycelium,Bio-Composite,0.19138907371501876,19.896686425998663,10,1.0012300442765607,100,433.24990596889995,"Electronics, Cosmetics, Glassware",0,0.05813953488372092,1.0,0.0,0.4174418604651163
Seaweed Packaging,Edible Film,1.8137599472981631,4.70824952159602,10,0.9948084352676441,100,457.39661973255744,"Food (Wrappers), Personal Care",3,0.0,1.0,0.003001000333444482,0.40090030010003336
Bagasse Fiber,Bio-Fiber,20.55739527439006,146.60024496257293,9,1.971007090693637,85,102.33410404397692,"Food Packaging, Disposable Utensils",1,0.8093023255813954,0.875,0.033011003667889297,0.6026939987747854
Mushroom Mycelium,Bio-Composite,0.19366915897434933,21.895581335855177,10,0.9992472975593868,100,415.8411851442512,"Electronics, Cosmetics, Glassware",0,0.05813953488372092,1.0,0.0,0.4174418604651163
Organic Cotton,Textile,0.49689746742334295,27.103306849271814,9,1.0182856270344292,95,321.09440163464853,"Fashion, Textiles, Medical",11,0.2953488372093023,1.0,0.0005001667222407469,0.48875470117946296
Organic Cotton,Textile,0.4898580396593878,27.011198203728206,9,1.0046381953438126,95,335.8192931635176,"Fashion, Textiles, Medical",11,0.2953488372093023,1.0,0.0005001667222407469,0.48875470117946296
Kraft Paper,Paper,33.71153213566232,14.195816772169811,9,1.9698727706593824,100,41.579982882333766,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
Seaweed Packaging,Edible Film,2.0836764129896554,5.232816152222313,10,1.00060712798185,100,436.19270490386975,"Food (Wrappers), Personal Care",3,0.0,1.0,0.003001000333444482,0.40090030010003336
Bagasse Fiber,Bio-Fiber,18.097035174755852,159.96498137390665,9,2.0356952554622154,85,105.82749874366507,"Food Packaging, Disposable Utensils",1,0.8093023255813954,0.875,0.033011003667889297,0.6026939987747854
Corrugated Cardboard,Paper,5.289744331175237,52.22351471941781,8,0.9819087025002939,100,35.18771775929758,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Styrofoam (EPS),Plastic,0.4346485663069535,9.861009832203328,1,9.042597947728082,10,19.935852480985613,"Electronics, Logistics (Avoid if possible)",10,1.0,0.0,0.00033344448149383137,0.3001000333444481
Wheat Straw,Bio-Fiber,17.097126488387616,150.5988537738495,8,1.97376375002377,80,82.3269922797816,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Seaweed Packaging,Edible Film,1.9071947618583676,4.7030789304033185,10,1.0093015832432624,100,448.57498814733265,"Food (Wrappers), Personal Care",3,0.0,1.0,0.003001000333444482,0.40090030010003336
Silicone (Food Grade),Elastomer,10.102080260960415,79.78807353241032,1,4.94369371048468,50,296.6805370789014,"Kitchenware, Medical, Baby Products",4,0.34883720930232553,0.5,0.01633877959319773,0.309552796668657
Corrugated Cardboard,Paper,5.081709927497242,46.12146502130949,8,0.9934704379066022,100,34.30954365906138,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Kraft Paper,Paper,34.29862329868686,16.053755943801416,9,2.0252853029090936,100,39.13481147261111,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
Recycled PET,Plastic,24.041528507743756,255.50589865080215,2,4.91139439187839,98,77.84636905251051,"Beverages, Textiles, Packaging",10,0.8686046511627907,0.5,0.04134711570523508,0.4729855300604078
Corrugated Cardboard,Paper,5.472697347668724,46.646808231947,8,0.9962636865283055,100,33.10927623847562,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Kraft Paper,Paper,34.371685845716634,14.160590191812927,9,1.9885023033220313,100,39.954080267133506,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
Silicone (Food Grade),Elastomer,10.226843860277677,79.05147151622276,1,5.018553761968604,50,312.50959302790284,"Kitchenware, Medical, Baby Products",4,0.34883720930232553,0.5,0.01633877959319773,0.309552796668657
Recycled Glass,Glass,70.52010840167588,526.9413178572626,1,4.042139757172517,100,62.28431532026645,"Food & Beverage, Cosmetics, Construction",5,0.9081395348837209,0.625,0.11637212404134713,0.5573534976775203
Air Pillows (Recycled),Plastic,15.533107214397802,10.846537556118566,2,6.006705772637154,90,24.022401042211264,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Mushroom Mycelium,Bio-Composite,0.21521531259125296,18.743577113814172,10,0.9993337570315182,100,424.20385973511986,"Electronics, Cosmetics, Glassware",0,0.05813953488372092,1.0,0.0,0.4174418604651163
Kraft Paper,Paper,35.830843702948044,14.757901787427594,9,2.0069219303907944,100,41.77853861631558,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
Seaweed Packaging,Edible Film,1.873241296914738,4.75333348210359,10,0.9831582124168913,100,450.4481577708136,"Food (Wrappers), Personal Care",3,0.0,1.0,0.003001000333444482,0.40090030010003336
Jute Composite,Natural Fiber,33.98166153493219,173.2371632100096,8,2.0362490507500324,75,123.6998166716121,"Textiles, Packaging, Agriculture",7,0.75,0.875,0.05801933977992665,0.592405801933978
Corrugated Cardboard,Paper,5.0901578511181835,53.582767491441764,8,0.9956391911099453,100,32.63967317081316,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Silicone (Food Grade),Elastomer,10.064293455678078,84.14095952789152,1,4.956430876275621,50,300.95871907393536,"Kitchenware, Medical, Baby Products",4,0.34883720930232553,0.5,0.01633877959319773,0.309552796668657
Seaweed Packaging,Edible Film,2.0742097655336384,5.200846419043876,10,1.012408812030101,100,442.19551351850055,"Food (Wrappers), Personal Care",3,0.0,1.0,0.003001000333444482,0.40090030010003336
Corrugated Cardboard,Paper,5.242322472008621,52.384884790252265,8,0.9809454348981742,100,35.32727695984148,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Recycled Aluminum,Metal,290.58390083335655,881.192384933064,1,1.9923929335227735,95,158.40942596372466,"Food & Beverage, Construction, Electronics",6,0.6906976744186046,0.875,0.4998332777592532,0.7071592856533574
Hemp Fiber Board,Natural Fiber,58.09604239757557,278.7827951192225,8,1.9733333034326475,70,342.9562269463815,"Automotive, Furniture, Packaging",7,0.2558139534883721,0.875,0.09969989996665557,0.45665415603650833
PLA Bioplastic,Bioplastic,45.36152269108932,203.60375614708235,7,4.017952780980593,60,163.31428414180465,"Food Packaging, Electronics, 3D Printing",2,0.6511627906976745,0.625,0.083027675891964,0.4702571399768915
Cork Sheet,Natural Wood,15.264350667488081,115.63899680162959,10,0.9878504872728684,70,274.5392653482069,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Cork Sheet,Natural Wood,14.784705103913463,130.12767474101287,10,1.0110461014570422,70,283.2702550133915,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Styrofoam (EPS),Plastic,0.4069618364637931,10.74185248344509,1,9.15361079175225,10,20.704561155690342,"Electronics, Logistics (Avoid if possible)",10,1.0,0.0,0.00033344448149383137,0.3001000333444481
Corrugated Cardboard,Paper,5.284381481599519,46.36476437412588,8,0.9952485462436506,100,35.68303862000715,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Bamboo Composite,Natural Fiber,133.07599305958092,483.45677446429795,9,2.019925833849609,80,204.60346482742574,"Construction, Furniture, Home Decor",7,0.5523255813953488,0.875,0.2330776925641881,0.5856209821878611
Wheat Straw,Bio-Fiber,17.63431122361537,129.98803250609046,8,2.0259505002870375,80,88.91531014988463,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Recycled Glass,Glass,69.96641433921329,542.6870016966296,1,4.041368571260617,100,58.68575123754259,"Food & Beverage, Cosmetics, Construction",5,0.9081395348837209,0.625,0.11637212404134713,0.5573534976775203
Recycled Glass,Glass,71.05930134702677,501.53103152460443,1,4.062219585752403,100,57.826707999181025,"Food & Beverage, Cosmetics, Construction",5,0.9081395348837209,0.625,0.11637212404134713,0.5573534976775203
Recycled Aluminum,Metal,270.5692866921585,951.2019359568395,1,1.9795824328114522,95,160.10038931843553,"Food & Beverage, Construction, Electronics",6,0.6906976744186046,0.875,0.4998332777592532,0.7071592856533574
Jute Composite,Natural Fiber,34.971595337043624,171.13572353237922,8,2.011813596233569,75,124.66442534350878,"Textiles, Packaging, Agriculture",7,0.75,0.875,0.05801933977992665,0.592405801933978
Air Pillows (Recycled),Plastic,16.446789392358333,9.120900826816765,2,6.0220806745623054,90,24.628336994790068,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Mushroom Mycelium,Bio-Composite,0.2056130542044563,19.940781676260045,10,1.0196449422815916,100,428.60568322235696,"Electronics, Cosmetics, Glassware",0,0.05813953488372092,1.0,0.0,0.4174418604651163
Jute Composite,Natural Fiber,31.665146331472837,191.65951793910173,8,1.9690180534701573,75,132.8223692028624,"Textiles, Packaging, Agriculture",7,0.75,0.875,0.05801933977992665,0.592405801933978
Organic Cotton,Textile,0.5050608337957362,31.28159281558536,9,1.006095337608823,95,333.49849406890513,"Fashion, Textiles, Medical",11,0.2953488372093023,1.0,0.0005001667222407469,0.48875470117946296
Jute Composite,Natural Fiber,33.8010811883027,167.7563485141979,8,2.033683799301786,75,122.15022309856612,"Textiles, Packaging, Agriculture",7,0.75,0.875,0.05801933977992665,0.592405801933978
PLA Bioplastic,Bioplastic,47.892826330073405,204.99611810316853,7,3.975954186185083,60,164.03939730211835,"Food Packaging, Electronics, 3D Printing",2,0.6511627906976745,0.625,0.083027675891964,0.4702571399768915
Air Pillows (Recycled),Plastic,16.286281022828593,10.583924201196986,2,5.988508923474556,90,26.238662373628003,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Recycled Aluminum,Metal,290.8589332474482,927.9235958607043,1,2.026117939284215,95,153.29274022604676,"Food & Beverage, Construction, Electronics",6,0.6906976744186046,0.875,0.4998332777592532,0.7071592856533574
Recycled Glass,Glass,70.00731313047703,531.1228168543249,1,4.0583755523550336,100,61.21381116929196,"Food & Beverage, Cosmetics, Construction",5,0.9081395348837209,0.625,0.11637212404134713,0.5573534976775203
Bamboo Composite,Natural Fiber,140.49943880359572,454.2240223424976,9,2.0218200528829535,80,203.39115110048482,"Construction, Furniture, Home Decor",7,0.5523255813953488,0.875,0.2330776925641881,0.5856209821878611
Air Pillows (Recycled),Plastic,14.740149220251737,10.286819171571056,2,6.1157551697089545,90,25.403512711934145,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Organic Cotton,Textile,0.47468640236542253,30.833061159615713,9,1.0197269348918798,95,308.16408642365116,"Fashion, Textiles, Medical",11,0.2953488372093023,1.0,0.0005001667222407469,0.48875470117946296
Air Pillows (Recycled),Plastic,14.97029422645511,9.436430520735575,2,6.005671089531711,90,25.350615927687727,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Recycled Aluminum,Metal,296.9436329426729,952.7930671679666,1,2.0083913006426175,95,154.2694982972367,"Food & Beverage, Construction, Electronics",6,0.6906976744186046,0.875,0.4998332777592532,0.7071592856533574
Recycled PET,Plastic,22.790185283133884,251.41894981281865,2,4.982113188607787,98,78.1986154701257,"Beverages, Textiles, Packaging",10,0.8686046511627907,0.5,0.04134711570523508,0.4729855300604078
Natural Rubber,Elastomer,24.38390125357821,168.43976521613826,7,2.945128651423564,90,243.54093332929068,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Kraft Paper,Paper,32.23898878396052,13.830400536542763,9,2.034224072617063,100,38.35660155481027,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
Cork Sheet,Natural Wood,14.877707030716241,114.96314004291592,10,1.0143558730338793,70,273.96194281068944,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Silicone (Food Grade),Elastomer,9.855451193769902,73.78840745113001,1,4.994086342219684,50,309.1813549963644,"Kitchenware, Medical, Baby Products",4,0.34883720930232553,0.5,0.01633877959319773,0.309552796668657
Wheat Straw,Bio-Fiber,18.347300749519775,149.11258729940585,8,2.0309937438313734,80,85.23634869397577,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Air Pillows (Recycled),Plastic,16.40419147267545,10.20027132579968,2,5.883786424892351,90,23.97988709433719,"Logistics, Electronics, E-commerce",10,0.9883720930232558,0.375,0.024674891630543518,0.4539140953961398
Recycled Aluminum,Metal,316.18541493034513,934.3928771295974,1,2.0040072150707715,95,149.75354980804366,"Food & Beverage, Construction, Electronics",6,0.6906976744186046,0.875,0.4998332777592532,0.7071592856533574
Cork Sheet,Natural Wood,16.320964121202376,115.8117922121713,10,1.0008371427777247,70,281.24214519178474,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Wheat Straw,Bio-Fiber,18.168036581261255,136.32777892594862,8,2.0167270086226194,80,82.19944344302066,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Bamboo Composite,Natural Fiber,133.1639496134832,462.76704743883334,9,2.0359648665266126,80,214.71095092324842,"Construction, Furniture, Home Decor",7,0.5523255813953488,0.875,0.2330776925641881,0.5856209821878611
Corrugated Cardboard,Paper,5.383011240158662,48.587486912820914,8,0.9810269068139174,100,33.746361753424495,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Natural Rubber,Elastomer,26.14375418865954,151.59811105283384,7,2.971887619687429,90,236.71176575006177,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Mushroom Mycelium,Bio-Composite,0.21373017188221421,19.36250346864432,10,1.0132423015911511,100,416.511035621472,"Electronics, Cosmetics, Glassware",0,0.05813953488372092,1.0,0.0,0.4174418604651163
Bamboo Composite,Natural Fiber,151.9244193251925,474.99003668088267,9,2.018655151562023,80,203.5021976691984,"Construction, Furniture, Home Decor",7,0.5523255813953488,0.875,0.2330776925641881,0.5856209821878611
Natural Rubber,Elastomer,27.213396732181593,147.73697189862136,7,2.995713733557147,90,248.31763153268935,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Natural Rubber,Elastomer,24.765340668579416,151.30918662954107,7,3.0471396613276815,90,228.2422842751735,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Styrofoam (EPS),Plastic,0.4111752360031156,10.525038909765858,1,8.955814925155481,10,20.34578951819363,"Electronics, Logistics (Avoid if possible)",10,1.0,0.0,0.00033344448149383137,0.3001000333444481
Natural Rubber,Elastomer,27.135529971497224,150.46724108683182,7,3.0112145883431207,90,231.2843662567412,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Recycled Steel,Metal,585.2585762531486,2127.5527392040913,1,2.9418238272296766,90,52.9579180037881,"Construction, Automotive, Heavy Machinery",6,0.9279069767441861,0.75,1.0000000000000002,0.8783720930232559
Wheat Straw,Bio-Fiber,17.029033770122293,152.3404930190108,8,1.9933647156434127,80,85.18013892953275,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Wheat Straw,Bio-Fiber,19.365182475588988,143.534289696693,8,1.994375563686951,80,88.98852002704263,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Corrugated Cardboard,Paper,5.113923865853412,48.799410183853034,8,0.9866645242291375,100,35.691611488453695,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Silicone (Food Grade),Elastomer,10.848419151669326,76.19039975879234,1,4.974419390289096,50,292.2843106850983,"Kitchenware, Medical, Baby Products",4,0.34883720930232553,0.5,0.01633877959319773,0.309552796668657
Cork Sheet,Natural Wood,13.819743476274837,126.10214571389724,10,0.9967674852199593,70,271.17082450931855,"Home Decor, Flooring, Fashion",8,0.413953488372093,1.0,0.024674891630543518,0.531588514000791
Recycled PET,Plastic,25.028395519336144,269.33719773028946,2,5.014311288485943,98,74.78123218511848,"Beverages, Textiles, Packaging",10,0.8686046511627907,0.5,0.04134711570523508,0.4729855300604078
Natural Rubber,Elastomer,27.461332242275844,164.1258583632032,7,3.048373856915062,90,237.3503042277637,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Silicone (Food Grade),Elastomer,9.300444775482875,73.87386858983888,1,4.934324423672389,50,305.15095108848027,"Kitchenware, Medical, Baby Products",4,0.34883720930232553,0.5,0.01633877959319773,0.309552796668657
Corrugated Cardboard,Paper,4.904211014803409,53.66733199391801,8,1.0004392885430984,100,32.80627612822998,"Logistics, Retail, Electronics",9,0.9674418604651163,1.0,0.008002667555851951,0.6926333584062905
Wheat Straw,Bio-Fiber,19.173699162155952,126.58975582126237,8,2.020373046484221,80,81.62091604606276,"Food Packaging, Paper Products",1,0.8488372093023255,0.875,0.029676558852950986,0.6135541304465829
Recycled Glass,Glass,66.73280664379308,516.2527558550457,1,3.940057064182254,100,61.30169144513527,"Food & Beverage, Cosmetics, Construction",5,0.9081395348837209,0.625,0.11637212404134713,0.5573534976775203
Hemp Fiber Board,Natural Fiber,63.31310713483911,298.4016068354054,8,2.0002232774304396,70,339.5717179666749,"Automotive, Furniture, Packaging",7,0.2558139534883721,0.875,0.09969989996665557,0.45665415603650833
Natural Rubber,Elastomer,27.042953422450267,171.32553213310982,7,3.0072490933910316,90,241.40080359640436,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Natural Rubber,Elastomer,25.903529510223443,161.30909135325854,7,3.0319857446094174,90,232.80047581145104,"Automotive, Footwear, Industrial",4,0.49302325581395345,0.75,0.04134711570523508,0.46031111145575665
Mushroom Mycelium,Bio-Composite,0.20212423246308747,19.374404529019124,10,1.0171588147449628,100,424.19478588658177,"Electronics, Cosmetics, Glassware",0,0.05813953488372092,1.0,0.0,0.4174418604651163
Organic Cotton,Textile,0.5494263960978651,32.13832641259679,9,1.0060383434897238,95,332.8771982000278,"Fashion, Textiles, Medical",11,0.2953488372093023,1.0,0.0005001667222407469,0.48875470117946296
Recycled Aluminum,Metal,290.7570804332892,888.4235440709076,1,1.9628834979645702,95,160.0814607910124,"Food & Beverage, Construction, Electronics",6,0.6906976744186046,0.875,0.4998332777592532,0.7071592856533574
Recycled Glass,Glass,70.4724988781703,546.2677687411314,1,4.030500134129581,100,62.16146354757751,"Food & Beverage, Cosmetics, Construction",5,0.9081395348837209,0.625,0.11637212404134713,0.5573534976775203
Organic Cotton,Textile,0.5105621261437769,29.245766976061844,9,1.0188378735649524,95,323.43168940236876,"Fashion, Textiles, Medical",11,0.2953488372093023,1.0,0.0005001667222407469,0.48875470117946296
Jute Composite,Natural Fiber,36.66222798813732,167.69402372067805,8,1.9747506645425943,75,133.7033563241822,"Textiles, Packaging, Agriculture",7,0.75,0.875,0.05801933977992665,0.592405801933978
Bagasse Fiber,Bio-Fiber,20.95921126491885,162.76939329727753,9,1.989630169623043,85,104.90433166186152,"Food Packaging, Disposable Utensils",1,0.8093023255813954,0.875,0.033011003667889297,0.6026939987747854
Bagasse Fiber,Bio-Fiber,18.453540147666722,162.39191911495803,9,1.9972511495125138,85,103.05282615635703,"Food Packaging, Disposable Utensils",1,0.8093023255813954,0.875,0.033011003667889297,0.6026939987747854
Kraft Paper,Paper,37.49462564069576,13.811418288248042,9,2.009417273950606,100,39.42269701408166,"Retail, Food, Fashion",9,0.9534883720930233,0.875,0.05801933977992665,0.653452313561885
