Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Material_Type_Aluminum,Material_Type_Bamboo,Material_Type_Cotton,Material_Type_Glass,Material_Type_Paper,Material_Type_Plastic,Material_Type_Steel,Material_Type_Wood,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score,Predicted_Cost,Predicted_CO2,Cost_Score,CO2_Score,Material_Rank,Material_Rank_Position
M-1382,Paper,0.0094135492649847,0.1520640269587194,0.51,0.1350963509635096,0.609009009009009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0528214561424893,0.0619047617539316,0.3394681224086966,0.09750057533267435,0.08969015,0.010448584069870613,0.1089297,0.9403108573903328,18
M-1382,Paper,0.0094135492649847,0.1520640269587194,0.51,0.1350963509635096,0.609009009009009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0528214561424893,0.0619047617539316,0.3394681224086966,0.09750057533267435,0.08969015,0.010448584069870613,0.1089297,0.9403108573903328,19
M-0389,Aluminum,0.4791764259742577,0.9511373209772536,0.67,0.0137351373513735,0.6695695695695696,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045385073470354,0.5037925771741849,0.593541441260574,0.6701024556243149,0.02334594,0.07817526487706523,0.042577587,0.9396235740274269,20
M-0291,Aluminum,0.5383122532289366,0.658803706823926,0.87,0.1033210332103321,0.7845845845845847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222569432901536,0.8171044433245184,0.71170027666695,1.0333657137638141,-0.019226577,0.12114161825415277,0.0,0.9394291908729236,21
M-0946,Bamboo,0.0652033282027259,0.5058972198820556,0.88,0.1527265272652726,0.6785785785785786,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490895774823614,0.1288862574332191,0.4936549048546639,0.3132681186675665,0.06750203,0.03596931677957092,0.08673893,0.9386458770339702,22
M-0664,Wood,0.0540721408017131,0.9672493681550128,0.64,0.4169741697416974,0.8257257257257258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0726678708228523,0.0559029415567485,0.4613465740384029,0.10283819973900549,0.09355852,0.011079912042898155,0.112798534,0.938060776811698,23
M-0110,Bamboo,0.062727252448192,0.1421651221566975,0.83,0.496719967199672,0.6343343343343344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1816334374554956,0.4412250365741361,0.4643912012795771,0.33803189403672396,0.06713754,0.03889834717177602,0.08637441,0.9373636216657198,24
M-0534,Aluminum,0.0065805616899774,0.79349199663016,0.06,0.104141041410414,0.622922922922923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392691994988017,0.0082931566099815,0.2075091015528678,0.015192269041807569,0.10622856,0.0007132538521229404,0.12547009,0.9369083296078473,25
M-0734,Cotton,0.0025429967208726,0.8175021061499579,0.57,0.0407954079540795,0.4965965965965966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0205365472073139,0.0031106875334687,0.320996177667328,0.009744107020265104,0.1085754,6.885161922955048e-05,0.12781721,0.9360569674227308,26
M-0879,Steel,0.0938008878181534,0.9518744734625106,0.65,0.1480114801148011,0.901901901901902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0145196446959464,0.0985432343129363,0.503090925697832,0.25803818089783337,0.080718726,0.0294367843253869,0.09995721,0.9353030014344326,27
M-1000,Glass,0.1343996073969974,0.6316343723673127,0.8,0.0826158261582615,0.6628628628628628,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0278528631132157,0.2127803686694742,0.4926187018176577,0.3003986455125471,0.08068618,0.0344471305442012,0.09992466,0.9328141041183394,28
M-0450,Wood,0.1273505989426487,0.773272957034541,0.62,0.2896678966789668,0.948048048048048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0150488126502886,0.1646901434920046,0.521354653991474,0.24623831346868685,0.08921478,0.028041109804489442,0.10845427,0.9317523090222586,29
M-1221,Aluminum,0.0210577974079279,0.0191659646166807,0.48,0.6570315703157031,0.9834834834834836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108518727829921,1.098650612085005,0.4474681640082162,0.050048443563861754,0.11356885,0.004836001414203374,0.13281123,0.931176382592249,30
M-0921,Steel,0.378839590443686,0.6554338668913227,0.36,0.04920049200492,0.7703703703703705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0112978907566853,0.5779973107633,0.4906469472885855,0.5935515328591379,0.04964095,0.06912091125012161,0.06887573,0.9310016793560946,31
M-0921,Steel,0.378839590443686,0.6554338668913227,0.36,0.04920049200492,0.7703703703703705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0112978907566853,0.5779973107633,0.4906469472885855,0.5935515328591379,0.04964095,0.06912091125012161,0.06887573,0.9310016793560946,32
M-0967,Steel,0.0547636574538802,0.1653327716933445,0.6,0.1502665026650266,0.2233233233233233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1167084879056998,0.3312309209001416,0.2689024599785491,0.24942326473319787,0.0904673,0.02841782211561239,0.10970694,0.9309376198088167,33
M-0027,Wood,0.2268843828771554,0.7438921651221567,0.82,0.1629766297662976,0.7373373373373374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0428078755262027,0.3049959234937964,0.5579549543520633,0.4865691998634862,0.062721096,0.05646716600723983,0.08195743,0.9307877021726573,34
M-1211,Aluminum,0.1155502018782484,0.2753791069924178,0.55,0.2626076260762607,0.8795795795795796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316233207377118,0.4196025745658888,0.4750939546251732,0.4020215097338584,0.07301841,0.04646696408775184,0.09225597,0.9306385317932232,35
M-1172,Glass,0.0,0.6240522325189555,0.74,0.4635096350963509,0.7126126126126126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1332068230592216,0.0,0.4357837837837838,0.0677294207386554,0.11289454,0.006927286718517498,0.13213685,0.930467930866167,36
M-1488,Aluminum,0.1828057730486961,0.7514743049705139,0.66,0.0,0.7932932932932932,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2432625155338524,0.5091102972074665,0.8451978291059679,0.02369218,0.09888534089806703,0.042923868,0.9290953956997244,37
M-0332,Aluminum,0.0865065024872292,0.8890058972198821,0.23,0.3599835998359983,0.7656656656656657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084356517238846,0.097306896895574,0.3333023006945914,0.17163962998781013,0.10417137,0.019217664757167897,0.12341265,0.9286848444447937,38
M-1248,Wood,0.0659840728100113,0.8864785172704298,0.33,0.022140221402214,0.4555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0120541205412054,0.0744338380351796,0.2620602957906712,0.17814972622565223,0.10405107,0.019987671327352203,0.123292334,0.9283599971474411,39
M-0836,Aluminum,0.1337303977336099,0.6803917438921652,0.97,0.4559245592455924,0.6755755755755757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1479130627142106,0.1965488299722443,0.5471648317661166,0.28149010177045447,0.09770198,0.03221065010180842,0.11694249,0.9254234311205607,40
M-0322,Steel,0.2312565526779539,0.9064869418702612,0.68,0.0617056170561705,0.4326326326326327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0350097535009384,0.255112662834573,0.4262924108609714,0.5338752962108777,0.06839628,0.06206247576403344,0.08763329,0.9251521174196018,41
M-1337,Glass,0.1026344553748689,0.4541912384161752,0.77,0.4688396883968839,0.9513513513513514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0228084172733618,0.2259713986587882,0.557459187555353,1.0273047336890329,0.0105456,0.1204247326185443,0.029775724,0.9248997717832457,42
M-1261,Bamboo,0.0305159606504717,0.3354043807919123,0.17,0.0485854858548585,0.4773773773773774,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253918740388605,0.0909823228787258,0.2064195974734019,0.08700258169060532,0.12190241,0.00920689365811325,0.1411458,0.9248236553790808,43
M-0370,Bamboo,0.1267706172343795,0.3135004212299916,0.71,0.1894218942189421,0.5722722722722723,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0810209963961501,0.4043701516152865,0.4353899285754335,0.3017886360695684,0.09657329,0.03461153700184756,0.115813665,0.9247873989530805,44
M-0129,Aluminum,0.0239577059492739,0.446609098567818,0.56,0.8097580975809757,0.7693693693693694,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867550207033601,0.0536434487847477,0.4083938931905204,0.05727944689532376,0.12572783,0.005691276032401021,0.14497168,0.9246685201730962,45
M-0589,Paper,0.0692408931718307,0.7613732097725359,0.38,0.6031160311603115,0.6546546546546547,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2082833140643718,0.0909419997198444,0.3380927536651287,0.20363173460173833,0.10926653,0.023001653479723837,0.1285084,0.9242449713114953,46
M-0284,Bamboo,0.1178032077449865,0.4918913226621735,0.99,0.490159901599016,0.5871871871871872,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023442877071413,0.2394898279920756,0.5202774392541507,0.38563259416143586,0.088664785,0.04452850231884499,0.10790422,0.9237836397719454,47
M-0853,Steel,0.2242967721787235,0.9149115417017692,0.91,0.3167281672816728,0.5805805805805806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1328419440350559,0.2451565171043822,0.5368928830456636,0.4758366188560613,0.07897352,0.05519772887623181,0.098211795,0.9232952380160696,48
M-0149,Aluminum,0.0098150750630172,0.64606149957877,0.54,0.3923739237392373,0.3202202202202202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2667278594707868,0.0151921448302859,0.2619920960912729,0.02269681983338158,0.13288306,0.001600883344019551,0.15212776,0.9231356794937426,49
M-1156,Aluminum,0.2000267683865355,0.8069713563605728,0.16,0.8886838868388683,0.9928928928928928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063159715681241,0.247873135690362,0.425878575222482,0.35090012571531803,0.09446257,0.04042038656676592,0.11370269,0.9229384606708846,50
M-1156,Aluminum,0.2000267683865355,0.8069713563605728,0.16,0.8886838868388683,0.9928928928928928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063159715681241,0.247873135690362,0.425878575222482,0.35090012571531803,0.09446257,0.04042038656676592,0.11370269,0.9229384606708846,51
M-0131,Paper,0.2287135559570813,0.8227674810446504,0.5,0.2214022140221402,0.7677677677677678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05141673038352,0.277980454072194,0.4718157527131628,0.7235710188225865,0.05110043,0.08449946400666687,0.07033538,0.9225825776301599,52
M-0445,Paper,0.0426732695353454,0.9638795282224096,0.62,0.7544075440754408,0.8133133133133132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1408378448148846,0.0442723639350237,0.4470633018081321,0.059570552249503604,0.13156606,0.005962265294502574,0.1508106,0.921613567689205,53
M-0228,Wood,0.048383858662919,0.7908593091828138,0.55,0.6927019270192701,0.8285285285285287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.118778618717118,0.0611787670984696,0.4329121020237262,0.06955553843722644,0.13067977,0.00714327778446457,0.1499242,0.921466259231032,54
M-0125,Steel,0.0222400678132458,0.6732308340353834,0.04,0.482369823698237,0.8565565565565566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0691927885244818,0.033034783396884,0.2778629940922653,0.15104409744278957,0.12305185,0.01678164925190907,0.14229538,0.9204614876408721,55
M-0134,Steel,0.1012737290593142,0.4918913226621735,0.22,0.005330053300533,0.4657657657657658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0028474969434379,0.2058859721802732,0.2462392213534554,0.35355918459322283,0.0996235,0.04073489694137327,0.11886424,0.9202004323982251,56
M-1294,Aluminum,0.1119810836735149,0.3427759056444818,0.67,0.2658876588765888,0.7056056056056057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0782758363119166,0.3266879472611215,0.4574741151510877,0.4371582692325697,0.089970134,0.050622898912758604,0.10920972,0.9200836923836018,57
M-0686,Wood,0.0268576144906199,0.4918913226621735,0.5,0.7320623206232062,0.8973973973973974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0751114993632418,0.0546005970275438,0.4299622650154672,0.04897290433431955,0.13626772,0.004708787891855665,0.15551282,0.9198891937267826,58
M-1500,Bamboo,0.1121372325949719,0.8850042122999159,0.48,0.4059040590405903,0.7983983983983984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081830908399174,0.1267079911355033,0.4283744125575083,0.28151171000865616,0.11036193,0.0322132058989545,0.12960395,0.9190914209658136,59
M-0561,Paper,0.0771821811773628,0.2474726200505476,0.28,0.1633866338663386,0.9676676676676677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0052826709448275,0.3118804386568478,0.4051731727712454,0.2863081990139149,0.10993672,0.032780529009540385,0.12917867,0.9190203989807568,60
M-1235,Plastic,0.1307635682259251,0.5834035383319293,0.55,0.1918819188191882,0.4389389389389389,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1076574729711261,0.2241387573017592,0.3489871089720517,0.25569649770598224,0.113983914,0.0291598127757907,0.13322636,0.9188069111866057,61
M-1009,Paper,0.1069173972205491,0.3920598146588037,0.46,0.8362033620336202,0.8924924924924926,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0898981392216323,0.2727061548183425,0.4485147066359675,0.4181817594835248,0.094939776,0.04837837953054214,0.11417995,0.9187208369936382,62
M-0203,Bamboo,0.1728122420754422,0.5579191238416176,0.97,0.2105371053710537,0.447047047047047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1164171141210911,0.309743697512693,0.494239010944291,0.30985272891780524,0.10922984,0.03556534847388455,0.12847172,0.9179814671438447,63
M-0073,Aluminum,0.3315264672421869,0.608150800336984,0.81,0.4028290282902829,0.975975975975976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00967757425322,0.5451376894033434,0.6684033796896676,0.9719389976031405,0.031161727,0.11387613809832588,0.050394308,0.9178647770398425,64
M-1395,Aluminum,0.4697405697204934,0.7608466722830666,0.41,0.2650676506765067,0.9516516516516516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012815583110786,0.6173910847501819,0.5963917233836928,0.7330842596568425,0.060156845,0.08562467900787411,0.07939287,0.9174912241206834,65
M-0185,Aluminum,0.1691092819380312,0.9615627632687448,0.31,0.5949159491594916,0.9483483483483484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307283913679976,0.1758690254332798,0.445148217279717,0.20356158173413147,0.12409147,0.02299335588057921,0.14333512,0.916835762614806,66
M-0855,Bamboo,0.0664525195743826,0.2588458298230833,0.75,0.1234112341123411,0.3203203203203204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0838801080703499,0.2567252595668319,0.3476771039258491,0.3476652454176958,0.109078124,0.040037768707992985,0.12832,0.9158211188384283,67
M-0826,Paper,0.0928416873006312,0.8664700926705982,0.31,0.0313653136531365,0.1685685685685685,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0260781076279231,0.1071492033444287,0.1807072454908231,0.27611516486195037,0.11757568,0.03157490884965665,0.13681854,0.9158032740369141,68
M-0539,Steel,0.0300921278636596,0.9518744734625106,0.35,1.0,0.9491491491491492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0508508508508508,0.0316135132195365,0.4017815958902086,0.043720873274113954,0.1454904,0.00408758379971603,0.1647366,0.9155879087350983,69
M-0786,Aluminum,0.1191193200829819,0.2764321819713563,0.59,0.2328823288232882,0.7018018018018017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694450908473049,0.4309154177276916,0.4351882685737333,0.41265203830026115,0.10200707,0.04772433057537466,0.12124808,0.9155137940490703,70
M-1387,Aluminum,0.0764683575364161,0.9211246840775064,0.6,0.9071340713407132,0.3963963963963964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475493944128631,0.083016203823475,0.3295062619334853,0.3053268514388683,0.114744544,0.03503003297818218,0.13398708,0.9154914414953563,71
M-1323,Steel,0.2024359231747305,0.8404591406908173,0.49,0.075030750307503,0.7332332332332332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0200157106676171,0.240863205015693,0.4479443392398622,0.32389067725074644,0.112892255,0.037225740586898155,0.13213457,0.915319843870808,72
M-0831,Steel,0.2296058355082647,0.7368365627632688,0.93,0.4454694546945469,0.6722722722722724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1459926921591537,0.3116098406373352,0.5725240158849876,0.37113328968949105,0.10772193,0.04281354154121432,0.12696363,0.915111414070072,73
M-1201,Steel,0.0857034508911642,0.4549283909014321,0.4,0.8409184091840919,0.950950950950951,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0412462482983188,0.1883884677605568,0.4395666656417509,0.19045164389947244,0.12927671,0.021442727764098193,0.14852098,0.9150181479654469,74
M-0872,Cotton,0.0571281982645162,0.2476832350463352,0.76,0.1102911029110291,0.4773773773773774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0576406254553036,0.2306493114260141,0.3940644925190196,0.21201161431028429,0.12686287,0.02399281585232086,0.14610685,0.9149501650332627,75
M-0537,Cotton,0.0849673202614379,0.9610362257792756,0.87,0.2669126691266912,0.5452452452452453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1213798053896454,0.0884121009907192,0.4585605016781487,0.24294834744230878,0.1234358,0.027651976470135852,0.14267936,0.9148343300203565,76
M-0515,Plastic,0.0084320417586829,0.1343723673125526,0.66,0.8747437474374744,0.8065065065065066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.169257223603267,0.0627508406414348,0.4433247686554251,0.05041553735274884,0.14688514,0.0048794208382779095,0.16613151,0.9144945339155588,77
M-0766,Glass,0.004349862812019,0.3341406908171861,0.41,0.7529725297252973,0.8212212212212212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1346155093182563,0.0130180187972978,0.3711063114911739,0.0413148210865966,0.14848326,0.003802998760584751,0.16772981,0.9142335956795793,78
M-1141,Wood,0.0963215775502464,0.3231887110362257,0.32,0.0846658466584665,0.1504504504504504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0719278318909315,0.2980341708324061,0.1796637661552337,0.3277152925404956,0.1147684,0.037678111610910905,0.13401094,0.9141554737994564,79
M-0441,Aluminum,0.0643779696178812,0.5311710193765796,0.75,0.2300123001230012,0.5602602602602603,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1011455489930274,0.1211998510264899,0.4188292659252306,0.23904921293746673,0.12608132,0.02719079140050378,0.1453252,0.9137420049149634,80
M-1154,Plastic,0.0322112917977202,0.3267691659646167,0.31,0.8733087330873308,0.8037037037037037,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1714272698282538,0.0985747634048333,0.3469956278301992,0.08635653356106918,0.14457268,0.009130479840832569,0.16381876,0.9135253792264076,81
M-0540,Plastic,0.0756429989515715,0.9952611625947768,0.8,0.2084870848708487,0.8431431431431432,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03270262882809,0.0760030892306409,0.5232001425235715,0.39263655489584237,0.10960445,0.045356922604163775,0.12884638,0.9128983501307566,82
M-1199,Glass,0.3262174039126458,0.593407750631845,0.81,0.0600656006560065,0.9326326326326326,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0040464613855347,0.5497347377592572,0.6532767513548481,1.2287039784130505,0.011884477,0.14424599977066468,0.031114759,0.9123196206528428,83
M-0935,Cotton,0.129804367708403,0.5152695871946082,0.78,0.0182451824518245,0.0935935935935935,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0165375502603874,0.2519149567902239,0.3139998251614392,0.24440789956136402,0.1290316,0.027824610587995142,0.14827584,0.9119497760548985,84
M-1489,Aluminum,0.076044524749604,0.7542122999157541,0.04,0.2353423534235342,0.6295295295295296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0871873923944444,0.1008262844981628,0.2312766687587004,0.14784658296671005,0.14093058,0.01640345097881307,0.16017623,0.911710158282013,85
M-1489,Aluminum,0.076044524749604,0.7542122999157541,0.04,0.2353423534235342,0.6295295295295296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0871873923944444,0.1008262844981628,0.2312766687587004,0.14784658296671005,0.14093058,0.01640345097881307,0.16017623,0.911710158282013,86
M-1311,Glass,0.0592696691873563,0.3065501263689975,0.93,0.2373923739237392,0.4773773773773774,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1240666250506348,0.1933435048482357,0.4459210808881557,0.347411279610635,0.11753572,0.04000772992931837,0.13677858,0.9116068459542441,87
M-0159,Aluminum,0.2571772736398314,0.9884161752316764,0.57,0.3185731857318573,0.8521521521521522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0471003598924877,0.2601910206381746,0.5295165551015782,0.8101608903011308,0.062877804,0.0947412127480026,0.08211417,0.9115723098702672,88
M-0928,Paper,0.4012804211559482,0.882055602358888,0.96,0.1676916769167691,0.9654654654654656,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0057911540076361,0.4549372682918557,0.7381518081020189,1.1423488148662198,0.024582148,0.13403201200902742,0.043813944,0.9110770220640287,89
M-0347,Glass,0.218095429297999,0.4918913226621735,0.01,0.3530135301353013,0.8362362362362363,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0578108243544897,0.4433804295168573,0.3411090425900705,0.6271062874591756,0.08558536,0.07308972838569062,0.104824424,0.9110429239121657,90
M-1097,Plastic,0.118740101273729,0.2710614995787699,0.95,0.2710127101271012,0.8328328328328328,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0453044270182441,0.4380543286446878,0.5823458903593415,0.7277627144524036,0.07379308,0.08499525286404355,0.09303074,0.9109870019175208,91
