Material_ID,Material_Type,Product_Category,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score_kg,Recyclability_Percentage,Source,Certification,Price_INR,Availability_Status
MAT00091,Sustainable Bamboo,Sports Equipment,489.39,76.28,76.3,1.96,16.6,Supplier A,ISO 14001,1358.71,Low Stock
MAT00092,Seaweed Polymer,Food Packaging,153.75,38.11,31.6,8.2,56.6,Supplier B,FSC,3323.32,In Stock
MAT00093,Bioplastic,Office Supplies,313.66,24.84,93.0,2.58,46.1,Supplier C,None,1177.77,In Stock
MAT00094,Seaweed Polymer,Toys,451.59,68.08,32.6,6.91,34.6,Supplier D,None,2506.6,Low Stock
MAT00095,Recycled PET,Footwear,107.62,39.08,58.7,3.94,57.2,Supplier C,ISO 14001,2455.97,Pre-Order
MAT00096,Linen,Household Items,13.97,86.64,82.3,14.62,91.1,Supplier C,FSC,3134.91,Pre-Order
MAT00097,Seaweed Polymer,Home Decor,117.31,19.82,40.1,11.46,76.7,Supplier B,None,2878.44,In Stock
MAT00098,Cellulose,Food Packaging,161.38,44.64,66.4,11.12,9.0,Supplier D,FSC,1342.11,In Stock
MAT00099,Recycled Metal,Insulation,439.47,37.22,60.1,4.45,16.5,Supplier D,GOTS,3807.21,Pre-Order
MAT00100,Natural Rubber,Textiles,239.48,8.45,80.3,3.77,67.6,Supplier D,EcoCert,2852.71,Low Stock
MAT00101,Sustainable Bamboo,Office Supplies,16.82,54.12,56.4,10.26,67.2,Supplier C,ISO 14001,2494.98,Pre-Order
MAT00102,Hemp Fiber,Kitchen Utensils,22.26,88.54,64.9,13.77,22.1,Supplier D,None,417.49,Low Stock
MAT00103,Cellulose,Sports Equipment,67.17,5.49,23.0,14.94,11.6,Supplier E,FSC,1101.41,Low Stock
MAT00104,Recycled PET,Home Decor,338.54,74.57,95.7,6.58,74.2,Supplier D,None,781.86,In Stock
MAT00105,Corn Plastic,Kitchen Utensils,311.67,93.97,42.4,10.51,21.7,Supplier B,GOTS,1938.05,In Stock
MAT00106,Wool,Home Decor,276.79,97.81,48.7,6.27,19.0,Supplier D,ISO 14001,652.38,Pre-Order
MAT00107,Cork,Coatings,485.84,6.01,46.7,14.84,78.7,Supplier E,FSC,983.55,Pre-Order
MAT00108,Cork,Accessories,170.99,15.61,92.0,0.54,85.8,Supplier B,EcoCert,742.85,Low Stock
MAT00109,Seaweed Polymer,Automotive,63.86,86.78,30.5,5.69,78.8,Supplier A,FSC,2511.58,Low Stock
MAT00110,Recycled Paper,Construction,373.44,53.08,79.7,7.41,77.8,Supplier A,Cradle to Cradle,2211.12,Pre-Order
MAT00111,Hemp Fiber,Coatings,31.25,78.54,89.4,8.06,45.8,Supplier A,Cradle to Cradle,4006.41,Low Stock
MAT00112,Jute,Textiles,250.23,91.06,25.9,1.67,60.8,Supplier C,EcoCert,427.45,Pre-Order
MAT00113,Recycled Aluminum,Insulation,358.95,38.71,67.8,4.78,50.6,Supplier A,None,1879.95,Pre-Order
MAT00114,Cork Composite,Insulation,363.21,22.29,56.1,3.81,33.9,Supplier D,None,1972.91,In Stock
MAT00115,Natural Rubber,Sports Equipment,163.14,26.23,96.3,10.46,47.4,Supplier A,ISO 14001,529.54,Low Stock
MAT00116,Organic Cotton,Home Decor,407.77,56.08,66.9,8.64,33.0,Supplier C,None,653.21,Low Stock
MAT00117,Recycled Copper,Food Packaging,484.52,60.44,48.1,8.88,21.3,Supplier B,ISO 14001,2782.16,Low Stock
MAT00118,Algae-based Material,Home Decor,66.29,28.58,38.1,6.72,56.1,Supplier E,EcoCert,3223.72,Pre-Order
MAT00119,Cellulose,Insulation,22.86,92.98,86.4,4.38,18.0,Supplier C,GOTS,2965.59,Low Stock
MAT00120,Biodegradable Plastic,Automotive,436.23,57.07,52.1,2.56,63.3,Supplier E,FSC,288.01,Low Stock
MAT00121,Jute,Toys,177.04,37.64,77.7,11.76,56.8,Supplier A,FSC,504.64,In Stock
MAT00122,Cork Composite,Coatings,34.38,9.08,55.4,6.65,60.7,Supplier B,EcoCert,1816.04,In Stock
MAT00123,Certified Wood,Sports Equipment,64.34,68.14,67.5,8.14,30.8,Supplier E,ISO 14001,1044.14,In Stock
MAT00124,Cork,Footwear,473.21,76.97,81.1,4.7,12.0,Supplier D,FSC,2147.21,In Stock
MAT00125,Linen,Insulation,354.8,50.53,86.7,12.19,7.2,Supplier A,Cradle to Cradle,3598.88,In Stock
MAT00126,Recycled PET,Cosmetics,432.43,58.0,65.9,10.79,41.8,Supplier A,GOTS,624.99,In Stock
MAT00127,Seaweed Polymer,Coatings,235.45,69.27,48.9,6.83,10.6,Supplier D,EcoCert,1901.53,In Stock
MAT00128,Linen,Footwear,375.44,22.94,82.3,1.61,63.3,Supplier B,GOTS,2280.01,Low Stock
MAT00129,Recycled Copper,Construction,125.77,15.5,35.8,9.23,76.0,Supplier B,None,2777.18,Low Stock
MAT00130,Recycled PET,Adhesives,382.34,45.44,93.9,8.69,63.5,Supplier C,FSC,2654.34,Low Stock
MAT00131,Sustainable Bamboo,Kitchen Utensils,226.68,30.98,42.0,1.31,50.7,Supplier D,ISO 14001,1402.7,In Stock
MAT00132,Certified Wood,Footwear,47.6,86.56,88.4,9.42,50.7,Supplier E,None,2009.43,In Stock
MAT00133,Recycled PET,Adhesives,329.4,32.83,58.1,2.69,6.2,Supplier C,None,578.51,In Stock
MAT00134,Mushroom Composite,Automotive,29.18,71.05,99.3,8.1,61.0,Supplier C,Cradle to Cradle,1616.01,Low Stock
MAT00135,Cork Composite,Bags & Luggage,342.66,6.18,70.5,5.35,33.0,Supplier D,GOTS,2388.74,Low Stock
MAT00136,Recycled Copper,Coatings,437.91,34.0,66.6,2.55,35.0,Supplier D,FSC,4021.35,Pre-Order
MAT00137,Flax Fiber,Cosmetics,161.7,38.29,83.3,12.29,67.0,Supplier E,ISO 14001,3468.57,Pre-Order
MAT00138,Wool,Sports Equipment,259.16,2.8,44.7,14.29,34.2,Supplier B,FSC,3218.74,In Stock
MAT00139,Recycled Metal,Cosmetics,154.94,79.02,60.6,8.33,73.9,Supplier C,EcoCert,2263.41,In Stock
MAT00140,Bioplastic,Office Supplies,85.58,18.9,75.4,9.56,90.3,Supplier A,Cradle to Cradle,3039.46,Low Stock
MAT00141,Wool,Accessories,485.1,61.45,80.2,11.87,23.4,Supplier D,FSC,1118.84,Low Stock
MAT00142,Wool,Adhesives,492.38,46.71,42.5,6.04,52.7,Supplier B,EcoCert,4015.54,In Stock
MAT00143,Mycelium Leather,Food Packaging,324.18,87.54,64.4,1.99,84.6,Supplier C,ISO 14001,3557.38,In Stock
MAT00144,Mycelium Leather,Toys,453.6,15.59,55.0,14.22,22.2,Supplier C,ISO 14001,1962.95,Low Stock
MAT00145,Recycled Paper,Office Supplies,255.98,24.34,99.6,5.94,2.8,Supplier C,FSC,3874.44,In Stock
MAT00146,Recycled Paper,Footwear,459.52,47.77,86.5,11.5,46.9,Supplier A,ISO 14001,2617.82,Low Stock
MAT00147,Cork,Construction,278.91,73.0,62.2,2.11,28.8,Supplier A,FSC,1366.18,Low Stock
MAT00148,Cellulose,Coatings,233.99,11.97,92.4,9.15,1.6,Supplier B,None,2219.42,In Stock
MAT00149,Recycled Glass,Sports Equipment,10.77,35.93,65.7,3.22,66.8,Supplier C,ISO 14001,2251.79,Pre-Order
MAT00150,Algae-based Material,Flooring,395.34,51.25,21.6,13.16,4.4,Supplier C,GOTS,1707.31,Pre-Order
MAT00151,Biodegradable Plastic,Home Decor,396.37,35.14,78.6,9.61,77.2,Supplier C,FSC,3095.07,In Stock
MAT00152,Certified Wood,Insulation,175.89,64.64,86.4,10.43,98.1,Supplier B,FSC,2072.51,In Stock
MAT00153,Flax Fiber,Toys,28.12,20.96,83.3,13.34,31.6,Supplier D,EcoCert,1401.04,Low Stock
MAT00154,Mycelium Leather,Food Packaging,379.11,19.92,48.6,11.82,86.6,Supplier A,GOTS,1488.19,Low Stock
MAT00155,Linen,Toys,448.37,39.28,97.9,7.69,49.8,Supplier E,GOTS,3848.71,In Stock
MAT00156,Recycled Copper,Sports Equipment,48.67,60.64,85.8,8.41,32.1,Supplier C,GOTS,484.72,Low Stock
MAT00157,Bioplastic,Sports Equipment,91.66,44.95,55.8,11.04,91.2,Supplier D,GOTS,2615.33,Pre-Order
MAT00158,Seaweed Polymer,Food Packaging,46.77,64.11,49.1,12.12,67.9,Supplier B,EcoCert,3961.59,Pre-Order
MAT00159,Seaweed Polymer,Toys,27.05,7.66,82.3,5.81,38.3,Supplier E,FSC,2426.09,Pre-Order
MAT00160,Recycled PET,Home Decor,192.29,76.55,65.9,8.18,39.8,Supplier B,ISO 14001,2753.94,In Stock
MAT00161,Recycled Copper,Automotive,254.53,39.31,64.9,4.3,26.0,Supplier E,GOTS,1943.86,Pre-Order
MAT00162,Cardboard,Furniture,70.09,85.43,56.2,13.53,44.5,Supplier C,None,515.43,Low Stock
MAT00163,Flax Fiber,Cosmetics,279.5,29.75,44.0,2.78,71.0,Supplier B,GOTS,2955.63,Pre-Order
MAT00164,Hemp Fiber,Textiles,492.71,79.41,38.9,7.66,36.1,Supplier D,EcoCert,2446.01,In Stock
MAT00165,Bioplastic,Cosmetics,42.22,40.42,77.4,7.44,41.1,Supplier E,ISO 14001,1796.95,In Stock
MAT00166,Natural Rubber,Cosmetics,230.49,68.33,47.6,13.23,78.0,Supplier B,FSC,2714.93,Low Stock
MAT00167,Mushroom Composite,Food Packaging,417.38,52.29,44.3,2.85,93.5,Supplier E,GOTS,1064.06,In Stock
MAT00168,Mycelium Leather,Furniture,321.18,55.53,30.0,4.89,53.3,Supplier B,EcoCert,2167.96,Pre-Order
MAT00169,Recycled Metal,Automotive,332.78,72.34,68.4,12.72,56.4,Supplier A,ISO 14001,3453.63,In Stock
MAT00170,Cellulose,Adhesives,139.68,21.87,65.8,9.46,3.0,Supplier E,GOTS,3707.61,Pre-Order
MAT00171,Recycled Glass,Kitchen Utensils,129.99,80.93,52.5,7.08,68.9,Supplier D,Cradle to Cradle,795.97,Low Stock
MAT00172,Cork,Bags & Luggage,307.26,31.95,77.5,11.15,86.1,Supplier B,GOTS,4052.06,Pre-Order
MAT00173,Algae-based Material,Textiles,166.37,47.18,41.4,4.09,9.7,Supplier D,EcoCert,1322.19,Low Stock
MAT00174,Hemp Fiber,Automotive,408.6,93.44,77.7,3.25,15.9,Supplier D,Cradle to Cradle,4134.23,Low Stock
MAT00175,Cardboard,Electronics,54.12,39.93,56.6,3.99,58.3,Supplier C,Cradle to Cradle,360.22,Pre-Order
MAT00176,Corn Plastic,Kitchen Utensils,150.02,1.81,28.6,2.44,26.4,Supplier D,GOTS,1623.48,In Stock
MAT00177,Linen,Food Packaging,289.44,20.27,64.3,1.57,50.4,Supplier C,EcoCert,3211.27,Pre-Order
MAT00178,Bioplastic,Textiles,73.05,10.57,49.9,14.81,55.8,Supplier B,FSC,1622.65,Pre-Order
MAT00179,Mushroom Composite,Office Supplies,255.04,5.49,31.0,5.33,47.4,Supplier E,EcoCert,1987.02,In Stock
MAT00180,Natural Rubber,Coatings,166.08,39.9,69.3,12.72,59.4,Supplier E,EcoCert,2187.05,Low Stock
MAT00181,Flax Fiber,Adhesives,156.9,81.76,49.5,10.27,98.0,Supplier A,EcoCert,2491.66,Low Stock
MAT00182,Mycelium Leather,Adhesives,293.04,72.42,66.7,2.97,62.9,Supplier D,FSC,2635.25,Pre-Order
MAT00183,Hemp Fiber,Food Packaging,290.56,70.35,35.3,6.9,41.9,Supplier B,Cradle to Cradle,1811.06,Pre-Order
MAT00184,Cork Composite,Coatings,461.06,87.41,78.9,1.4,13.8,Supplier C,None,991.85,Low Stock
MAT00185,Mushroom Composite,Office Supplies,163.74,18.15,93.0,5.46,35.4,Supplier C,EcoCert,3241.98,Low Stock
MAT00186,Cork,Accessories,146.71,30.55,95.3,14.74,77.1,Supplier D,GOTS,2974.72,Low Stock
MAT00187,Certified Wood,Insulation,467.51,79.75,41.9,2.27,67.7,Supplier D,GOTS,1679.09,In Stock
MAT00188,Recycled Glass,Food Packaging,150.94,71.7,47.7,6.91,25.6,Supplier B,EcoCert,2075.0,Low Stock
MAT00189,Algae-based Material,Household Items,77.26,61.95,66.9,4.02,67.0,Supplier B,ISO 14001,2281.67,In Stock
MAT00190,Jute,Bags & Luggage,361.51,10.95,81.7,0.58,55.0,Supplier D,None,3867.8,Low Stock
MAT00191,Cardboard,Furniture,380.4,29.44,42.8,1.36,76.9,Supplier B,EcoCert,2764.73,Pre-Order
MAT00192,Recycled Copper,Food Packaging,457.48,18.33,90.6,3.05,92.0,Supplier D,Cradle to Cradle,4138.38,In Stock
MAT00193,Recycled Copper,Footwear,439.6,1.92,65.4,2.06,98.3,Supplier E,EcoCert,1299.78,Low Stock
MAT00194,Recycled Metal,Flooring,239.33,20.09,29.0,2.86,45.9,Supplier B,ISO 14001,1191.05,Pre-Order
MAT00195,Natural Rubber,Footwear,288.21,75.97,34.0,12.91,89.7,Supplier E,GOTS,3461.1,In Stock
MAT00196,Linen,Textiles,100.54,14.92,45.9,4.1,26.1,Supplier C,GOTS,1104.73,Low Stock
MAT00197,Recycled Aluminum,Adhesives,15.6,65.71,75.4,1.4,11.8,Supplier D,None,1388.59,Pre-Order
MAT00198,Flax Fiber,Footwear,348.24,64.23,95.3,5.83,22.1,Supplier D,FSC,3979.85,Low Stock
MAT00199,Recycled Copper,Coatings,193.08,70.49,93.0,11.48,80.2,Supplier B,None,3455.29,Pre-Order
MAT00200,Seaweed Polymer,Cosmetics,267.5,53.29,48.9,13.8,11.2,Supplier E,FSC,3467.74,Pre-Order
MAT00201,Algae-based Material,Construction,90.62,85.59,55.3,10.36,71.7,Supplier E,Cradle to Cradle,2113.18,In Stock
MAT00202,Recycled PET,Construction,261.49,46.22,24.6,7.2,80.7,Supplier D,GOTS,3047.76,In Stock
MAT00203,Recycled Copper,Furniture,293.37,5.48,47.6,1.42,99.4,Supplier A,Cradle to Cradle,3889.38,In Stock
MAT00204,Recycled Glass,Sports Equipment,98.19,14.41,71.3,11.07,96.4,Supplier D,Cradle to Cradle,1657.51,Low Stock
MAT00205,Linen,Cosmetics,344.54,66.52,63.1,9.98,34.8,Supplier E,Cradle to Cradle,877.31,Pre-Order
MAT00206,Recycled Metal,Accessories,419.06,75.86,98.3,7.21,71.9,Supplier D,FSC,1855.88,In Stock
MAT00207,Recycled PET,Home Decor,86.01,19.66,90.0,11.6,3.2,Supplier E,ISO 14001,2796.27,In Stock
MAT00208,Cork,Cosmetics,59.44,4.32,67.8,10.7,4.9,Supplier D,Cradle to Cradle,3116.65,In Stock
MAT00209,Algae-based Material,Furniture,379.65,77.83,31.2,14.91,23.4,Supplier E,GOTS,3817.17,Pre-Order
MAT00210,Bioplastic,Bags & Luggage,126.08,87.75,98.9,8.06,41.4,Supplier E,EcoCert,1262.43,Pre-Order
MAT00211,Bio-based Polymer,Sports Equipment,282.37,5.64,47.6,9.83,38.1,Supplier D,Cradle to Cradle,2255.11,In Stock
MAT00212,Recycled Glass,Office Supplies,100.1,54.25,39.3,3.77,85.8,Supplier D,ISO 14001,741.19,Pre-Order
MAT00213,Jute,Sports Equipment,283.07,14.28,39.4,3.45,64.7,Supplier C,ISO 14001,3840.41,Pre-Order
MAT00214,Recycled Copper,Furniture,35.25,38.34,68.4,1.07,7.3,Supplier E,None,3371.46,Pre-Order
MAT00215,Algae-based Material,Furniture,244.9,87.08,46.6,14.38,1.5,Supplier A,None,3899.34,Low Stock
MAT00216,Hemp Fiber,Coatings,354.85,40.27,39.1,5.16,28.3,Supplier C,GOTS,2023.54,Low Stock
MAT00217,Certified Wood,Flooring,442.58,47.13,84.2,10.97,76.2,Supplier B,GOTS,1441.71,Low Stock
MAT00218,Jute,Food Packaging,285.64,22.91,31.7,4.28,93.5,Supplier D,GOTS,2473.4,In Stock
MAT00219,Cork,Bags & Luggage,122.71,57.41,39.7,8.48,94.3,Supplier D,None,1510.6,Pre-Order
MAT00220,Recycled Copper,Kitchen Utensils,235.81,73.54,48.2,2.53,54.7,Supplier E,None,898.89,In Stock
MAT00221,Mushroom Composite,Food Packaging,421.14,8.36,85.4,1.2,0.6,Supplier B,ISO 14001,713.8,Pre-Order
MAT00222,Recycled Metal,Electronics,117.17,46.14,24.8,9.75,93.4,Supplier D,ISO 14001,3802.23,In Stock
